Accession,Status,Has_Results,SubmissionDate,Title,Is_Blood,Is_CellLine
PXD067567,Cell Line,Not Checked,2025-08-21,Extracellular vesicles derived from induced pluripotent stem cells mediate anti-inflammatory effects in human primary macrophages. iPSC EV Dataset,False,True
PXD067060,MaxQuant (Other),Not Checked,2025-08-07,TDP-43 pathology is associated with divergent protein profiles in ALS brain and spinal cord,False,False
PXD064844,Cell Line,Not Checked,2025-06-10,Comparative mass spectrometry analysis of high centrifugation vs. low centrifugation uEV pellets following THP removal,False,True
PXD064007,Cell Line,Not Checked,2025-05-16,Extracellular vesicle-associated transcriptomic and proteomic biomarkers show in vitro potential for vandetanib treatment monitoring in anaplastic thyroid cancer,False,True
PXD063385,Cell Line,Not Checked,2025-04-28,Clinical investigation on nebulized human umbilical cord MSC-derived extracellular vesicles for pulmonary fibrosis treatment,False,True
PXD061404,Mixed/Unsure,True,2025-03-03,In-Depth Proteomics Reveals Selective EV Protein Sorting and Pathway Perturbation in AML upon Synergistic FLT3 and Hedgehog Pathway Inhibition,True,True
PXD060890,High Priority (Blood),False,2025-02-17,Dysregulated pathways and potential biomarkers in dermatomyositis plasma-derived extracellular vesicles,True,False
PXD060604,Mixed/Unsure,True,2025-02-09,Proteomic analysis of Plasma-derived Extracellular Vesicles reveals different biomarkers for monitoring visceral leishmaniasis progression,True,True
PXD060460,High Priority (Blood),True,2025-02-04,Newly-Diagnosed Rheumatoid Arthritis Patients have Elevated Levels of Plasma Extracellular Vesicles with Protein Cargo Altered Towards Inflammatory Processes,True,False
PXD060122,Cell Line,Not Checked,2025-01-23,Head and neck squamous cell carcinoma-derived small extracellular vesicles mediate Ca²⁺-dependent platelet activation and aggregation through tissue factor,False,True
PXD059934,MaxQuant (Other),Not Checked,2025-01-18,Small Extracellular Vesicles Derived from Human Trabecular Meshwork Stem Cells are distinct from TM Cells in their Proteome Cargo and Function,False,False
PXD058882,MaxQuant (Other),Not Checked,2024-12-16,Gestational age-dependent proteome changes in amniotic fluid extracellular vesicles,False,False
PXD058777,MaxQuant (Other),Not Checked,2024-12-11,Proteomic characterisation of CSF EVs,False,False
PXD058646,MaxQuant (Other),Not Checked,2024-12-06,Bone Marrow Mesenchymal Stromal Cells Support Translation in Refractory Acute Myeloid Leukemia,False,False
PXD058648,MaxQuant (Other),Not Checked,2024-12-06,Bone Marrow Mesenchymal Stromal Cells Support Translation in Refractory Acute Myeloid Leukemia,False,False
PXD058373,High Priority (Blood),True,2024-11-28,A translational protocol for the analysis of plasma-derived extracellular vesicle proteomics,True,False
PXD057348,Cell Line,Not Checked,2024-10-30,Proteomic analysis of extracellular vesicles identifies CDCP1 as critical metastasis-related glycoprotein in lung cancer,False,True
PXD057205,Cell Line,Not Checked,2024-10-25,Mass-spectrometry analysis of secretome and extracellular vesicles derived from lung and colorectal cell lines,False,True
PXD057149,Mixed/Unsure,False,2024-10-24,Mesenchymal Colorectal Cancers Secrete Vesicles With Unique Cargo That Can Be Used For Liquid Biopsy Based Diagnostics,True,True
PXD056996,Cell Line,Not Checked,2024-10-21,Proteomics of Extracellular Vesicles and tissue samples from High-Grade Serous Ovarian Carcinoma,False,True
PXD056371,Mixed/Unsure,False,2024-09-30,Proteomics of human adipose and umbilical cord mesenchymal stem cell-derived extracellular vesicles,True,True
PXD055639,Mixed/Unsure,False,2024-09-06,Colorectal cancer Circulating tumor cells released Extracelluar Vesicles proteome cargo analysis,True,True
PXD054467,MaxQuant (Other),Not Checked,2024-08-01,Metabolic Reprogramming into a Glycolysis Phenotype Induced by Extracellular Vesicles derived from Prostate Cancer Cells,False,False
PXD054459,Cell Line,Not Checked,2024-07-31,"Unraveling the nexus of oxidative stress, ocular diseases, and small extracellular vesicles to identify novel glaucoma biomarkers through in-depth proteomics",False,True
PXD052799,Cell Line,Not Checked,2024-06-03,TGF-β regulates the release of breast cancer cell-derived extracellular vesicles and the sorting of their protein cargo by downregulating RAB27B expression,False,True
PXD052666,Mixed/Unsure,True,2024-05-29,Optimization of the workflow for deep CSF proteome analysis by enrichment of extracellular vesicles,True,True
PXD050720,MaxQuant (Other),Not Checked,2024-03-18,Proteomic Analysis of Urinary Extracellular Vesicles from Patients with ADTKD-HNF1β identifies roles for cilia-related proteins and Serpins,False,False
PXD050479,Mixed/Unsure,True,2024-03-08,Characterisation of Platelet Releasate Proteome in Relapsing-Remitting Multiple Sclerosis Reveals Dysregulation of Inflammatory Signalling and Extracellular Vesicle Dynamics,True,True
PXD050337,Mixed/Unsure,False,2024-03-04,Glycolysis in hepatic stellate cells coordinates fibrogenic extracellular vesicle release spatially to amplify liver fibrosis,True,True
PXD050095,Cell Line,Not Checked,2024-02-23,Functional Effects of Extracellular Vesicles Altered by a Per- and Polyfluoroalkyl Substance Mixture: Liver Cell Proteomic Expression Alterations,False,True
PXD050024,Cell Line,Not Checked,2024-02-22,Do extracellular vesicles have specific target cells? Extracellular Vesicle mediated embryo maternal communication,False,True
PXD049116,High Priority (Blood),False,2024-02-02,Cancer-associated fibroblasts produce matrix-bound vesicles that influence endothelial cell function (part 6: Mammary Fibroblasts Proteome),True,False
