miRNA,ERR3629088,ERR3629087,ERR3629086,ERR3629085,ERR3629084,ERR3629083,ERR3629082,ERR3629081,ERR3629080,ERR3629079,ERR3629078,ERR3629077
hsa-miR-3124-5p,0.5,0.33,0.26,0.73,0.15,0.0,0.46,0.2,0.98,0.54,0.21,0.67
hsa-miR-3127-3p,0.5,0.33,1.05,0.18,0.46,0.5,0.15,0.8,0.49,0.0,0.21,0.0
hsa-miR-3127-5p,0.0,0.0,0.78,0.36,0.61,0.5,0.61,0.6,0.0,0.54,0.83,0.45
hsa-miR-3128,0.0,0.16,0.52,0.0,0.61,0.33,0.0,0.6,0.73,0.0,0.62,0.45
hsa-miR-3129-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
hsa-miR-3129-5p,0.34,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3130-3p,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0
hsa-miR-3130-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,1.46,0.0,0.0,0.22
hsa-miR-3131,0.0,0.16,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.21,0.0
hsa-miR-3133,0.34,0.16,0.0,0.36,0.61,0.83,0.61,0.8,0.49,0.0,0.0,0.0
hsa-miR-3134,0.5,0.0,0.52,0.18,0.31,0.33,0.0,0.0,0.24,0.0,0.0,0.0
hsa-miR-3135a,0.0,0.0,0.0,0.18,0.15,0.0,0.15,0.0,0.0,0.27,0.21,0.22
hsa-miR-3136-5p,3.69,1.64,2.61,2.72,1.53,2.66,1.23,1.59,3.17,4.29,1.66,3.37
hsa-miR-3137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0
hsa-miR-3138,0.0,0.33,0.0,0.36,0.15,0.0,0.92,0.6,0.0,0.0,0.21,0.67
hsa-miR-3139,0.5,0.0,0.52,0.18,0.46,0.0,0.46,0.4,0.0,0.54,0.0,0.0
hsa-miR-3140-3p,3.02,2.13,2.61,2.9,1.84,2.66,1.53,2.19,2.68,2.14,2.29,2.47
hsa-miR-3140-5p,0.0,0.16,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3141,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0
hsa-miR-3143,2.52,0.98,1.05,2.18,1.84,2.32,1.07,2.78,0.73,2.95,2.49,2.47
hsa-miR-3144-3p,0.0,0.33,0.0,0.18,0.15,0.0,0.0,0.0,0.0,0.0,0.21,0.0
hsa-miR-3144-5p,0.0,0.16,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.21,0.0
hsa-miR-3145-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
hsa-miR-3146,0.34,0.16,0.0,0.36,0.31,0.83,1.23,0.6,0.73,0.27,0.0,1.35
hsa-miR-3148,0.84,0.82,0.52,1.09,0.46,0.5,0.92,0.6,0.73,0.54,0.0,0.9
hsa-miR-3149,0.5,0.49,0.26,0.73,0.46,0.33,0.15,0.0,0.24,0.54,0.62,0.0
hsa-miR-3150a-3p,0.0,0.0,0.0,0.18,0.15,0.0,0.0,0.2,0.24,0.27,0.21,0.0
hsa-miR-3150a-5p,0.0,0.16,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.27,0.0,0.0
hsa-miR-3150b-3p,1.01,2.13,0.52,1.45,0.77,1.16,0.77,0.6,0.24,1.07,1.45,2.02
hsa-miR-3150b-5p,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3151-5p,0.0,0.0,0.0,0.36,0.31,0.0,0.0,0.0,0.0,0.0,0.21,0.0
hsa-miR-3153,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3154,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.24,0.0,0.0,0.0
hsa-miR-3155a,0.67,0.33,0.0,0.36,0.31,0.0,0.0,0.2,0.24,0.0,0.0,0.22
hsa-miR-3157-3p,1.17,0.49,1.31,0.91,1.23,1.16,1.07,0.4,1.71,0.8,0.83,0.9
hsa-miR-3157-5p,1.01,0.49,0.52,2.36,0.92,1.0,2.3,1.39,0.24,0.0,1.04,0.9
hsa-miR-3158-3p,0.17,0.98,1.31,1.09,0.77,1.66,1.23,0.4,1.46,0.0,1.04,0.0
hsa-miR-3158-5p,0.0,0.0,0.0,0.0,0.0,0.17,0.31,0.0,0.73,0.0,0.21,0.0
hsa-miR-3159,0.17,0.33,0.26,0.18,0.15,0.17,0.0,0.2,0.0,0.27,0.42,0.0
hsa-miR-3160-3p,0.17,0.16,0.26,0.0,0.31,0.0,0.46,0.0,0.24,0.0,0.42,0.0
hsa-miR-3161,1.01,0.33,0.26,1.63,1.53,1.0,0.0,0.6,0.24,0.0,0.62,0.22
hsa-miR-3162-5p,0.0,0.0,0.0,0.18,0.31,0.0,0.31,0.2,0.0,0.0,0.0,0.0
hsa-miR-3163,0.34,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0
hsa-miR-3164,0.34,0.66,0.0,0.73,1.07,1.33,0.77,0.2,0.49,0.0,0.42,0.9
hsa-miR-3165,0.17,0.0,0.52,0.18,0.61,0.17,0.0,0.0,0.24,0.27,0.42,0.0
hsa-miR-3166,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
