miRNA,ERR5922419,ERR5922420,ERR5922421,ERR5922422,ERR5922423,ERR5922424,ERR5922425,ERR5922426,ERR5922427,ERR5922428
hsa-miR-450a-1-3p,1.19,0.55,0.97,2.12,4.0,9.59,3.33,4.56,2.08,2.48
hsa-miR-450a-2-3p,6.07,5.03,3.1,4.48,10.11,26.25,29.51,30.49,11.46,22.6
hsa-miR-450a-5p,73.87,32.31,25.26,57.48,58.76,556.21,83.04,68.81,45.05,244.91
hsa-miR-450b-3p,0.0,0.0,0.0,0.0,0.0,0.17,0.25,0.0,0.13,0.0
hsa-miR-450b-5p,25.17,31.86,13.55,21.79,54.86,222.58,40.85,100.86,57.15,55.14
hsa-miR-4511,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
hsa-miR-4512,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.12
hsa-miR-4516,0.33,0.37,0.0,0.0,0.6,0.25,0.25,0.0,0.13,0.0
hsa-miR-451a,444.54,443.62,25.84,621.26,241.46,11.44,753.76,703.49,73.17,1732.53
hsa-miR-452-3p,105.22,30.03,33.68,31.69,35.84,177.66,201.51,157.0,119.12,85.32
hsa-miR-452-5p,53.91,13.91,28.84,23.68,23.22,148.56,100.21,107.28,84.49,69.43
hsa-miR-4520-3p,0.0,0.09,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
hsa-miR-4521,1.84,0.27,1.26,0.47,1.3,0.42,0.25,1.0,1.82,0.12
hsa-miR-4523,0.0,0.0,0.0,0.0,0.1,0.08,0.0,0.0,0.13,0.0
hsa-miR-4529-3p,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
hsa-miR-4533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0
hsa-miR-4536-3p,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-454-3p,4.45,0.73,3.39,5.89,8.51,1.18,0.67,1.57,3.78,2.73
hsa-miR-454-5p,0.87,0.27,0.39,0.35,0.8,1.01,0.92,0.85,2.34,0.5
hsa-miR-455-3p,19.2,10.8,26.71,24.27,46.35,15.14,47.11,18.81,97.25,94.89
hsa-miR-455-5p,172.26,185.28,70.08,77.86,95.6,40.21,90.46,123.52,139.17,106.68
hsa-miR-4632-3p,0.22,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
hsa-miR-4635,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-4636,0.0,0.0,0.0,0.0,0.1,0.0,0.08,0.14,0.13,0.37
hsa-miR-4637,0.0,0.09,0.0,0.12,0.1,0.0,0.0,0.0,0.0,0.0
hsa-miR-4638-3p,0.11,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.0,0.0
