miRNA,GSM3151945,GSM3151946,GSM3151947,GSM3151948,GSM3151949,GSM3151950,GSM3151951,GSM3151952,GSM3151953,GSM3151954,GSM3151955,GSM3151956,GSM3151957,GSM3151958,GSM3151959,GSM3151960,GSM3151961,GSM3151962,GSM3151963,GSM3151964,GSM3151965,GSM3151966,GSM3151967,GSM3151968,GSM3151969,GSM3151970,GSM3151971,GSM3151972
hsa-miR-12136,0.0,0.0,0.0,0.0,0.12,0.12,0.57,0.14,0.17,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65,0.62,0.42,0.51,0.61,0.92,0.0,0.0,0.0,0.0
hsa-miR-122-5p,0.0,0.0,0.0,0.0,14.97,5.32,97.32,36.63,10.64,1.27,0.0,0.0,0.0,0.0,0.0,6.38,0.0,3.27,21.42,4.49,8.23,220.4,2.86,22.16,0.0,0.0,0.0,0.0
hsa-miR-1225-3p,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1226-3p,0.0,0.0,0.0,0.0,0.08,0.04,0.07,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.06,0.34,0.1,0.0,0.31,0.0,0.0,0.0,0.0
hsa-miR-1229-3p,0.0,0.0,0.0,0.0,0.04,0.08,0.07,0.0,0.06,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.31,0.17,0.0,0.17,0.21,0.0,0.0,0.0,0.0
hsa-miR-1229-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-122b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1233-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1233-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.1,0.0,0.0,0.0,0.0
hsa-miR-1234-3p,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.07,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
