miRNA,SRR23107340,SRR23107341,SRR23107342,SRR23107343,SRR23107344,SRR23107345,SRR23107346,SRR23107347,SRR23107348,SRR23107349,SRR23107350,SRR23107351,SRR23107352,SRR23107353,SRR23107354,SRR23107355,SRR23107356,SRR23107357,SRR23107358,SRR23107359,SRR23107360,SRR23107361,SRR23107362,SRR23107363,SRR23107364,SRR23107365,SRR23107366,SRR23107367,SRR23107368,SRR23107369,SRR23107370,SRR23107371,SRR23107372,SRR23107373,SRR23107374,SRR23107375,SRR23107376
hsa-miR-4659b-3p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,7.0,0.0,2.0,6.0,3.0,6.0,0.0,2.0
hsa-miR-4659b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,4.0,13.0,2.0
hsa-miR-4660,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,8.0,0.0,4.0,0.0,3.0,1.0,10.0,0.0,0.0,0.0,0.0,5.0,31.0,0.0,0.0,0.0,7.0,10.0,16.0,9.0,7.0,17.0,19.0
hsa-miR-4661-5p,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,52.0,0.0,16.0,0.0,17.0,26.0,24.0,2.0,63.0,0.0,8.0,16.0,25.0,0.0,0.0,7.0,0.0,19.0,27.0,11.0,0.0,10.0,24.0,74.0,15.0,7.0,19.0,16.0,33.0
hsa-miR-4662a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,1.0
hsa-miR-4663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4664-3p,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,183.0,0.0,15.0,28.0,10.0,24.0,42.0,1.0,19.0,0.0,6.0,3.0,11.0,1.0,0.0,2.0,34.0,24.0,16.0,25.0,0.0,11.0,36.0,55.0,13.0,30.0,28.0,0.0,3.0
hsa-miR-4664-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
hsa-miR-4665-5p,54.0,74.0,42.0,46.0,0.0,31.0,262.0,0.0,13.0,0.0,140.0,16.0,46.0,64.0,34.0,39.0,46.0,99.0,60.0,8.0,12.0,0.0,201.0,22.0,71.0,33.0,20.0,116.0,0.0,6.0,9.0,51.0,7.0,22.0,9.0,42.0,25.0
hsa-miR-4666a-3p,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4667-5p,14.0,18.0,12.0,20.0,0.0,13.0,0.0,0.0,33.0,0.0,158.0,0.0,3.0,3.0,15.0,0.0,29.0,68.0,2.0,0.0,16.0,2.0,0.0,0.0,60.0,11.0,5.0,87.0,0.0,4.0,4.0,3.0,15.0,1.0,1.0,11.0,2.0
hsa-miR-4668-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0
hsa-miR-4669,0.0,0.0,293.0,24.0,0.0,45.0,0.0,0.0,4.0,0.0,1.0,238.0,0.0,0.0,0.0,0.0,20.0,262.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,45.0,2.0,30.0,0.0,0.0,0.0,30.0,50.0,33.0,21.0,6.0,14.0
hsa-miR-4670-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4671-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
hsa-miR-4672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,13.0,0.0,0.0,2.0,4.0,6.0,0.0,4.0
hsa-miR-4674,17.0,14.0,0.0,15.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,2.0,26.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,5.0,0.0
hsa-miR-4676-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,8.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,22.0,1.0,2.0,1.0,0.0
hsa-miR-4676-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,8.0,0.0,0.0,0.0,0.0,11.0,0.0,4.0,0.0,0.0
hsa-miR-4677-3p,4.0,65.0,71.0,45.0,0.0,1.0,0.0,0.0,49.0,1.0,120.0,59.0,10.0,36.0,13.0,11.0,87.0,0.0,25.0,5.0,38.0,1.0,3.0,10.0,23.0,31.0,61.0,54.0,0.0,74.0,40.0,58.0,171.0,18.0,17.0,19.0,13.0
