miRNA,GSM2442624,GSM2442625,GSM2442626,GSM2442627,GSM2442628,GSM2442629,GSM2442630,GSM2442631,GSM2442632,GSM2442633
hsa-miR-3912-3p,0.0,0.18,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3913-3p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3916,0.17,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3917,0.51,0.71,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3918,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3926,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3928-3p,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38
hsa-miR-3929,1.53,1.25,0.24,0.79,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3934-5p,0.0,0.18,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3935,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3939,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3940-3p,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3940-5p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3960,3.57,3.2,0.85,1.35,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-409-3p,0.51,0.89,0.61,0.56,6.68,12.54,38.27,22.82,22.86,37.16
hsa-miR-409-5p,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-410-3p,0.0,6.59,0.73,1.8,13.36,45.99,31.89,91.3,13.06,60.8
hsa-miR-411-3p,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-411-5p,0.0,4.81,1.83,1.8,26.72,62.71,54.22,104.34,26.12,101.34
hsa-miR-412-5p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-421,3.91,5.87,9.02,7.41,6.68,0.0,25.51,3.26,13.06,0.0
hsa-miR-423-3p,53.7,17.27,42.67,13.14,53.44,112.89,398.64,58.69,411.46,91.21
hsa-miR-423-5p,61.35,34.71,384.05,35.7,193.72,1601.3,3909.88,394.53,3468.06,202.68
hsa-miR-424-3p,1.53,3.03,2.44,3.48,6.68,20.9,6.38,9.78,9.8,10.13
hsa-miR-424-5p,2.55,2.67,8.29,8.64,0.0,4.18,19.13,29.35,9.8,10.13
hsa-miR-425-3p,0.17,0.18,0.0,0.34,0.0,0.0,3.19,0.0,16.33,3.38
hsa-miR-425-5p,3.57,3.38,7.32,5.39,13.36,16.72,38.27,19.56,62.05,10.13
hsa-miR-4273,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
