miRNA,GSM4698453,GSM4698454,GSM4698455,GSM4698446,GSM4698447,GSM4698448,GSM4698449,GSM4698450,GSM4698451,GSM4698452
hsa-miR-30e-3p,3.82,4.42,2.37,5.34,7.89,9.17,6.77,3.91,2.83,4.99
hsa-miR-30e-5p,3.82,5.24,12.03,4.9,14.64,13.7,7.47,8.65,9.81,33.53
hsa-miR-31-3p,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0
hsa-miR-31-5p,0.0,0.14,0.32,0.0,1.0,0.34,0.28,0.0,1.0,0.17
hsa-miR-3117-3p,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-3129-3p,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-3150b-3p,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3151-5p,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3157-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0
hsa-miR-3158-3p,0.0,0.0,0.16,0.0,0.0,0.0,0.14,0.0,0.0,0.0
hsa-miR-3163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17
hsa-miR-3179,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0
hsa-miR-3182,0.0,0.0,0.0,0.14,0.0,0.23,0.0,0.0,0.0,0.0
hsa-miR-3198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52
hsa-miR-32-3p,0.0,0.0,0.0,0.14,0.14,0.0,0.14,0.0,0.0,0.17
hsa-miR-32-5p,0.0,0.0,0.79,0.0,0.72,0.23,0.28,0.21,0.5,0.86
hsa-miR-3200-5p,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0
hsa-miR-320a-3p,8.56,4.14,11.24,11.68,13.92,8.95,15.37,13.18,3.33,8.25
hsa-miR-320a-5p,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-320b,0.66,0.41,1.58,0.43,0.72,0.79,1.41,1.65,0.17,1.2
hsa-miR-320c,0.0,0.41,0.16,0.29,0.14,0.0,0.14,0.0,0.0,0.86
hsa-miR-320d,0.13,0.14,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0
hsa-miR-323a-3p,0.13,0.14,0.32,0.29,0.29,0.0,0.0,0.21,0.17,0.0
hsa-miR-324-3p,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-324-5p,0.0,0.0,0.16,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-326,0.0,0.0,0.32,0.0,0.0,0.0,0.14,0.21,0.0,0.0
hsa-miR-328-3p,2.11,0.28,0.47,1.73,2.44,0.91,2.54,2.47,0.5,2.92
hsa-miR-329-3p,0.13,0.14,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0
hsa-miR-330-3p,0.4,0.55,0.0,0.29,0.43,0.34,0.0,0.62,0.0,0.0
hsa-miR-330-5p,0.26,0.0,0.0,0.0,0.29,0.0,0.14,0.41,0.67,0.52
hsa-miR-331-3p,0.0,0.28,0.32,0.0,0.29,0.11,0.14,0.0,0.17,0.0
hsa-miR-331-5p,0.0,0.28,0.47,0.43,0.43,0.34,0.14,0.0,0.17,0.0
hsa-miR-335-3p,0.0,0.14,0.63,0.29,0.14,0.0,0.28,0.0,0.17,1.03
hsa-miR-335-5p,0.13,0.14,0.47,0.14,0.57,0.11,0.28,0.21,0.83,1.03
hsa-miR-337-3p,0.0,0.14,0.16,0.0,0.14,0.0,0.0,0.0,0.17,0.0
hsa-miR-337-5p,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-338-5p,0.0,0.28,1.11,0.87,0.29,0.0,0.56,1.03,0.17,0.0
hsa-miR-339-3p,0.0,0.0,0.0,0.14,0.29,0.11,0.28,0.0,0.17,0.0
hsa-miR-339-5p,0.4,0.55,0.32,0.29,0.57,0.0,0.28,0.41,0.83,0.34
hsa-miR-33a-5p,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-33b-3p,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-33b-5p,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-340-3p,0.4,0.69,1.11,1.01,0.29,2.15,1.13,1.44,0.0,0.34
hsa-miR-340-5p,0.92,2.9,3.01,2.02,3.73,5.44,2.54,2.47,3.33,10.15
hsa-miR-342-3p,0.0,0.41,1.58,0.58,1.58,0.45,0.28,0.0,1.0,1.38
hsa-miR-342-5p,0.79,0.28,1.11,0.29,0.0,0.34,0.42,0.21,0.33,0.0
hsa-miR-345-5p,0.13,0.41,0.16,0.87,1.0,0.0,0.14,0.21,0.33,1.2
hsa-miR-346,0.0,0.0,0.16,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-34a-5p,0.26,0.28,0.32,0.43,0.86,0.0,0.14,0.0,0.33,0.0
hsa-miR-34b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0
hsa-miR-34c-3p,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.17
hsa-miR-34c-5p,0.0,0.55,0.79,0.87,1.43,0.34,0.7,0.21,5.32,1.55
hsa-miR-3605-3p,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3605-5p,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3609,0.66,0.14,0.79,0.58,0.57,1.36,0.14,0.21,0.33,0.17
hsa-miR-361-3p,1.58,2.62,4.91,1.88,5.88,3.28,3.38,1.65,1.66,2.06
hsa-miR-361-5p,0.4,0.69,0.95,0.87,1.29,0.91,1.13,0.62,0.83,1.72
hsa-miR-3613-5p,0.26,0.28,0.47,0.14,0.29,0.45,0.14,0.0,1.0,0.52
hsa-miR-3614-5p,0.0,0.0,0.32,1.44,0.86,3.85,1.41,1.24,0.0,0.17
hsa-miR-3615,0.66,0.28,0.79,0.72,2.15,2.26,2.68,1.24,0.5,0.86
hsa-miR-362-3p,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-362-5p,0.0,0.14,0.0,0.14,0.14,0.11,0.0,0.0,0.33,0.17
hsa-miR-3620-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0
hsa-miR-363-3p,0.13,0.83,1.74,0.72,9.33,0.91,2.82,6.59,3.16,0.52
hsa-miR-3648,0.13,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.17
hsa-miR-365a-3p,0.0,0.14,0.0,0.14,0.29,0.0,0.42,0.0,0.17,0.0
hsa-miR-365b-3p,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-365b-5p,0.0,0.0,0.0,0.14,0.0,0.23,0.0,0.0,0.0,0.0
hsa-miR-3680-3p,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3689a-3p,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-369-3p,0.13,0.69,0.79,0.43,0.14,0.23,0.42,0.21,0.17,0.86
hsa-miR-369-5p,0.13,0.41,0.16,0.29,0.29,0.11,0.14,0.82,0.0,0.0
hsa-miR-370-3p,0.79,1.66,1.11,1.01,1.29,1.59,1.83,1.03,1.33,1.03
hsa-miR-371b-5p,0.0,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-372-3p,0.0,0.14,0.47,0.0,0.0,0.0,0.0,0.0,0.33,0.0
hsa-miR-374a-3p,0.0,0.14,0.16,0.0,0.0,0.23,0.14,0.0,0.17,0.52
hsa-miR-374a-5p,0.13,0.28,1.11,0.0,0.43,0.45,1.55,0.0,1.66,3.78
hsa-miR-374b-5p,0.0,0.0,1.74,0.29,0.57,0.11,0.99,0.0,0.5,1.2
hsa-miR-375-3p,0.13,0.41,0.16,1.01,1.58,0.23,0.85,0.0,1.16,0.17
hsa-miR-376a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0
hsa-miR-376c-3p,0.0,0.0,0.16,0.0,0.0,0.0,0.14,0.0,0.0,0.0
hsa-miR-378a-3p,1.45,3.04,3.64,2.31,4.45,1.81,3.38,10.3,6.65,4.47
hsa-miR-378a-5p,0.0,0.14,0.0,0.0,0.29,0.0,0.14,0.0,0.0,0.0
hsa-miR-378c,0.0,0.14,0.0,0.0,0.14,0.11,0.28,1.65,1.16,0.0
hsa-miR-378d,0.0,0.69,0.0,0.0,0.14,0.11,0.0,0.21,0.67,0.0
hsa-miR-379-3p,0.0,0.55,0.32,0.14,0.14,0.34,0.0,0.21,0.17,0.17
hsa-miR-379-5p,1.45,1.38,1.42,3.61,1.43,1.36,5.5,3.29,1.33,3.1
hsa-miR-381-3p,0.79,1.38,1.58,1.3,3.01,1.36,2.54,1.65,3.49,1.55
hsa-miR-382-3p,0.13,0.0,0.47,0.0,0.14,0.0,0.0,0.0,0.17,0.34
hsa-miR-382-5p,0.53,1.24,0.95,1.59,0.72,0.34,1.41,1.85,0.0,0.34
hsa-miR-383-5p,0.0,0.14,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0
hsa-miR-3909,0.0,0.0,0.16,0.0,0.29,0.0,0.14,0.0,0.0,0.0
hsa-miR-3913-5p,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0
hsa-miR-3916,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.21,0.0,0.0
hsa-miR-3922-3p,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-3929,0.13,0.55,0.63,0.14,0.43,0.23,0.14,0.21,0.5,0.17
hsa-miR-3934-5p,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-3944-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17
hsa-miR-409-3p,2.64,1.1,1.58,5.91,2.58,1.81,3.52,2.88,1.16,1.55
hsa-miR-409-5p,0.0,0.14,0.47,0.0,0.14,0.11,0.0,0.41,0.17,0.86
hsa-miR-410-3p,0.26,0.0,0.0,0.14,0.0,0.23,0.0,0.21,0.17,0.0
hsa-miR-411-3p,0.13,0.41,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-411-5p,0.4,1.24,2.22,2.16,0.72,0.79,4.51,3.09,1.5,3.44
hsa-miR-412-5p,0.26,1.24,1.58,1.01,1.43,1.13,2.54,1.03,0.33,0.69
hsa-miR-421,0.26,0.41,0.16,0.29,0.14,0.34,0.7,0.21,0.0,0.0
hsa-miR-423-3p,2.64,0.41,2.22,14.28,3.16,2.26,3.1,2.27,10.81,29.4
hsa-miR-423-5p,0.92,3.17,5.07,10.24,6.03,7.93,14.8,28.62,0.83,6.02
hsa-miR-424-3p,0.13,0.55,0.63,1.88,2.73,0.34,0.56,0.41,0.83,0.69
hsa-miR-424-5p,0.0,0.41,0.32,0.14,0.14,0.0,0.56,0.0,1.66,0.69
hsa-miR-425-3p,0.53,0.55,0.79,0.43,0.72,0.11,0.14,0.41,0.17,0.52
hsa-miR-425-5p,1.58,1.93,3.17,2.74,3.87,3.62,3.67,1.85,1.33,0.69
hsa-miR-4286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0
hsa-miR-429,0.0,0.83,0.95,0.14,1.15,0.23,1.55,0.21,4.16,2.24
hsa-miR-431-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17
hsa-miR-431-5p,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.17,0.0
hsa-miR-432-5p,1.32,0.97,1.9,2.6,2.01,0.91,5.64,4.12,0.33,1.38
hsa-miR-4326,0.0,0.55,0.16,0.14,0.14,0.34,0.14,0.0,0.0,0.0
hsa-miR-433-3p,0.79,0.28,0.0,0.29,0.14,0.0,0.14,0.82,0.33,1.55
hsa-miR-433-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0
hsa-miR-4433a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0
hsa-miR-4433b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0
hsa-miR-4433b-5p,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17
hsa-miR-4443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0
hsa-miR-4446-3p,0.0,0.0,0.16,0.29,0.0,0.0,0.0,0.0,0.0,0.17
hsa-miR-4449,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-4485-3p,0.13,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4487,0.0,0.0,0.0,0.0,0.0,0.11,0.14,0.0,0.17,0.0
hsa-miR-4488,0.0,0.0,0.32,0.29,0.0,0.0,0.0,0.0,0.0,0.34
hsa-miR-4492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34
hsa-miR-4497,0.0,0.0,0.0,0.29,0.0,0.11,0.0,0.0,0.0,0.0
hsa-miR-449a,0.0,0.14,0.47,0.87,0.14,0.0,0.14,0.0,1.66,0.34
hsa-miR-449c-5p,0.0,0.41,0.32,2.31,0.43,0.11,0.0,0.0,2.66,0.69
hsa-miR-4500,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0
hsa-miR-4507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0
hsa-miR-4508,0.0,0.14,0.16,0.43,0.0,0.11,0.0,0.0,0.0,0.34
hsa-miR-450a-1-3p,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0
hsa-miR-450a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17
hsa-miR-450a-5p,0.4,0.69,0.63,0.43,1.87,2.49,1.27,0.62,2.49,3.78
hsa-miR-450b-5p,0.26,0.69,0.79,0.58,0.57,0.91,0.85,0.41,1.5,2.92
hsa-miR-4516,0.0,0.41,0.16,0.0,0.0,0.11,0.0,0.0,0.0,0.69
hsa-miR-451a,0.13,1.24,74.24,1.88,431.89,1.59,187.11,8.85,7.48,24.93
hsa-miR-452-3p,0.0,0.28,0.16,0.0,0.0,0.0,0.28,0.0,0.0,0.0
hsa-miR-452-5p,0.0,0.0,0.16,0.0,0.29,0.0,0.0,0.0,0.5,0.17
hsa-miR-4521,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.33,0.17
hsa-miR-454-3p,0.0,0.0,0.16,0.14,0.86,0.23,0.28,0.0,0.5,0.34
hsa-miR-454-5p,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.0,0.0,0.0
hsa-miR-455-3p,0.0,0.28,0.63,1.3,1.29,0.0,0.56,0.0,0.67,1.38
hsa-miR-455-5p,0.13,0.83,1.11,1.01,0.86,0.45,1.13,0.41,2.16,1.55
hsa-miR-4645-3p,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0
hsa-miR-4660,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0
hsa-miR-4675,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4676-3p,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0
hsa-miR-4676-5p,0.0,0.14,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0
hsa-miR-4677-5p,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4705,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4732-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0
hsa-miR-4749-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17
hsa-miR-4755-3p,0.0,0.28,0.95,0.43,0.72,0.11,0.7,0.21,0.33,0.0
hsa-miR-4755-5p,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4762-3p,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.17
hsa-miR-4772-3p,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.17
hsa-miR-4772-5p,0.0,0.0,0.16,0.0,0.14,0.23,0.0,0.0,0.0,1.03
hsa-miR-4773,0.0,0.0,0.0,0.0,0.29,0.11,0.14,0.0,0.0,0.0
hsa-miR-4791,0.0,0.28,0.16,0.29,0.0,0.0,0.0,0.21,0.5,0.34
hsa-miR-483-3p,0.0,0.0,0.0,0.14,0.43,0.0,0.14,0.21,0.17,0.52
hsa-miR-484,0.66,0.55,1.42,0.87,3.16,0.45,1.41,1.44,1.5,3.78
hsa-miR-485-3p,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.17,0.52
hsa-miR-485-5p,0.13,0.0,0.16,0.0,0.14,0.0,0.0,0.21,0.0,0.0
hsa-miR-486-3p,0.0,0.14,0.32,0.14,1.58,0.0,0.99,1.44,0.0,0.17
hsa-miR-486-5p,10.14,1.52,0.95,7.21,1.72,0.0,26.23,0.21,3.66,0.34
hsa-miR-487a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0
hsa-miR-487b-3p,0.0,0.14,0.0,0.29,0.14,0.23,0.28,0.62,0.0,0.17
hsa-miR-490-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17
hsa-miR-491-3p,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0
hsa-miR-493-3p,0.53,0.97,0.79,1.3,0.57,0.34,2.11,1.44,0.17,0.0
hsa-miR-493-5p,0.26,1.38,2.06,1.15,1.15,2.15,1.13,0.41,1.0,1.03
hsa-miR-494-3p,0.66,1.24,1.74,1.01,1.43,0.91,1.69,1.65,0.33,1.55
hsa-miR-495-3p,0.92,3.45,3.32,1.44,2.87,1.93,3.1,2.27,0.5,1.03
hsa-miR-497-5p,0.13,0.14,0.16,0.29,0.43,0.0,0.42,0.0,1.0,0.52
hsa-miR-499a-5p,0.26,0.28,0.79,0.14,0.14,0.0,0.42,0.0,0.33,0.0
hsa-miR-500a-3p,0.0,0.28,0.79,0.14,0.43,0.11,0.28,0.21,0.67,1.03
hsa-miR-500a-5p,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-501-3p,0.0,0.0,0.0,0.14,0.57,0.11,0.0,0.41,0.33,0.17
hsa-miR-501-5p,0.13,0.0,0.0,0.14,0.0,0.0,0.14,0.0,0.0,0.17
hsa-miR-5010-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0
hsa-miR-502-3p,0.0,0.14,0.47,0.14,0.57,0.23,0.0,0.0,0.5,0.17
hsa-miR-503-5p,0.0,0.28,0.0,0.0,0.29,0.0,0.0,0.0,0.33,0.0
hsa-miR-504-3p,0.0,0.41,0.0,0.0,0.14,0.11,1.83,0.0,0.0,0.52
hsa-miR-504-5p,0.0,0.0,0.16,0.72,0.14,0.34,0.28,0.0,0.33,0.17
hsa-miR-505-3p,0.0,0.14,0.32,0.29,0.57,0.11,0.14,0.21,0.17,0.17
hsa-miR-505-5p,0.0,0.0,0.16,0.29,0.14,0.34,0.14,0.0,0.0,0.0
hsa-miR-508-3p,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0
hsa-miR-5090,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-511-5p,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0
hsa-miR-512-3p,0.13,3.73,0.32,0.29,0.0,0.11,0.28,0.21,0.17,0.34
hsa-miR-515-5p,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-516a-5p,0.4,4.83,0.47,0.43,0.0,0.11,0.42,0.41,0.5,0.17
hsa-miR-516b-5p,0.0,0.28,0.16,0.0,0.0,0.0,0.14,0.0,0.0,0.0
hsa-miR-517a-3p,0.0,0.0,0.0,0.0,0.0,0.11,0.28,0.21,0.0,0.0
hsa-miR-517b-3p,0.13,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17
hsa-miR-518b,0.0,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-518c-5p,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-518d-5p,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-518e-3p,0.0,1.38,0.0,0.14,0.0,0.0,0.14,0.0,0.0,0.34
hsa-miR-518e-5p,0.0,0.0,0.16,0.43,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-519a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0
hsa-miR-519a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0
hsa-miR-519b-5p,0.0,2.76,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-519d-3p,0.0,0.28,0.47,0.0,0.14,0.0,0.14,0.0,0.0,0.0
hsa-miR-520a-3p,0.26,3.04,0.0,0.43,0.29,0.0,0.28,0.21,0.5,0.0
hsa-miR-520a-5p,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-520d-3p,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-520f-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0
hsa-miR-520f-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0
hsa-miR-520g-3p,0.0,0.69,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-520h,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-522-3p,0.13,3.04,0.32,0.43,0.0,0.11,0.28,0.21,0.17,0.0
hsa-miR-522-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0
hsa-miR-523-3p,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-523-5p,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0
hsa-miR-525-5p,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-526a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0
hsa-miR-532-3p,0.0,0.14,0.16,0.0,0.29,0.11,0.0,0.0,0.0,0.0
hsa-miR-532-5p,1.19,2.62,2.37,4.18,6.74,1.47,4.93,4.12,6.98,4.99
hsa-miR-539-3p,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-539-5p,0.0,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-541-5p,0.0,0.0,0.16,0.29,0.14,0.0,0.14,0.21,0.0,0.0
hsa-miR-542-3p,0.0,0.55,0.47,0.0,0.29,0.11,0.56,0.0,1.66,0.52
hsa-miR-543,4.48,2.48,2.37,9.09,3.01,2.72,7.05,5.77,0.83,5.5
hsa-miR-545-5p,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-548ad-5p,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0
hsa-miR-548al,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0
hsa-miR-548ar-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0
hsa-miR-548ay-5p,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-548d-5p,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0
hsa-miR-548e-3p,0.0,0.14,0.0,0.14,0.14,0.34,0.0,0.0,0.0,0.0
hsa-miR-548f-3p,0.0,0.0,0.32,0.0,0.0,0.11,0.0,0.0,0.0,0.34
hsa-miR-548i,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17
hsa-miR-548j-5p,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.17,0.0
hsa-miR-548k,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0
hsa-miR-548l,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548o-3p,0.0,0.0,0.32,0.14,0.29,0.11,0.14,0.0,0.17,0.0
hsa-miR-548q,0.0,0.0,0.0,0.14,0.0,0.0,0.14,0.0,0.0,0.0
hsa-miR-548v,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0
hsa-miR-550a-3-5p,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-550a-3p,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-550a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0
hsa-miR-551a,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-552-3p,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5690,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-5697,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-574-3p,0.0,0.0,0.32,0.58,2.73,0.11,0.85,0.21,1.16,0.86
hsa-miR-574-5p,0.0,0.0,0.0,0.29,1.29,0.11,0.14,0.21,0.5,0.52
hsa-miR-576-3p,0.26,0.14,0.16,0.0,0.14,0.57,0.14,0.0,0.17,0.17
hsa-miR-576-5p,0.0,0.14,0.32,0.14,0.14,0.34,0.14,0.0,0.0,0.0
hsa-miR-577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17
hsa-miR-582-3p,0.13,0.14,0.79,0.14,0.14,0.34,0.14,0.0,0.0,0.52
hsa-miR-582-5p,0.0,0.0,0.16,0.0,0.14,0.0,0.14,0.0,0.0,0.17
hsa-miR-584-5p,0.0,0.14,0.47,0.14,0.29,0.11,0.14,0.41,0.0,0.34
hsa-miR-589-5p,0.0,0.0,0.16,0.0,0.14,0.0,0.0,0.0,0.17,0.0
hsa-miR-590-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.17,0.0
hsa-miR-597-3p,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-597-5p,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-598-3p,0.0,0.14,0.0,0.0,0.14,0.0,0.14,0.21,0.17,0.0
hsa-miR-600,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-615-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52
hsa-miR-616-5p,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
