miRNA,SRR8696980,SRR8696981,SRR8696982,SRR8696983,SRR8696984,SRR8696985,SRR8696986,SRR8696987,SRR8696988,SRR8696989,SRR8696990,SRR8696991,SRR8696992,SRR8696993,SRR8696994,SRR8696995,SRR8696996,SRR8696997
hsa-miR-130a-3p,7.65,26.15,4.88,36.0,3.57,43.18,17.83,22.62,0.12,1.37,0.8,20.08,31.41,9.06,6.55,30.68,3.84,1.1
hsa-miR-130a-5p,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.26,0.0,0.0,0.0,0.0,0.0
hsa-miR-130b-3p,1.52,0.43,0.0,1.65,0.05,5.3,2.84,0.0,0.08,1.74,0.21,0.2,0.88,0.0,0.12,1.11,2.05,0.0
hsa-miR-130b-5p,6.44,19.05,3.94,21.6,22.56,107.87,66.19,102.41,0.35,3.9,2.68,27.49,10.46,0.29,0.83,25.94,2.05,35.0
hsa-miR-132-3p,0.0,7.53,1.0,0.08,0.27,0.07,2.94,2.16,1.48,0.0,0.03,1.95,0.44,0.51,0.24,1.29,0.0,0.0
hsa-miR-132-5p,24.24,101.76,15.15,55.46,36.65,146.98,69.13,98.14,17.24,15.88,6.71,162.79,23.6,36.82,71.05,15.12,6.65,37.99
hsa-miR-133a-3p,0.31,0.28,0.0,2.96,0.16,0.2,5.88,2.16,2.1,0.56,0.31,4.24,13.94,1.68,46.65,1.78,1.02,0.63
hsa-miR-133b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.36,0.0,0.0,0.0
hsa-miR-134-3p,0.0,0.0,0.0,3.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.44,1.63,0.0,0.0,0.0,0.0,0.0
hsa-miR-134-5p,0.45,0.0,0.0,16.74,0.27,12.83,0.3,1.97,0.0,0.04,0.0,3.77,11.43,0.0,0.0,1.17,0.77,0.0
hsa-miR-1343-3p,3.8,0.0,0.0,0.0,0.0,1.09,3.59,1.31,2.57,4.6,1.56,2.29,1.99,12.79,140.9,0.12,0.26,3.78
hsa-miR-135a-3p,1.83,0.0,0.0,0.82,0.0,0.0,0.4,2.35,0.0,0.0,0.1,6.06,1.1,0.0,0.0,0.0,0.0,0.0
hsa-miR-135a-5p,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.52,0.08,0.0,0.0,0.27,0.66,0.0,0.0,0.0,0.0,0.16
hsa-miR-135b-5p,0.0,1.42,0.06,0.67,0.05,0.0,0.25,1.13,0.0,0.0,0.0,0.0,0.22,0.0,0.24,0.06,1.02,0.0
hsa-miR-136-3p,2.77,8.53,0.0,2.76,0.0,0.0,0.4,2.44,0.0,0.0,0.07,7.01,5.82,0.07,0.12,0.06,0.0,0.16
hsa-miR-136-5p,0.36,0.0,0.0,7.03,0.0,0.0,0.9,3.24,0.0,0.0,0.03,9.3,1.85,7.67,0.12,0.0,0.0,0.0
hsa-miR-137-3p,0.22,0.99,0.06,0.0,0.0,0.0,0.0,0.0,0.08,1.48,0.0,8.02,0.0,0.0,0.0,0.0,1.28,0.16
hsa-miR-138-2-3p,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-138-5p,3.26,6.4,0.63,0.03,2.08,0.07,3.98,0.61,0.16,0.07,0.31,13.27,0.53,0.0,0.48,0.12,0.26,1.1
hsa-miR-139-3p,69.94,157.9,46.07,57.14,197.16,400.75,455.73,314.87,22.84,73.03,36.72,119.12,164.46,117.26,292.64,214.38,9.97,175.45
hsa-miR-139-5p,1640.09,4686.83,880.35,2451.84,2757.52,5972.41,8224.89,4626.58,365.6,1190.31,515.71,4409.11,5716.21,1973.61,2409.64,2638.44,117.87,3520.13
hsa-miR-140-3p,0.58,9.81,0.13,28.58,5.76,12.56,1.34,2.77,0.27,0.45,0.1,12.73,26.43,1.32,21.06,3.87,1.28,2.68
hsa-miR-140-5p,0.22,27.43,9.2,23.69,9.76,27.36,34.62,26.42,0.19,0.15,0.28,3.3,19.63,0.58,11.31,11.87,14.83,21.75
hsa-miR-141-3p,0.0,5.83,4.26,0.03,0.16,0.0,0.1,0.75,0.0,0.04,1.18,0.07,0.18,0.0,0.0,0.06,299.4,0.16
hsa-miR-141-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
hsa-miR-142-3p,0.0,108.44,63.78,33.91,27.42,11.0,38.1,37.64,0.31,2.49,1.46,7.28,27.18,0.73,6.31,22.69,2387.04,0.32
hsa-miR-142-5p,2.64,32.97,8.64,43.41,23.84,2.24,51.3,41.54,0.16,1.08,3.4,18.93,103.45,1.61,23.92,72.55,332.13,0.16
hsa-miR-143-3p,71.28,817.1,24.35,851.2,198.01,283.43,339.83,458.49,29.96,43.23,24.04,204.29,542.53,117.19,1603.26,89.15,39.89,92.54
hsa-miR-143-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0
hsa-miR-144-3p,0.04,9.1,2.07,0.82,5.33,11.47,24.41,1.41,3.77,2.12,0.1,1.21,0.75,6.79,3.69,43.1,2.81,0.63
hsa-miR-144-5p,0.0,0.0,0.0,1.36,0.05,0.0,1.29,0.47,0.0,0.0,0.03,0.07,0.4,0.0,0.12,1.29,0.0,0.16
hsa-miR-145-3p,0.0,0.0,0.0,0.7,0.05,0.0,1.1,0.0,0.0,0.11,0.0,0.0,0.49,0.07,2.5,0.0,0.0,0.0
hsa-miR-145-5p,11.9,4.41,0.0,13.0,0.21,2.31,16.59,9.01,14.36,15.51,4.97,10.24,32.47,62.39,1752.73,3.01,3.58,13.87
hsa-miR-1468-5p,12.61,34.82,4.01,5.41,5.87,74.0,30.53,37.12,0.27,3.75,5.32,3.37,6.62,0.8,14.28,16.17,0.26,0.0
hsa-miR-146a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.31,0.0,0.0,0.0,0.0,0.0
hsa-miR-146a-5p,777.21,9885.89,330.42,13868.43,1579.78,5148.52,3299.38,7015.06,111.15,305.8,234.4,3181.81,20529.19,817.92,653.82,2876.49,1789.51,311.66
hsa-miR-146b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-146b-5p,10.6,39.8,8.07,30.1,12.86,34.62,19.08,27.83,0.27,1.82,2.43,25.33,20.6,3.43,20.59,14.26,32.47,10.25
hsa-miR-147b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0
hsa-miR-148a-3p,0.76,50.31,0.44,27.47,0.85,10.73,9.51,23.84,0.16,0.3,0.14,5.39,49.94,8.62,9.4,4.8,4.6,4.26
hsa-miR-148a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.16
hsa-miR-148b-3p,0.04,0.71,0.0,4.35,0.16,12.76,3.09,3.8,0.0,0.0,0.0,0.54,5.34,0.0,0.0,0.12,0.0,0.16
hsa-miR-148b-5p,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.26,0.0
hsa-miR-149-3p,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0
hsa-miR-149-5p,155.13,56.57,55.08,6.15,17.23,93.01,26.7,32.67,5.06,8.76,12.19,1397.36,6.22,173.52,85.92,4.92,4.35,36.57
hsa-miR-150-3p,7.07,0.0,9.95,6.03,31.69,25.32,21.37,8.96,0.08,0.0,0.14,26.88,8.34,10.67,63.55,24.16,1.02,0.0
hsa-miR-150-5p,319.6,2671.3,223.77,237.4,2461.72,2165.37,4558.64,375.98,94.5,831.86,355.93,527.3,330.91,1212.89,2603.62,3372.39,1008.15,2681.48
hsa-miR-151a-3p,5.32,122.51,7.51,854.37,14.14,134.22,122.67,262.69,0.27,4.75,5.42,57.95,337.17,1.9,54.03,21.15,7.93,1.58
