miRNA,SRR22777518,SRR22777519,SRR22777520,SRR22777521,SRR22777522,SRR22777523,SRR22777524,SRR22777525,SRR22777526,SRR22777527,SRR22777528,SRR22777529,SRR22777530,SRR22777531,SRR22777532,SRR22777533,SRR22777534,SRR22777535,SRR22777536,SRR22777537,SRR22777538,SRR22777539,SRR22777540,SRR22777541,SRR22777542,SRR22777543,SRR22777544,SRR22777545,SRR22777546
hsa-miR-1249-3p,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.07,0.25,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1250-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0
hsa-miR-1250-5p,0.4,6.33,1.06,0.61,2.26,0.56,0.89,0.74,2.25,0.88,0.36,0.0,0.0,0.0,2.01,0.74,1.51,1.34,1.24,0.0,0.23,2.55,0.0,1.64,0.11,0.0,0.0,0.1,0.84
hsa-miR-1255a,0.33,11.01,4.02,4.54,0.58,9.44,1.77,5.04,4.12,1.97,0.45,1.44,0.72,0.0,3.41,4.09,5.13,8.52,2.48,0.0,2.38,2.03,0.0,4.92,7.04,1.03,3.48,3.56,6.31
hsa-miR-1255b-5p,0.37,1.27,0.92,1.69,1.31,0.74,0.81,0.44,0.69,0.41,0.81,2.7,8.27,12.93,0.7,5.09,1.68,1.14,0.0,2.41,0.92,2.36,0.0,4.71,8.25,4.12,4.2,0.0,3.12
hsa-miR-1256,0.26,0.33,0.21,0.0,0.15,0.0,0.0,0.0,0.12,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.14,0.0,0.41,0.0,0.0,0.0,0.0,0.08
hsa-miR-1258,0.07,0.0,0.0,0.07,0.66,0.0,0.4,1.19,0.25,0.0,0.0,0.0,0.0,0.0,0.26,2.11,0.0,0.06,0.31,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
hsa-miR-125a-3p,2.6,0.5,8.67,4.2,2.98,5.92,1.93,5.33,2.5,0.27,3.13,1.44,12.44,0.4,3.14,9.92,7.4,1.65,15.95,5.73,2.23,9.02,4.88,3.69,9.78,8.44,5.63,11.18,1.75
hsa-miR-125a-5p,42.66,13.98,134.95,28.75,26.5,46.1,31.08,68.75,48.29,12.24,49.91,154.26,197.13,153.52,46.29,17.99,113.03,17.87,237.36,186.6,70.34,72.89,178.78,62.47,189.32,139.39,118.31,79.71,39.16
hsa-miR-125b-1-3p,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,1.96,0.0,0.28,0.0,0.0,0.33,0.0,0.1,0.0,0.0
hsa-miR-125b-2-3p,0.11,0.22,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.31,0.0,0.0
hsa-miR-125b-5p,0.0,0.11,0.49,0.2,0.15,0.37,0.16,0.81,0.19,0.2,0.18,0.72,3.91,0.0,0.17,0.0,0.5,0.06,0.0,3.77,0.31,0.47,0.0,0.31,0.77,1.65,2.25,0.0,0.76
hsa-miR-126-3p,71.0,551.52,223.37,122.85,284.91,71.09,127.13,262.17,694.44,157.22,78.99,106.44,163.27,42.02,52.66,93.91,125.3,153.6,236.74,121.74,93.3,104.48,124.39,281.84,166.78,81.53,205.68,68.93,204.38
hsa-miR-126-5p,1072.71,1858.86,2133.48,1408.34,1724.32,682.25,1588.93,2286.33,1621.98,952.98,1021.55,1709.08,2937.57,1393.81,732.38,1112.25,1165.35,1783.51,3016.0,2470.16,1186.45,1321.91,2633.46,2930.7,2050.62,1931.91,3327.61,2416.19,2356.1
hsa-miR-1260b,0.92,8.59,2.89,1.69,11.36,0.74,1.13,4.59,10.29,1.29,0.45,2.7,0.91,0.0,0.96,6.2,1.76,1.84,0.77,0.0,0.77,4.44,0.0,1.43,1.32,0.0,0.41,0.0,1.6
hsa-miR-1262,0.0,0.0,0.0,0.14,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1.24,0.59,0.0,0.0,0.0,0.0,0.0,5.05,0.1,0.11,0.0,0.31,0.0,0.3
hsa-miR-1265,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1266-5p,0.15,0.17,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
hsa-miR-1268a,0.15,0.0,0.0,0.41,0.0,0.0,0.16,0.07,0.0,0.0,0.0,1.08,3.06,0.0,0.0,0.0,0.0,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0
hsa-miR-1268b,0.04,0.0,0.07,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.08
hsa-miR-1269a,0.0,0.06,0.0,0.0,0.07,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1269b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-127-3p,643.43,480.89,397.66,726.95,182.71,512.29,775.1,365.88,116.11,183.8,329.63,255.66,205.86,138.57,137.46,549.92,944.17,1424.29,385.69,124.15,240.81,700.94,123.09,481.03,217.46,60.53,886.65,138.88,705.91
hsa-miR-127-5p,0.92,9.69,1.2,2.98,1.53,1.11,1.29,1.85,1.37,0.95,1.34,0.0,0.0,0.0,0.0,1.36,4.29,4.07,0.46,0.0,0.31,1.42,0.0,0.82,0.44,0.0,2.15,0.0,0.99
hsa-miR-1270,1.83,4.51,4.58,4.81,3.13,0.93,3.38,0.96,3.56,1.9,1.61,3.96,3.65,4.85,3.58,7.94,5.71,3.75,2.63,2.11,2.0,5.71,5.21,3.38,16.82,19.56,13.83,0.0,5.32
hsa-miR-1271-5p,0.07,0.28,0.35,0.2,1.09,0.0,0.08,0.07,0.25,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.08,0.51,0.0,0.3,0.23,0.19,0.0,0.1,0.22,0.0,0.1,3.05,0.08
hsa-miR-1273h-3p,10.47,25.16,20.8,14.44,35.3,14.81,17.71,19.78,20.4,15.36,14.04,5.75,4.36,5.25,12.58,29.77,26.14,26.52,19.51,7.24,16.97,30.22,0.0,17.31,11.32,2.88,18.13,5.49,19.77
hsa-miR-1273h-5p,7.14,18.17,18.54,14.58,29.41,2.22,13.12,16.08,17.41,16.18,16.55,16.18,26.7,25.86,36.59,80.88,54.71,47.0,51.1,21.27,18.2,30.55,2.93,19.87,14.4,7.62,17.11,10.57,21.67
hsa-miR-1275,0.51,0.44,0.63,0.2,0.07,0.0,0.24,0.07,0.06,0.14,0.18,7.73,1.95,0.81,0.26,1.49,0.0,0.0,0.0,3.47,0.23,0.8,4.72,2.05,2.2,0.62,2.15,0.0,1.75
