miRNA,SRR13608450,SRR13608451,SRR13608452,SRR13608453,SRR13608454,SRR13608455,SRR13608456,SRR13608457,SRR13608458,SRR13608459,SRR13608460,SRR13608461,SRR13608462,SRR13608463,SRR13608464,SRR13608465,SRR13608466,SRR13608467,SRR13608468,SRR13608469,SRR13608470,SRR13608471
hsa-miR-548aq-3p,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548ar-3p,5.0,0.0,2.0,6.0,0.0,0.0,24.0,8.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,9.0,0.0,0.0,0.0,12.0
hsa-miR-548aw,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548ay-5p,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,19.0,2.0,0.0,3.0,0.0,0.0,5.0,2.0,0.0,8.0,11.0,2.0,0.0
hsa-miR-548az-5p,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
hsa-miR-548b-5p,0.0,9.0,4.0,0.0,0.0,0.0,12.0,2.0,5.0,19.0,0.0,3.0,4.0,0.0,0.0,11.0,1.0,0.0,16.0,11.0,0.0,12.0
hsa-miR-548bc,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548d-5p,0.0,6.0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,3.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548e-3p,11.0,26.0,8.0,2.0,0.0,6.0,44.0,9.0,39.0,51.0,6.0,4.0,9.0,5.0,3.0,35.0,12.0,3.0,31.0,7.0,6.0,12.0
hsa-miR-548f-3p,0.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,3.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,8.0,1.0,0.0,0.0
hsa-miR-548h-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
