miRNA,SRR15035013,SRR15035014,SRR15035015,SRR15035016,SRR15035017,SRR15035018,SRR15035019,SRR15035020,SRR15035021,SRR15035022,SRR15035023,SRR15035024,SRR15035025,SRR15035027,SRR15035028,SRR15035029,SRR15035030,SRR15035031,SRR15035032,SRR15035033,SRR15035034,SRR15035035,SRR15035036,SRR15035037,SRR15035038,SRR15035039,SRR15035040,SRR15035041,SRR15035042,SRR15035043,SRR15035044,SRR15035045
hsa-miR-19a-3p,13.11,16.48,32.48,34.59,31.84,10.5,40.7,31.48,9.87,17.95,28.39,14.71,37.65,35.97,53.42,44.58,28.08,39.16,30.05,6.49,36.77,69.02,14.65,27.92,43.29,24.13,23.51,20.16,21.75,20.59,15.93,30.3
hsa-miR-19b-3p,128.69,62.98,117.8,135.19,46.43,24.87,214.05,129.74,119.73,131.92,95.28,102.47,152.5,96.4,174.74,120.38,116.5,141.36,98.72,32.67,81.27,89.19,58.03,75.91,176.76,93.54,75.69,59.65,138.78,135.46,62.96,80.09
hsa-miR-200a-3p,0.0,0.0,0.0,5.19,0.0,0.0,2.26,1.86,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,4.19,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-200a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-200b-3p,0.0,0.73,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,5.69,0.0,2.59,0.14,1.1,0.0,0.0,0.0,0.0,0.0,0.0,8.21,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0
hsa-miR-200c-3p,0.0,1.1,1.92,8.07,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,2.54,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,0.0,1.4,0.0,10.08,0.0,0.0,0.0,1.23
hsa-miR-203a-3p,619.6,257.79,379.39,236.07,54.39,11.05,3.77,236.47,227.73,348.93,5.05,120.49,1292.79,851.85,100.23,11.39,530.05,380.01,13.04,3.65,135.46,39.29,32.24,1.31,2.89,268.37,53.99,111.74,0.0,293.67,0.1,84.1
hsa-miR-204-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,0.0,0.0,0.0,0.0,0.0
hsa-miR-204-5p,18.27,14.83,36.32,30.27,2.65,11.6,11.31,24.98,11.11,6.24,25.24,36.53,6.56,25.86,18.42,14.79,44.09,21.55,12.53,7.31,0.0,41.41,97.89,27.92,19.48,14.16,9.56,0.0,1.13,0.0,3.48,5.79
hsa-miR-205-5p,0.0,1.83,0.74,56.21,0.0,11.05,3.01,4.58,0.0,4.68,0.0,0.0,16.08,2.82,6.47,0.22,4.19,6.92,2.81,0.0,0.0,0.0,7.62,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-208a-3p,0.0,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-208b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-20a-3p,8.74,0.0,0.0,0.0,0.0,0.0,3.77,0.0,0.0,7.03,0.0,0.0,4.44,0.0,0.0,0.55,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0
hsa-miR-20a-5p,21.05,19.5,31.74,51.31,1.33,37.58,42.21,24.43,16.05,5.46,13.88,8.06,67.05,9.17,40.63,48.75,25.62,44.63,44.5,4.06,0.0,30.79,16.41,5.24,10.46,34.09,13.69,0.0,9.0,18.42,13.62,21.05
