miRNA,SRR2927797,SRR2927798,SRR2927799,SRR2927800,SRR2927801,SRR2927802,SRR2927803,SRR2927804,SRR2927805,SRR2927806,SRR2927807,SRR2927808,SRR2927809,SRR2927810,SRR2927811,SRR2927812,SRR2927813,SRR3592837,SRR3592838,SRR3592839,SRR3592840,SRR3592841,SRR3592842,SRR3592843,SRR3592844,SRR3592845,SRR3592846,SRR3592847,SRR3592848,SRR3592849,SRR3592850,SRR3592851,SRR3592852,SRR3592853
hsa-miR-342-3p,120.69,140.76,164.78,119.1,96.83,247.6,249.23,174.91,118.28,134.89,99.12,120.9,484.6,127.93,256.79,235.99,165.3,95.12,169.81,133.72,94.76,94.12,230.63,252.33,180.35,92.44,130.19,90.51,83.74,399.66,119.59,232.98,224.48,146.32
hsa-miR-342-5p,9.25,5.96,15.57,9.26,4.26,10.82,31.0,11.93,6.98,8.42,3.18,10.27,18.78,11.68,16.06,9.31,4.0,13.87,6.53,8.91,10.77,3.04,9.67,21.75,14.51,15.41,9.17,0.0,10.31,9.29,11.5,13.16,11.29,3.25
hsa-miR-345-3p,0.0,0.23,0.56,0.53,0.0,0.18,0.24,0.0,0.17,0.0,0.0,0.0,0.4,0.0,0.0,0.23,0.0,0.0,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-345-5p,32.26,48.14,144.2,64.8,90.54,53.02,49.89,27.1,55.65,29.57,25.32,37.87,72.14,25.64,36.61,50.65,31.46,25.76,50.07,118.12,64.61,81.98,56.62,50.03,29.02,43.14,27.51,20.52,47.67,91.4,39.1,38.17,53.65,26.01
hsa-miR-346,0.0,0.0,0.19,0.53,0.0,0.36,0.0,0.0,0.5,0.48,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,0.0
hsa-miR-34a-3p,4.06,0.69,1.3,4.81,2.44,0.18,0.97,1.81,1.99,1.44,1.74,0.0,6.79,0.0,3.28,5.0,1.0,3.96,0.0,0.0,8.61,1.52,0.0,0.0,0.0,1.54,0.0,1.21,0.0,7.75,0.0,2.63,5.65,0.0
hsa-miR-34a-5p,178.66,78.86,48.19,249.6,336.97,82.59,95.91,142.75,84.73,72.85,109.83,72.75,378.89,60.69,143.16,129.46,57.93,180.33,82.73,46.8,271.37,318.8,95.29,73.96,120.24,90.9,73.35,117.06,77.3,359.39,66.7,151.37,153.89,40.64
hsa-miR-34b-3p,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-34b-5p,0.0,0.23,0.0,2.85,0.81,0.0,0.0,0.0,0.0,0.0,0.14,0.21,0.0,0.0,0.0,0.23,0.75,0.0,0.0,0.0,2.15,0.0,0.0,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,0.0
hsa-miR-34c-3p,0.0,0.0,0.0,1.07,0.0,0.0,0.24,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
