miRNA,GSM4804998,GSM4804999,GSM4805000,GSM4805001,GSM4805002,GSM4805003
hsa-miR-32-3p,1.43,0.0,0.0,0.37,0.61,0.0
hsa-miR-32-5p,18.25,22.89,6.95,14.88,15.64,5.35
hsa-miR-3200-5p,0.72,0.0,0.0,0.0,0.0,0.0
hsa-miR-320a-3p,4103.54,4759.16,3037.26,5923.68,4683.45,3879.44
hsa-miR-320a-5p,0.0,1.27,0.53,0.0,0.0,0.0
hsa-miR-320b,533.52,704.23,271.94,729.16,469.51,313.09
hsa-miR-320c,52.6,328.16,97.24,49.41,267.42,94.46
hsa-miR-320d,18.96,32.65,28.32,51.79,296.55,7.13
hsa-miR-320e,1.43,33.07,0.0,2.39,3.37,1.78
hsa-miR-323a-3p,29.7,40.7,24.04,36.18,33.73,13.07
hsa-miR-323a-5p,2.5,1.27,0.0,8.63,6.44,5.94
hsa-miR-323b-3p,13.96,16.96,3.21,7.35,15.64,3.56
hsa-miR-323b-5p,0.0,0.0,0.0,0.37,0.0,0.0
hsa-miR-324-3p,0.36,0.0,0.0,0.73,0.0,0.0
hsa-miR-324-5p,0.0,0.0,0.0,0.73,0.92,0.0
hsa-miR-326,2.15,2.97,1.6,4.04,1.23,1.78
hsa-miR-328-3p,320.61,318.83,119.67,365.13,275.08,141.99
hsa-miR-329-3p,17.18,13.14,7.48,6.61,4.6,7.13
hsa-miR-329-5p,0.36,0.85,0.53,0.0,0.61,0.59
hsa-miR-330-3p,23.26,13.57,12.29,34.16,21.47,10.1
hsa-miR-330-5p,1.79,2.97,1.07,2.57,1.53,2.97
hsa-miR-331-3p,0.36,1.27,0.0,0.55,0.31,0.59
hsa-miR-331-5p,6.08,3.39,3.74,1.65,1.53,1.78
hsa-miR-335-3p,58.33,49.18,33.66,48.12,39.87,33.86
hsa-miR-335-5p,169.97,122.53,75.86,135.73,74.21,51.09
hsa-miR-337-3p,21.47,27.98,13.36,17.26,25.76,8.91
hsa-miR-337-5p,0.72,2.12,0.0,2.02,2.15,0.59
hsa-miR-338-3p,0.0,0.0,0.0,0.55,0.0,0.0
hsa-miR-338-5p,12.17,16.96,0.0,7.9,6.44,0.0
hsa-miR-339-3p,12.17,21.62,9.62,18.73,18.09,13.07
hsa-miR-339-5p,7.16,8.9,3.21,6.06,7.36,4.16
hsa-miR-33a-5p,0.72,1.7,0.0,0.0,0.0,0.59
hsa-miR-33b-5p,0.0,0.0,0.0,0.55,0.0,0.0
hsa-miR-340-3p,4.65,14.42,5.88,6.61,7.67,3.56
hsa-miR-340-5p,187.14,210.72,86.55,148.96,116.84,67.73
hsa-miR-342-3p,42.58,33.07,30.45,45.55,34.65,16.04
hsa-miR-342-5p,20.75,35.61,17.1,49.22,77.28,18.42
hsa-miR-345-5p,8.23,10.18,4.81,9.18,10.73,3.56
hsa-miR-346,2.86,0.42,1.07,3.31,3.37,0.0
hsa-miR-34a-5p,10.02,14.84,4.81,7.71,11.96,1.78
hsa-miR-34b-3p,1.79,4.24,0.53,3.86,3.99,0.59
hsa-miR-34b-5p,0.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-34c-3p,0.36,0.85,0.0,0.0,0.0,0.0
hsa-miR-34c-5p,14.31,29.25,13.89,25.35,26.99,21.98
hsa-miR-3605-3p,18.25,14.84,2.67,19.29,20.85,5.35
hsa-miR-3605-5p,1.79,7.21,2.67,6.43,13.8,1.19
hsa-miR-3609,0.0,0.0,0.53,0.18,0.61,0.0
hsa-miR-361-3p,76.57,68.26,51.82,94.59,88.32,60.0
hsa-miR-361-5p,91.6,58.93,40.07,60.06,29.13,20.79
hsa-miR-3611,0.36,0.0,0.0,0.37,0.0,0.0
hsa-miR-3612,0.36,0.0,0.0,1.29,1.84,0.0
hsa-miR-3613-3p,0.0,0.0,0.0,0.18,0.0,0.0
hsa-miR-3613-5p,30.42,53.0,14.43,27.92,25.76,16.04
hsa-miR-3614-5p,0.72,0.85,0.0,0.73,2.45,0.0
hsa-miR-3615,6.8,12.3,6.41,13.96,5.52,9.51
hsa-miR-3617-5p,0.36,0.42,0.53,0.55,0.0,0.59
hsa-miR-362-5p,1.43,1.27,0.53,1.47,0.0,0.0
hsa-miR-3620-3p,0.0,0.0,0.53,0.0,0.0,0.0
hsa-miR-3622a-5p,0.0,0.0,2.14,1.29,1.53,1.19
hsa-miR-363-3p,13.96,20.77,8.55,11.57,13.8,7.13
hsa-miR-363-5p,1.07,0.42,0.0,0.55,0.0,1.78
hsa-miR-3648,7.16,11.02,1.6,6.98,10.43,2.38
hsa-miR-365a-3p,7.51,5.51,2.67,16.71,2.76,16.63
hsa-miR-365a-5p,4.65,9.33,3.21,13.41,11.04,4.75
hsa-miR-365b-3p,3.58,4.24,3.21,3.12,0.61,1.78
hsa-miR-365b-5p,12.88,20.77,7.48,29.2,18.71,13.07
hsa-miR-3660,0.0,0.0,0.0,0.55,0.0,0.0
hsa-miR-3661,0.36,0.0,0.0,0.37,0.0,0.0
hsa-miR-3665,1.43,1.27,1.07,0.92,4.91,0.0
hsa-miR-3675-5p,0.0,0.42,0.0,0.0,0.0,0.59
hsa-miR-3679-5p,0.36,3.39,1.6,2.94,2.45,0.0
hsa-miR-3680-3p,0.0,0.0,0.0,0.0,0.0,0.59
hsa-miR-3682-3p,0.0,0.0,0.0,0.0,1.84,0.0
hsa-miR-3689b-3p,0.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-369-3p,22.19,14.42,17.63,18.18,10.43,11.29
hsa-miR-369-5p,8.23,13.14,9.08,8.63,13.8,7.72
hsa-miR-3690,0.36,0.0,0.0,0.0,0.0,0.59
hsa-miR-3691-3p,0.0,0.0,0.0,0.55,0.92,0.0
hsa-miR-3691-5p,0.36,0.0,0.0,1.84,0.31,1.19
hsa-miR-370-3p,96.97,145.85,92.43,169.16,222.64,144.37
hsa-miR-370-5p,0.36,0.85,0.0,0.92,0.0,0.59
hsa-miR-371a-5p,0.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-372-3p,0.36,0.85,0.0,0.0,0.0,0.0
hsa-miR-374a-3p,6.8,5.51,3.74,6.61,8.28,1.78
hsa-miR-374a-5p,71.21,104.72,36.86,52.53,63.79,12.48
hsa-miR-374b-3p,0.0,0.42,1.07,0.92,0.0,0.59
hsa-miR-374b-5p,1.07,13.99,1.07,15.06,5.21,9.51
hsa-miR-375-3p,1.43,0.85,1.6,0.92,0.0,0.0
hsa-miR-376a-3p,5.37,6.78,2.67,6.8,3.37,0.0
hsa-miR-376a-5p,0.0,0.42,0.0,0.0,0.0,0.0
hsa-miR-376b-3p,0.0,0.0,0.0,0.0,0.92,0.0
hsa-miR-376b-5p,0.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-376c-3p,5.37,10.18,2.67,4.78,6.75,0.59
hsa-miR-376c-5p,0.0,0.0,0.0,0.0,0.31,0.0
hsa-miR-377-3p,3.22,8.06,2.67,4.78,3.99,2.38
hsa-miR-377-5p,0.36,1.7,0.53,2.76,0.0,1.19
hsa-miR-378a-3p,1033.76,838.63,700.41,867.83,727.11,532.31
hsa-miR-378a-5p,8.95,5.09,1.6,3.86,4.29,1.19
hsa-miR-378c,32.2,40.28,22.97,15.98,11.96,40.4
hsa-miR-378d,3.94,3.82,11.22,7.53,9.81,8.91
hsa-miR-378e,0.0,0.85,0.0,0.0,0.0,0.59
hsa-miR-378f,0.0,0.0,0.0,0.18,0.0,0.0
hsa-miR-378i,0.0,0.0,0.53,0.18,0.0,0.0
hsa-miR-379-3p,3.58,3.39,4.27,6.43,7.36,0.59
hsa-miR-379-5p,170.33,153.06,118.61,218.93,252.7,128.32
hsa-miR-380-3p,0.0,0.0,0.0,0.55,0.0,0.0
hsa-miR-380-5p,0.0,0.0,0.53,1.1,0.31,0.0
hsa-miR-381-3p,268.37,336.21,259.12,291.3,329.06,256.06
hsa-miR-382-3p,24.69,12.3,13.89,19.29,7.97,13.66
hsa-miR-382-5p,299.86,236.58,178.98,356.13,280.3,140.21
hsa-miR-383-5p,0.72,0.0,0.0,0.0,0.0,0.0
hsa-miR-3909,12.88,20.77,6.41,12.86,11.04,11.88
hsa-miR-3910,0.0,1.7,0.53,2.02,0.61,0.0
hsa-miR-3912-3p,0.0,0.85,0.0,0.73,0.0,0.0
hsa-miR-3913-5p,1.79,0.0,0.0,0.92,0.0,0.0
hsa-miR-3916,0.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-3918,0.0,0.0,0.0,0.55,0.0,0.59
hsa-miR-3928-3p,0.72,0.0,0.0,0.73,1.53,0.0
hsa-miR-3929,0.72,0.85,0.53,0.37,0.61,0.0
hsa-miR-3934-5p,2.15,2.12,3.21,0.92,1.23,0.0
hsa-miR-3940-3p,0.0,0.0,0.0,0.37,0.0,0.0
hsa-miR-3944-5p,0.36,0.42,0.0,0.0,0.0,0.0
hsa-miR-3960,1.79,5.09,0.0,4.41,12.57,2.38
hsa-miR-409-3p,688.46,837.36,465.34,1086.58,1288.62,844.21
hsa-miR-409-5p,7.16,5.51,2.67,9.18,5.21,3.56
hsa-miR-410-3p,9.66,18.66,6.95,13.41,6.75,9.51
hsa-miR-411-3p,19.68,24.17,15.49,27.37,24.84,13.07
hsa-miR-411-5p,67.27,87.34,48.62,102.49,96.6,33.86
hsa-miR-412-5p,22.54,34.77,12.29,9.92,15.03,7.13
hsa-miR-421,15.39,13.57,5.88,18.0,4.91,6.54
hsa-miR-422a,0.0,0.0,0.53,0.0,0.0,0.0
hsa-miR-423-3p,306.3,359.11,1072.26,346.22,1483.67,196.05
hsa-miR-423-5p,3286.99,4082.91,16.56,5961.89,6095.05,554.88
hsa-miR-424-3p,201.46,206.48,95.63,199.46,191.67,109.91
hsa-miR-424-5p,10.38,13.57,3.74,12.12,14.72,4.16
hsa-miR-425-3p,4.29,6.36,0.53,2.94,4.29,2.97
hsa-miR-425-5p,17.18,33.07,17.1,17.26,22.69,14.26
hsa-miR-4286,0.0,0.0,0.53,0.0,0.0,0.0
hsa-miR-429,0.72,0.0,0.0,0.55,0.31,0.0
hsa-miR-4306,0.36,0.0,0.0,0.0,0.61,0.0
hsa-miR-431-3p,6.08,2.54,2.67,4.41,3.07,1.78
hsa-miR-431-5p,2.5,4.24,1.6,2.76,0.61,1.19
hsa-miR-432-3p,0.0,0.0,0.0,0.0,0.31,0.0
hsa-miR-432-5p,161.38,195.88,105.78,236.57,230.92,127.73
hsa-miR-4324,0.0,0.0,0.0,0.0,0.31,0.0
hsa-miR-4326,6.44,8.06,0.53,9.18,3.07,6.54
hsa-miR-433-3p,85.16,64.44,44.34,113.32,42.93,48.12
hsa-miR-433-5p,0.0,0.0,0.0,0.0,0.31,0.0
hsa-miR-4421,0.0,0.42,0.0,0.0,0.0,0.59
hsa-miR-4423-3p,0.0,0.0,0.0,0.18,0.0,0.0
hsa-miR-4423-5p,0.0,0.42,0.0,0.55,0.0,0.0
hsa-miR-4429,0.36,0.42,0.0,0.37,1.23,0.0
hsa-miR-4435,0.0,0.0,0.0,0.73,0.0,0.59
hsa-miR-4439,0.72,0.0,0.0,0.0,0.0,0.0
hsa-miR-4440,0.72,0.0,0.0,0.0,0.0,0.0
hsa-miR-4442,0.0,0.0,0.0,0.0,0.61,0.0
hsa-miR-4443,0.36,4.66,0.0,0.0,1.84,0.0
hsa-miR-4465,0.0,0.0,0.0,0.0,0.31,0.0
hsa-miR-4466,5.73,8.06,2.14,7.9,15.95,1.78
hsa-miR-4470,0.0,0.0,0.0,0.0,0.0,0.59
hsa-miR-4473,0.0,1.7,0.53,0.37,0.61,0.0
hsa-miR-4474-3p,0.36,0.42,0.0,0.0,0.92,0.0
hsa-miR-4482-3p,0.0,0.0,0.0,0.0,0.0,0.59
hsa-miR-4482-5p,0.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-4485-3p,0.0,0.0,0.0,0.18,0.0,0.59
hsa-miR-4488,3.58,2.97,4.81,2.39,3.07,0.59
hsa-miR-4492,0.36,0.0,0.53,0.18,0.61,0.0
hsa-miR-4497,6.08,4.66,5.34,12.31,14.41,5.94
hsa-miR-4498,0.0,0.0,0.0,0.0,0.92,0.0
hsa-miR-449c-5p,0.36,2.12,0.0,0.55,0.0,0.0
hsa-miR-4500,0.0,0.0,0.53,0.0,0.0,0.0
hsa-miR-4504,0.0,0.0,0.0,0.0,0.0,0.59
hsa-miR-4508,3.22,2.54,3.21,6.24,1.53,5.94
hsa-miR-450a-1-3p,1.07,0.0,0.0,0.73,0.0,0.0
hsa-miR-450a-2-3p,1.07,0.85,1.6,2.02,0.61,0.0
hsa-miR-450a-5p,21.11,31.8,11.22,16.53,24.23,7.13
hsa-miR-450b-5p,6.8,7.63,2.67,5.14,2.15,4.75
hsa-miR-4511,0.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-4516,137.41,322.65,17.1,85.77,175.72,13.07
hsa-miR-451a,17.89,138.22,115.4,60.98,18.4,4.16
hsa-miR-452-3p,14.31,16.54,11.75,10.65,18.4,7.13
hsa-miR-452-5p,93.03,47.06,47.01,122.69,44.77,51.09
hsa-miR-4521,1.79,0.42,0.0,0.55,0.61,0.0
hsa-miR-4524a-3p,0.0,0.0,0.0,0.0,0.31,0.0
hsa-miR-454-3p,0.36,0.0,0.53,1.1,0.0,0.0
hsa-miR-454-5p,0.72,0.42,1.07,1.47,0.0,1.19
hsa-miR-455-3p,29.7,18.66,15.49,21.86,9.2,10.69
hsa-miR-455-5p,169.97,164.08,110.59,168.98,234.91,92.08
hsa-miR-4636,0.0,0.0,0.0,0.55,0.0,0.0
hsa-miR-4638-3p,0.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-4638-5p,0.0,0.42,1.6,0.37,0.0,1.19
hsa-miR-4644,0.0,0.0,0.0,0.37,0.0,0.0
hsa-miR-4645-3p,0.0,0.42,0.0,0.73,0.0,0.0
hsa-miR-4647,0.0,0.0,0.0,0.37,0.0,0.0
hsa-miR-4649-3p,0.0,1.7,0.0,0.37,0.0,0.0
hsa-miR-4649-5p,0.72,2.54,2.14,0.92,1.84,0.0
hsa-miR-4658,0.0,0.0,0.0,0.18,0.0,0.0
hsa-miR-4659a-3p,0.0,0.0,0.0,0.0,0.92,0.0
hsa-miR-4660,0.36,0.0,0.0,0.37,0.0,0.0
hsa-miR-4661-5p,1.79,2.12,0.0,0.92,0.92,0.59
hsa-miR-4662a-5p,0.36,0.42,0.0,0.0,1.23,0.0
hsa-miR-4665-5p,0.72,0.0,0.0,0.55,0.31,2.38
hsa-miR-4667-3p,0.0,0.0,0.53,0.0,0.0,0.0
hsa-miR-4667-5p,0.36,0.0,0.53,0.37,0.31,0.0
hsa-miR-4669,0.0,0.0,0.53,0.0,0.0,0.0
hsa-miR-4677-3p,3.94,0.85,0.0,1.29,2.76,1.19
hsa-miR-4677-5p,0.0,0.0,0.0,0.0,0.61,0.0
hsa-miR-4679,0.0,0.0,0.53,0.0,0.0,0.0
hsa-miR-4683,1.43,2.97,1.6,1.29,0.92,0.0
hsa-miR-4684-3p,0.0,0.0,0.0,0.18,0.0,0.0
hsa-miR-4684-5p,0.0,0.85,0.0,0.0,0.0,0.0
hsa-miR-4685-3p,0.72,0.0,0.0,0.0,0.0,0.59
hsa-miR-4687-3p,0.0,0.42,0.0,0.18,0.92,0.0
hsa-miR-4688,0.36,0.0,0.0,0.0,0.0,0.59
hsa-miR-4690-3p,0.0,0.42,0.0,0.0,0.0,0.0
hsa-miR-4695-3p,0.0,0.0,0.0,0.0,0.61,0.0
hsa-miR-4699-3p,0.72,0.0,0.53,0.0,0.0,0.0
hsa-miR-4705,0.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-4706,0.0,0.0,0.0,0.18,0.0,0.0
hsa-miR-4710,0.0,0.0,0.0,0.18,0.0,0.0
hsa-miR-4711-3p,0.0,0.42,0.0,0.0,0.0,0.0
hsa-miR-4723-3p,0.72,0.0,0.0,0.0,1.23,0.0
hsa-miR-4727-3p,1.07,0.0,0.0,0.0,0.0,0.0
hsa-miR-4728-3p,0.0,0.0,0.0,1.1,0.0,0.0
hsa-miR-4729,0.0,0.0,0.0,0.0,0.92,0.0
hsa-miR-4731-5p,1.07,0.85,0.0,1.29,0.31,0.59
hsa-miR-4734,0.0,0.0,0.0,0.55,0.0,0.0
hsa-miR-4738-3p,0.36,0.42,0.0,1.1,0.92,0.59
hsa-miR-4740-5p,0.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-4742-3p,0.0,2.97,0.53,0.73,2.45,0.0
hsa-miR-4743-5p,0.0,0.42,0.0,0.92,0.0,0.0
hsa-miR-4744,0.0,0.42,0.0,0.0,0.0,0.0
hsa-miR-4745-5p,0.36,0.42,0.0,0.55,0.61,0.59
hsa-miR-4746-5p,0.0,0.42,0.53,0.73,0.31,0.0
hsa-miR-4748,0.0,0.0,0.0,0.18,0.0,0.0
hsa-miR-4749-5p,0.36,0.42,0.0,0.73,0.0,0.59
hsa-miR-4750-5p,0.36,0.0,0.0,0.37,0.0,0.0
hsa-miR-4753-5p,0.36,0.0,0.53,0.0,0.0,0.0
hsa-miR-4754,0.0,0.0,0.0,1.1,0.0,0.0
hsa-miR-4755-3p,0.0,0.42,0.0,0.55,0.0,0.0
hsa-miR-4755-5p,0.0,0.0,0.0,0.0,0.31,0.0
hsa-miR-4757-5p,0.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-4758-5p,0.0,0.0,0.0,0.0,0.31,0.0
hsa-miR-4762-3p,0.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-4767,1.79,2.12,0.0,1.1,0.92,1.78
hsa-miR-4768-3p,0.0,0.0,0.0,0.18,0.0,0.0
hsa-miR-4768-5p,0.0,0.42,0.0,0.0,0.0,0.0
hsa-miR-4772-3p,0.0,0.42,0.0,0.92,0.0,0.0
hsa-miR-4772-5p,0.0,0.42,0.0,0.0,0.0,0.0
hsa-miR-4773,0.0,0.0,0.0,1.47,0.92,0.0
hsa-miR-4775,0.36,0.85,1.07,1.65,0.0,0.59
hsa-miR-4776-5p,0.0,0.0,0.0,0.18,0.61,0.0
hsa-miR-4779,0.0,0.42,0.0,0.0,1.23,0.0
hsa-miR-4781-3p,0.0,0.0,0.0,0.0,0.61,0.0
hsa-miR-4786-5p,0.0,0.0,0.0,0.92,0.0,0.0
hsa-miR-4787-3p,0.0,1.27,0.0,0.0,0.31,0.0
hsa-miR-4788,0.0,0.0,0.0,0.0,0.61,0.0
hsa-miR-4791,0.0,0.0,0.53,0.18,0.0,0.0
hsa-miR-4796-5p,0.0,0.0,0.0,0.55,0.0,0.0
hsa-miR-4800-3p,0.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-4800-5p,0.0,0.0,0.0,0.92,0.61,0.0
hsa-miR-4803,0.0,0.42,0.0,0.0,0.0,0.0
hsa-miR-483-3p,10.73,5.94,6.41,3.67,1.84,2.38
hsa-miR-483-5p,6.08,16.96,1.6,10.65,15.95,0.59
hsa-miR-484,119.87,154.75,57.7,112.04,63.79,34.46
hsa-miR-485-3p,77.65,104.72,28.85,80.08,72.68,41.59
hsa-miR-485-5p,70.49,66.99,38.47,144.73,156.4,75.45
hsa-miR-486-3p,1.07,1.27,0.0,0.0,3.99,2.97
hsa-miR-486-5p,3.58,2.97,92.96,227.38,7.36,125.95
hsa-miR-487a-3p,1.07,1.27,1.6,0.18,0.31,0.59
hsa-miR-487a-5p,12.52,11.87,5.34,14.88,6.75,4.16
hsa-miR-487b-3p,8.23,10.6,9.08,4.59,6.75,3.56
hsa-miR-487b-5p,0.72,0.0,0.0,1.65,0.61,1.19
hsa-miR-491-5p,0.0,0.85,0.0,0.0,0.0,0.59
hsa-miR-493-3p,89.1,75.89,63.04,121.96,143.83,65.35
hsa-miR-493-5p,257.28,221.32,155.47,253.46,197.8,187.73
hsa-miR-494-3p,75.14,41.13,44.88,84.49,27.29,53.47
hsa-miR-494-5p,0.36,0.0,0.0,0.0,0.31,0.0
hsa-miR-495-3p,74.07,110.66,63.04,83.2,72.07,59.41
hsa-miR-496,0.36,0.0,0.0,0.0,0.61,0.0
hsa-miR-497-3p,0.0,0.0,0.0,0.18,0.0,0.0
hsa-miR-497-5p,5.73,8.06,1.6,5.33,4.91,2.38
hsa-miR-4999-5p,0.0,0.0,0.0,0.18,0.0,0.0
hsa-miR-499a-5p,3.94,0.0,1.6,2.39,0.92,0.0
hsa-miR-5000-3p,0.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-5002-5p,0.36,0.42,0.0,0.0,0.0,0.0
hsa-miR-5004-5p,0.0,1.27,0.0,0.0,0.0,0.0
hsa-miR-5006-5p,0.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-500a-3p,26.84,10.18,17.63,15.61,7.36,12.48
hsa-miR-501-3p,36.86,23.74,15.49,32.51,13.8,13.07
hsa-miR-501-5p,0.72,0.0,2.14,0.18,0.0,0.0
hsa-miR-5010-3p,0.0,0.42,0.53,0.18,0.31,0.0
hsa-miR-5010-5p,1.07,0.42,0.0,0.73,0.92,0.0
hsa-miR-502-3p,33.64,20.77,16.56,18.37,12.57,10.1
hsa-miR-503-3p,0.72,0.0,0.0,0.18,0.0,0.0
hsa-miR-503-5p,29.7,31.8,9.62,27.37,23.92,14.85
hsa-miR-504-3p,0.0,0.0,0.0,0.73,0.0,0.0
hsa-miR-504-5p,1.43,2.54,0.53,2.57,2.76,3.56
hsa-miR-505-3p,7.87,5.09,5.34,6.8,5.52,3.56
hsa-miR-505-5p,8.23,22.47,1.6,31.77,37.41,7.72
hsa-miR-5088-5p,0.0,0.0,0.0,0.0,0.92,0.0
hsa-miR-509-3-5p,0.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-509-3p,0.0,0.0,0.53,0.92,0.0,0.0
hsa-miR-511-3p,0.72,0.0,0.53,1.29,0.31,0.0
hsa-miR-511-5p,8.23,14.42,6.95,15.43,19.63,8.32
hsa-miR-512-3p,0.36,0.0,0.0,0.18,0.0,0.0
hsa-miR-514a-3p,1.07,0.85,0.53,0.73,0.31,0.0
hsa-miR-516a-5p,0.0,0.0,0.0,0.92,0.0,0.0
hsa-miR-516b-5p,2.86,4.24,2.14,2.02,1.53,1.19
hsa-miR-517a-3p,0.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-517b-3p,0.0,0.42,0.0,0.0,0.0,0.0
hsa-miR-517c-3p,0.0,0.0,0.53,0.0,0.0,0.0
hsa-miR-5187-5p,0.36,0.85,0.0,0.55,0.0,0.0
hsa-miR-5188,0.0,0.0,0.0,0.0,0.92,0.0
hsa-miR-518b,0.0,0.0,0.0,0.0,0.31,0.0
hsa-miR-5192,0.0,0.0,0.0,0.18,0.0,0.0
hsa-miR-5193,0.0,0.0,0.0,0.0,0.92,0.0
hsa-miR-5196-5p,0.0,0.0,0.0,0.0,0.31,0.0
hsa-miR-519a-3p,0.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-520c-5p,0.0,0.42,0.0,0.0,0.0,0.0
hsa-miR-520f-3p,0.0,0.0,0.0,0.37,0.0,0.0
hsa-miR-522-3p,0.0,0.0,0.0,0.55,0.0,0.0
hsa-miR-523-5p,0.0,0.0,0.0,0.0,0.92,0.0
hsa-miR-532-3p,1.43,0.42,1.07,1.47,0.0,1.78
hsa-miR-532-5p,290.91,365.47,205.69,243.18,270.18,170.51
hsa-miR-539-3p,3.22,7.63,0.0,4.59,4.29,2.97
hsa-miR-539-5p,0.0,0.0,0.0,0.55,0.31,0.0
hsa-miR-541-3p,1.07,0.0,0.0,0.73,0.92,1.19
hsa-miR-541-5p,3.58,3.82,3.21,0.37,0.0,0.59
hsa-miR-542-3p,15.03,13.57,11.75,10.65,8.28,6.54
hsa-miR-542-5p,0.0,0.0,0.0,0.0,0.61,0.0
hsa-miR-543,365.34,476.13,244.16,371.38,506.0,205.56
hsa-miR-545-3p,0.0,0.42,0.0,0.18,0.61,0.0
hsa-miR-548a-3p,0.72,0.42,0.53,0.0,1.53,0.59
hsa-miR-548ab,0.0,0.0,0.0,0.18,0.0,0.0
hsa-miR-548ac,0.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-548ad-5p,0.0,0.0,0.0,0.0,0.31,0.0
hsa-miR-548ah-3p,0.0,0.0,0.53,0.0,0.0,0.0
hsa-miR-548al,0.0,0.85,0.0,0.0,0.0,0.0
hsa-miR-548am-3p,0.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-548ar-3p,0.0,0.42,0.0,0.0,0.31,0.59
hsa-miR-548ax,0.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-548ay-5p,0.0,1.27,0.53,0.55,0.0,0.0
hsa-miR-548bc,0.0,2.12,0.0,1.47,0.0,0.0
hsa-miR-548e-3p,2.5,0.85,0.53,1.29,0.31,1.78
hsa-miR-548f-3p,0.36,0.42,0.0,0.92,0.0,0.0
hsa-miR-548j-5p,0.0,0.42,0.0,1.65,0.0,1.19
hsa-miR-548k,0.36,0.0,0.53,0.18,0.0,0.0
hsa-miR-548l,0.72,0.0,0.0,0.37,0.0,0.59
hsa-miR-548o-3p,1.79,8.06,2.14,4.41,4.6,5.35
hsa-miR-548q,1.43,1.7,0.53,1.29,0.31,0.0
hsa-miR-548u,0.0,0.0,0.0,0.0,0.92,0.0
hsa-miR-548w,0.72,2.12,0.0,0.0,0.92,0.0
hsa-miR-549a-3p,1.79,0.85,2.67,2.57,0.92,0.0
hsa-miR-549a-5p,0.0,0.0,0.0,0.37,0.0,0.0
hsa-miR-550a-3-5p,0.36,0.42,0.0,0.37,0.31,1.78
hsa-miR-550a-5p,0.0,1.27,0.0,2.94,0.61,0.59
hsa-miR-552-3p,0.0,0.0,0.0,0.37,0.0,0.0
hsa-miR-556-5p,0.0,0.0,0.0,0.37,0.0,0.0
hsa-miR-5579-3p,0.0,0.42,0.0,0.0,0.0,0.0
hsa-miR-5581-3p,0.0,0.0,0.0,0.18,0.0,0.0
hsa-miR-5587-3p,0.72,0.0,0.0,0.0,0.0,0.0
hsa-miR-561-5p,0.0,0.85,0.0,0.18,1.53,0.59
hsa-miR-5680,0.0,0.0,0.0,0.55,0.0,0.0
hsa-miR-5683,0.0,0.0,0.0,0.37,0.0,0.0
hsa-miR-5690,0.0,0.42,0.0,0.0,0.0,0.0
hsa-miR-5697,0.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-5699-3p,1.07,0.42,0.0,1.29,0.0,0.0
hsa-miR-5699-5p,0.36,1.27,0.0,0.37,0.0,0.0
hsa-miR-570-3p,0.0,0.42,0.0,0.0,0.0,0.0
hsa-miR-574-3p,235.45,157.72,96.7,247.59,114.08,92.08
hsa-miR-574-5p,49.38,51.73,5.88,85.59,71.76,8.32
hsa-miR-576-3p,7.51,14.84,16.03,15.43,15.95,8.91
hsa-miR-576-5p,3.58,9.75,1.07,2.2,6.13,2.38
hsa-miR-577,0.0,0.0,0.0,0.55,0.0,0.0
hsa-miR-579-3p,0.0,0.42,0.0,0.0,0.0,0.0
hsa-miR-579-5p,0.72,0.42,0.0,0.0,0.0,0.0
hsa-miR-580-3p,0.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-581,1.43,0.0,0.0,0.18,0.31,0.0
hsa-miR-582-3p,1.07,5.09,2.67,2.2,0.61,1.78
hsa-miR-584-5p,8.59,7.63,4.27,6.24,1.53,3.56
hsa-miR-585-3p,1.43,1.7,1.07,1.47,0.31,0.0
hsa-miR-585-5p,1.43,0.0,0.0,0.18,0.0,1.19
hsa-miR-589-5p,6.44,5.51,2.67,3.31,4.6,2.97
hsa-miR-590-3p,1.43,3.39,0.0,1.1,0.61,1.78
hsa-miR-592,0.72,0.0,0.53,0.0,0.0,0.0
hsa-miR-597-3p,0.36,0.0,0.53,0.0,0.0,0.0
hsa-miR-597-5p,0.0,0.0,0.0,0.55,0.0,0.0
