miRNA,SRR10531357,SRR10531358,SRR10531359,SRR10531360,SRR10531361,SRR10531362,SRR10531363,SRR10531364,SRR10531365,SRR10531367,SRR10531368,SRR10531369,SRR10531370,SRR10531371,SRR10531372,SRR10531373,SRR10531374,SRR10531375,SRR10531377,SRR10531378,SRR10531379,SRR10531380,SRR10531381,SRR10531382,SRR10531383,SRR10531384,SRR10531385,SRR10531386,SRR10531387,SRR10531388,SRR10531389,SRR10531390,SRR10531391,SRR10531392,SRR10531393,SRR10531394
hsa-miR-3160-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
hsa-miR-3161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,117.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
hsa-miR-3163,0.0,105.0,1.0,59.0,0.0,0.0,1794.0,369.0,132.0,514.0,2.0,668.0,730.0,2.0,0.0,1.0,0.0,0.0,86.0,0.0,95.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,54.0,0.0,0.0,0.0,0.0,42.0,16.0,4.0
hsa-miR-3164,233.0,0.0,2.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,248.0,167.0,0.0,0.0,0.0,101.0,0.0,4.0,10.0,1.0,68.0,4.0,9.0,2.0,87.0,6.0,0.0,111.0,126.0,75.0,0.0,8.0,0.0,2.0,5.0,108.0
hsa-miR-3166,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
hsa-miR-3168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3173-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3173-5p,4.0,3.0,7.0,53.0,119.0,231.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,60.0,180.0,3.0,33.0,129.0,50.0,106.0,112.0,4.0,148.0,154.0,0.0,1.0,53.0,56.0,190.0,16.0,5.0,119.0,527.0,278.0,93.0
hsa-miR-3174,16.0,200.0,9.0,5.0,84.0,200.0,71.0,1.0,125.0,894.0,418.0,1.0,1.0,106.0,78.0,57.0,246.0,139.0,322.0,263.0,351.0,50.0,372.0,177.0,80.0,311.0,369.0,312.0,455.0,383.0,3.0,351.0,226.0,230.0,112.0,34.0
hsa-miR-3175,1.0,0.0,6.0,5.0,1.0,122.0,0.0,2.0,1.0,526.0,15.0,189.0,206.0,74.0,0.0,111.0,3.0,1.0,138.0,40.0,1.0,0.0,3.0,1.0,38.0,99.0,79.0,113.0,2.0,82.0,304.0,0.0,58.0,25.0,15.0,13.0
hsa-miR-3176,0.0,0.0,0.0,0.0,0.0,0.0,216.0,181.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,0.0,0.0
hsa-miR-3177-3p,0.0,1.0,0.0,168.0,1.0,0.0,976.0,2915.0,723.0,571.0,801.0,2122.0,1448.0,113.0,0.0,0.0,1.0,99.0,53.0,27.0,2.0,0.0,79.0,114.0,81.0,0.0,0.0,66.0,0.0,6.0,32.0,1.0,68.0,200.0,58.0,27.0
hsa-miR-3178,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3179,0.0,0.0,0.0,1.0,142.0,2.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,2.0,2.0,0.0,3.0,59.0,90.0,197.0,4.0,202.0,67.0,1.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,168.0,0.0,6.0
hsa-miR-3180,0.0,0.0,0.0,49.0,0.0,0.0,163.0,0.0,123.0,0.0,1.0,1.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3180-3p,0.0,92.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,11.0,151.0,180.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,25.0,0.0,0.0
hsa-miR-3180-5p,2.0,0.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,81.0,0.0,0.0,3.0,34.0,0.0,147.0,0.0,0.0,0.0,2.0,6.0
hsa-miR-3182,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-3183,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,143.0,0.0,0.0,0.0,0.0,2.0
hsa-miR-3186-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-3186-5p,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-3187-3p,2.0,105.0,7.0,2.0,2.0,0.0,0.0,1.0,116.0,0.0,109.0,4.0,0.0,11.0,1.0,54.0,0.0,0.0,6.0,0.0,105.0,0.0,0.0,160.0,76.0,0.0,82.0,47.0,1.0,85.0,164.0,1.0,50.0,152.0,1.0,9.0
hsa-miR-3187-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,103.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3188,0.0,0.0,1.0,1.0,106.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,3.0,1.0,2.0,2.0,0.0,172.0,0.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,0.0,1.0,92.0,2.0,5.0
hsa-miR-3190-3p,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,241.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,51.0,106.0,0.0,219.0,2.0,0.0,0.0,83.0,0.0,0.0,5.0,0.0,2.0,208.0,5.0,0.0,3.0
hsa-miR-3191-3p,1.0,0.0,3.0,178.0,80.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,59.0,2.0,178.0,0.0,1.0,0.0,121.0,0.0,0.0,0.0,6.0
hsa-miR-3192-5p,3.0,218.0,6.0,1.0,81.0,133.0,236.0,1.0,0.0,526.0,2.0,605.0,0.0,2.0,48.0,48.0,124.0,312.0,3.0,21.0,71.0,87.0,232.0,5.0,284.0,0.0,228.0,5.0,110.0,1.0,2.0,128.0,64.0,160.0,6.0,31.0
hsa-miR-3195,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3196,0.0,0.0,0.0,128.0,0.0,0.0,0.0,112.0,0.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,14.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,10.0,0.0
hsa-miR-3198,3.0,2.0,356.0,246.0,125.0,5.0,33.0,3.0,5.0,1761.0,509.0,331.0,208.0,19.0,44.0,44.0,1.0,12.0,130.0,154.0,93.0,0.0,103.0,11.0,29.0,132.0,36.0,3.0,197.0,399.0,151.0,5.0,129.0,1.0,25.0,172.0
hsa-miR-3199,1.0,0.0,1.0,1.0,0.0,1.0,0.0,170.0,2.0,463.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,1.0,117.0,83.0,1.0,0.0,1.0,0.0,0.0,0.0,54.0,80.0,2.0,0.0,1.0,2.0,2.0,4.0
hsa-miR-32-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-32-5p,111.0,4.0,3.0,45.0,92.0,2.0,200.0,156.0,273.0,2.0,1.0,160.0,0.0,10.0,99.0,219.0,3.0,5.0,135.0,305.0,323.0,477.0,111.0,182.0,1.0,79.0,76.0,126.0,141.0,67.0,25.0,9.0,97.0,118.0,27.0,18.0
hsa-miR-3200-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
hsa-miR-3202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-320a-3p,166922.0,220844.0,221596.0,129837.0,528177.0,212481.0,398728.0,209150.0,80202.0,625391.0,374381.0,391830.0,189504.0,127067.0,226420.0,208270.0,268857.0,181630.0,205880.0,248611.0,377363.0,371567.0,229145.0,171063.0,304395.0,301260.0,274713.0,173493.0,487829.0,476621.0,207855.0,368756.0,247175.0,737610.0,168150.0,318995.0
hsa-miR-320b,1001.0,885.0,310.0,7055.0,2006.0,890.0,32081.0,19224.0,8638.0,55121.0,31897.0,28139.0,20580.0,1301.0,680.0,765.0,1251.0,3598.0,1412.0,709.0,1368.0,1459.0,417.0,3088.0,774.0,745.0,949.0,527.0,1542.0,1271.0,4418.0,718.0,692.0,17141.0,4229.0,1835.0
hsa-miR-320c,3.0,11.0,8.0,3169.0,131.0,20.0,7346.0,4087.0,1474.0,15643.0,3570.0,4392.0,7792.0,2049.0,217.0,2.0,278.0,508.0,1233.0,86.0,10.0,99.0,15.0,706.0,9.0,21.0,97.0,1.0,115.0,88.0,279.0,10.0,140.0,1611.0,873.0,196.0
hsa-miR-320d,4.0,283.0,49.0,138.0,3.0,9.0,1859.0,695.0,472.0,6498.0,1318.0,1595.0,1914.0,472.0,18.0,7.0,3.0,293.0,997.0,2.0,2.0,110.0,8.0,630.0,1.0,22.0,5.0,3.0,208.0,8.0,273.0,39.0,8.0,1135.0,217.0,13.0
hsa-miR-320e,7.0,0.0,1.0,140.0,6.0,5.0,71.0,696.0,16.0,121.0,52.0,33.0,27.0,9.0,4.0,1.0,179.0,354.0,7.0,62.0,1.0,101.0,2.0,14.0,4.0,0.0,1.0,5.0,8.0,4.0,4.0,1.0,2.0,35.0,6.0,2.0
hsa-miR-323a-3p,8.0,111.0,473.0,409.0,529.0,4.0,2128.0,4595.0,3301.0,3228.0,13193.0,5470.0,1999.0,395.0,239.0,102.0,8.0,115.0,434.0,255.0,378.0,78.0,4.0,14.0,5.0,67.0,199.0,657.0,134.0,158.0,470.0,12.0,502.0,106.0,151.0,33.0
hsa-miR-323a-5p,1.0,2.0,252.0,146.0,1.0,0.0,133.0,178.0,0.0,1.0,260.0,0.0,1.0,0.0,0.0,47.0,0.0,0.0,17.0,4.0,59.0,1.0,1.0,2.0,72.0,75.0,0.0,52.0,3.0,1.0,0.0,1.0,129.0,1.0,3.0,14.0
