miRNA,GSM1410425,GSM1410426,GSM1410427,GSM1410428,GSM1410429,GSM1410430,GSM1410431,GSM1410432,GSM1410433,GSM1410434,GSM1410435,GSM1410436,GSM1410437,GSM1410438,GSM1410439,GSM1410440,GSM1410441,GSM1410442,GSM1410443,GSM1410444,GSM1410445,GSM1410446,GSM1410447
hsa-miR-30a-3p,93.56,100.77,83.91,63.28,82.02,83.39,109.79,67.87,68.02,82.31,56.58,69.16,87.83,75.27,94.09,73.61,85.04,64.68,89.96,71.32,66.53,78.37,93.1
hsa-miR-30a-5p,4942.12,4801.71,4510.4,3517.24,5025.93,4562.02,4614.46,3083.84,3889.03,4305.56,3159.95,3695.29,5178.18,4087.39,3765.28,3794.21,4073.75,3805.95,4417.07,3717.9,3941.19,3770.77,4252.51
hsa-miR-30b-3p,0.26,0.0,0.57,0.56,0.53,0.0,0.0,0.0,0.12,0.13,0.0,0.23,0.0,0.14,0.0,0.11,0.11,0.0,0.0,0.23,0.0,0.0,0.3
hsa-miR-30b-5p,7.79,7.63,8.97,5.92,9.67,13.17,12.7,8.87,9.67,14.18,7.53,9.96,10.07,13.23,15.0,9.24,12.26,10.69,14.92,7.56,9.68,9.37,12.83
hsa-miR-30c-1-3p,4.67,3.39,2.95,3.24,2.0,1.9,3.65,3.63,2.68,1.46,2.19,3.66,3.4,1.97,2.77,2.05,2.38,1.28,2.54,2.71,2.02,2.97,2.83
hsa-miR-30c-2-3p,3.11,2.66,2.84,4.24,2.42,2.79,2.92,2.28,1.63,1.72,1.21,2.18,3.63,2.81,2.33,2.28,1.82,2.03,1.5,2.93,1.41,3.42,3.43
hsa-miR-30c-5p,90.96,87.2,82.44,56.7,70.35,104.38,132.13,86.01,56.95,69.99,58.88,57.36,76.59,65.98,133.85,63.79,69.71,67.14,90.88,71.1,68.14,113.03,132.49
hsa-miR-30d-3p,30.1,32.7,25.55,22.77,20.71,21.32,25.7,16.4,15.72,19.88,16.63,23.7,28.46,21.81,17.48,20.2,23.84,19.99,26.94,17.94,21.17,17.7,21.93
hsa-miR-30d-5p,7012.68,6602.69,6316.34,4875.64,5705.42,6247.1,6494.49,5076.51,3972.88,4930.92,3556.85,3898.87,6281.22,4762.99,6348.78,4411.93,4665.02,4379.74,5491.83,5253.69,6008.45,5996.2,7071.9
hsa-miR-30e-3p,26.21,38.15,36.34,20.54,42.69,40.86,47.01,24.86,22.71,38.44,21.37,33.78,34.2,32.78,34.08,30.13,32.24,26.51,42.32,21.33,17.34,29.89,34.17
hsa-miR-30e-5p,3327.4,3289.72,2947.47,2599.15,2668.85,2687.82,3108.47,2162.69,2733.11,2944.82,2510.41,2604.01,3389.23,2874.34,3224.93,2512.2,2718.06,2756.08,2872.87,2555.86,2391.45,2526.89,2809.99
hsa-miR-31-3p,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0
hsa-miR-31-5p,2.47,10.17,1.48,0.67,1.16,0.67,0.88,0.54,0.93,0.93,1.09,1.03,1.17,0.98,1.75,1.26,0.68,1.07,1.85,1.69,1.41,0.89,1.19
hsa-miR-3115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3117-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3120-3p,1.43,0.36,0.45,0.0,0.21,0.33,1.02,0.13,0.12,0.27,0.0,0.11,0.0,0.42,0.29,0.57,0.11,0.53,0.58,0.34,0.6,0.0,0.45
hsa-miR-3120-5p,0.0,0.12,0.0,0.0,0.11,0.0,0.0,0.27,0.0,0.0,0.12,0.0,0.12,0.0,0.15,0.0,0.11,0.11,0.0,0.34,0.0,0.0,0.3
hsa-miR-3122,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3124-5p,0.26,0.0,0.23,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0
hsa-miR-3127-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3130-3p,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3131,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,3.14,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.11,0.11,0.0,0.0,0.4,0.0,0.0
hsa-miR-3135a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3138,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3140-3p,0.0,0.12,0.34,0.0,0.0,0.11,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0
hsa-miR-3143,0.0,0.0,0.11,0.0,0.0,0.11,0.15,0.0,0.0,0.0,1.09,0.34,0.0,0.14,1.89,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0
hsa-miR-3144-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3146,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3150b-3p,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.15,0.0
hsa-miR-3151-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3151-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0
hsa-miR-3155a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3157-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.15
hsa-miR-3158-3p,0.13,0.12,0.57,0.22,0.32,0.45,0.44,0.67,0.0,0.0,0.12,0.23,0.0,0.0,0.73,0.0,0.0,0.0,1.16,0.0,0.0,0.0,0.0
hsa-miR-3158-5p,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3160-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3160-5p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3161,0.13,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3164,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.24,0.11,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.12,0.0,0.0,0.11,0.0,0.0,0.29,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3173-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3173-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3176,0.13,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.27,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.43,0.12,0.11,0.2,0.0,0.0
hsa-miR-3177-3p,0.26,0.12,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.11,0.23,0.0,0.2,0.0,0.0
hsa-miR-3178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.24,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.12,0.11,0.0,0.0,0.0
hsa-miR-3179,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3180-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.11,0.0,0.0,0.2,0.0,0.0
hsa-miR-3180-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0
hsa-miR-3182,0.91,0.48,0.79,0.0,0.32,0.45,0.88,0.4,0.12,0.27,1.21,0.0,0.12,0.28,0.44,0.11,0.0,0.21,0.58,0.68,0.4,0.15,0.3
hsa-miR-3184-5p,0.0,0.0,0.0,0.0,0.11,0.0,0.29,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
hsa-miR-3187-3p,0.26,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.11,0.0,0.0,0.44,0.0,0.0,0.32,0.0,0.0,0.4,0.0,0.45
hsa-miR-3187-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3192-5p,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3194-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3194-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3195,0.65,0.36,0.57,0.78,0.11,0.0,0.29,0.67,0.23,0.27,0.24,0.23,0.23,0.7,0.44,0.11,0.34,0.0,0.35,0.45,0.2,0.3,0.15
hsa-miR-3196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
hsa-miR-3197,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
hsa-miR-3198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3199,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-32-3p,0.0,0.24,0.0,0.0,0.21,0.22,0.58,0.27,0.23,0.0,0.0,0.0,0.59,0.14,0.15,0.11,0.23,0.21,0.23,0.0,0.2,0.15,0.6
hsa-miR-32-5p,22.97,22.04,20.21,12.95,25.03,18.87,40.88,21.5,15.72,20.68,19.06,25.07,16.04,22.23,39.18,19.17,25.2,20.21,21.39,16.25,18.14,27.66,31.78
hsa-miR-3200-3p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0
hsa-miR-3200-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.12,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-320a-3p,15290.51,18232.73,12113.4,19720.07,11931.02,8763.33,10484.07,9799.17,9706.97,7038.97,6879.13,7821.09,9896.48,8255.11,13758.03,7590.24,7094.49,6112.89,6296.13,16115.89,19160.39,9597.29,11064.49
hsa-miR-320a-5p,1.95,1.21,1.82,1.9,0.74,0.56,1.9,2.02,1.16,1.72,1.7,0.92,1.76,0.98,1.6,1.03,0.79,0.43,1.27,2.03,2.22,1.64,0.9
hsa-miR-320b,1372.46,115.54,68.81,1724.25,1247.73,721.75,903.88,1061.99,609.82,449.6,434.89,56.79,654.05,561.08,255.9,508.74,86.06,329.82,419.26,1572.81,1843.88,797.73,1108.3
hsa-miR-320c,285.6,332.34,197.92,349.34,165.3,131.96,177.97,75.8,128.23,81.12,17.48,71.68,25.3,78.65,93.65,89.7,18.51,59.44,13.53,111.38,401.6,202.26,41.33
hsa-miR-320d,100.56,240.17,145.46,39.06,59.73,69.33,67.01,215.03,38.67,90.0,19.55,41.22,84.9,47.55,83.46,26.36,54.84,41.05,12.83,262.61,153.62,20.97,72.81
hsa-miR-320e,0.65,0.48,0.57,64.73,1.05,1.23,58.55,10.21,0.23,0.53,16.63,0.23,29.16,0.14,0.87,0.23,21.91,0.21,0.35,1.13,2.22,0.89,0.15
hsa-miR-323a-3p,2380.68,2459.84,2201.21,1628.6,1647.51,2520.14,3375.07,2562.65,1041.21,1471.42,1004.67,1116.35,1709.31,1288.32,2840.86,1194.14,1429.93,1214.73,1834.66,1819.39,2081.78,3356.89,3661.8
hsa-miR-323a-5p,20.63,20.11,14.88,21.99,6.94,8.93,15.91,15.19,5.82,6.1,4.37,3.78,8.78,6.19,17.04,5.36,5.68,4.6,5.43,16.48,19.76,11.9,17.9
hsa-miR-323b-3p,0.52,0.0,0.0,0.56,0.53,0.33,0.0,0.0,0.23,0.0,0.12,0.23,0.0,0.0,0.15,0.0,0.0,0.21,0.58,0.0,0.0,0.0,1.64
hsa-miR-324-3p,2.08,2.3,2.5,2.79,1.47,1.23,1.75,1.61,1.05,1.06,1.46,1.49,1.52,1.97,1.6,1.03,1.36,1.71,1.62,2.14,1.81,0.74,1.19
hsa-miR-324-5p,3.76,3.88,3.07,3.57,4.21,3.24,2.77,2.02,3.26,1.99,3.52,2.75,3.04,3.38,4.81,2.62,2.5,3.42,3.82,2.26,2.62,3.27,2.69
hsa-miR-326,100.17,114.33,74.6,110.16,62.46,68.21,87.75,75.26,45.42,53.15,40.31,52.67,62.77,47.55,100.21,43.59,43.37,32.61,45.56,102.92,101.21,73.76,76.54
hsa-miR-328-3p,460.64,671.58,637.82,605.14,310.41,461.96,500.78,585.02,300.48,336.01,343.23,290.71,412.1,334.71,544.43,338.7,310.85,323.51,395.56,386.18,462.89,526.02,584.29
hsa-miR-328-5p,0.26,0.24,0.79,0.78,0.32,0.0,0.44,0.13,0.12,0.0,0.49,0.11,0.0,0.28,0.29,0.0,0.23,0.0,0.23,0.11,0.2,0.15,0.3
hsa-miR-329-3p,0.39,0.0,0.57,0.0,0.11,0.78,0.58,0.13,0.47,0.4,0.12,0.0,0.12,0.28,0.29,0.34,0.23,0.11,0.12,0.34,0.2,0.45,0.3
hsa-miR-329-5p,0.13,0.48,0.0,0.0,0.11,0.11,0.15,0.13,0.12,0.0,0.49,0.23,0.0,0.28,0.15,0.0,0.11,0.11,0.12,0.0,0.0,0.59,0.15
hsa-miR-330-3p,452.21,469.08,403.56,450.34,362.98,346.97,406.61,306.82,268.92,264.57,193.29,218.69,349.33,265.77,392.67,235.31,206.51,209.23,239.23,410.1,395.55,350.83,406.59
hsa-miR-330-5p,262.89,277.35,200.99,276.79,183.28,175.5,199.73,170.68,146.63,146.73,109.15,134.31,211.15,158.56,191.53,153.49,145.77,119.85,153.32,236.76,221.97,156.75,206.35
hsa-miR-331-3p,2.34,1.94,1.59,1.79,1.16,1.9,1.61,1.21,1.05,2.65,1.94,0.92,2.58,1.83,1.89,1.83,1.02,1.71,1.97,1.81,0.4,1.78,2.09
hsa-miR-331-5p,9.99,6.9,4.77,8.82,13.35,9.49,11.53,11.02,8.27,5.83,6.19,6.18,7.03,6.89,8.74,5.93,7.49,10.05,11.56,6.66,7.26,9.07,12.68
hsa-miR-335-3p,5.97,6.54,7.95,1.9,5.36,9.15,11.39,5.64,3.49,3.45,3.52,3.55,5.74,2.95,6.7,4.79,5.0,4.6,6.24,3.39,2.62,7.14,10.0
hsa-miR-335-5p,99.01,101.74,73.58,67.75,107.78,63.52,109.21,64.51,77.22,94.11,73.82,92.63,82.44,80.76,94.67,68.13,89.69,80.29,70.07,65.91,95.56,80.75,113.55
hsa-miR-337-3p,1.95,1.7,1.14,0.56,2.31,2.01,3.36,1.48,2.33,1.86,1.46,2.29,1.87,2.39,0.87,1.83,2.16,2.25,3.35,1.35,0.6,1.64,2.69
hsa-miR-337-5p,12.33,15.5,8.97,13.39,10.3,8.71,13.72,11.29,7.1,8.62,8.01,9.27,7.96,8.44,12.67,8.67,6.13,6.31,7.75,10.72,11.09,13.09,14.47
hsa-miR-338-3p,0.0,0.0,0.11,0.0,0.0,0.11,0.0,0.0,0.12,0.0,0.36,0.11,0.0,0.14,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0
hsa-miR-338-5p,0.0,0.0,0.0,1.67,0.0,1.79,2.48,0.13,0.0,0.27,1.09,1.83,0.0,0.0,0.15,0.68,0.0,3.1,0.0,0.11,3.43,1.49,4.03
hsa-miR-339-3p,202.03,227.45,169.99,246.32,133.96,152.39,186.44,132.92,143.72,123.67,97.86,109.46,181.64,157.72,188.61,127.47,112.51,117.18,127.07,192.64,192.73,134.44,182.48
hsa-miR-339-5p,25.69,25.56,24.07,28.46,24.5,24.23,23.36,25.8,22.24,20.81,17.48,19.24,23.89,21.81,27.09,17.69,25.09,19.67,25.21,20.76,23.59,21.42,26.41
hsa-miR-33a-3p,0.0,0.12,0.0,0.0,0.11,0.0,0.15,0.13,0.12,0.0,0.24,0.0,0.0,0.42,0.0,0.34,0.23,0.32,0.0,0.23,0.0,0.3,0.0
hsa-miR-33a-5p,10.77,12.6,9.2,10.16,7.26,4.24,14.89,4.3,6.87,5.43,6.43,10.65,6.79,8.72,12.09,7.42,6.93,6.41,7.28,8.24,5.64,4.46,7.61
hsa-miR-33b-3p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.13,0.24,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-33b-5p,0.0,0.0,0.11,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.11,0.23,0.14,0.0,0.46,0.23,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-340-3p,1.04,0.48,1.48,0.11,0.63,0.78,0.58,0.67,0.58,1.33,0.24,0.46,1.64,0.84,1.46,0.46,0.79,0.75,1.39,1.13,1.41,1.93,1.79
hsa-miR-340-5p,741.7,748.37,758.98,396.55,625.02,497.46,950.89,332.36,560.08,787.34,556.42,865.94,820.34,703.88,595.99,593.42,756.12,703.69,718.16,434.7,505.43,589.97,710.96
hsa-miR-342-3p,1.04,0.73,0.45,0.22,0.95,0.67,0.58,0.67,0.7,1.19,0.49,0.8,1.41,0.98,1.46,1.26,0.45,0.86,1.62,0.68,0.6,0.89,0.75
hsa-miR-342-5p,1.17,2.06,1.14,0.78,0.53,1.34,1.17,2.15,0.58,0.8,0.61,0.8,0.35,0.14,4.66,0.23,0.23,0.64,1.5,0.68,0.4,0.89,1.79
hsa-miR-345-5p,2.34,0.0,1.25,1.12,3.89,1.67,2.04,1.75,7.69,2.39,2.91,1.14,0.7,0.84,17.19,1.6,0.45,7.48,2.66,0.9,4.64,0.89,1.04
hsa-miR-346,9.6,11.51,8.29,10.04,6.41,10.05,9.78,8.33,6.17,7.03,5.46,7.21,9.13,8.86,10.34,5.02,4.54,6.09,8.33,7.34,8.27,10.86,9.4
hsa-miR-34a-3p,0.13,0.12,0.0,0.11,0.11,0.11,0.29,0.13,0.0,0.13,0.12,0.0,0.0,0.0,0.0,0.46,0.23,0.0,0.23,0.0,0.0,0.0,0.0
hsa-miR-34a-5p,6.23,5.33,5.0,2.9,5.26,6.59,8.18,4.84,5.36,6.49,5.46,4.92,7.03,5.21,8.01,3.99,5.68,5.02,8.56,4.06,4.23,5.06,6.27
hsa-miR-34b-3p,2.6,2.3,2.16,1.67,2.31,2.57,2.19,1.61,2.21,3.98,1.7,2.29,3.63,3.66,2.18,3.42,2.16,3.21,2.54,1.58,1.41,2.83,2.54
hsa-miR-34c-3p,14.14,14.17,13.29,11.83,17.77,18.98,14.89,12.23,12.81,20.28,12.26,13.17,27.29,18.29,11.94,18.37,19.07,17.43,28.33,13.43,11.89,12.34,14.32
hsa-miR-34c-5p,195.29,255.67,251.63,186.72,191.38,140.67,235.93,106.04,209.87,246.54,189.4,249.6,278.48,234.82,158.9,225.38,237.17,225.05,226.63,132.83,112.9,161.51,145.03
hsa-miR-3605-3p,0.0,0.0,0.0,0.22,0.0,0.0,0.15,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.11,0.23,0.0,0.0,0.0,0.15
hsa-miR-3605-5p,0.13,0.0,0.11,0.11,0.11,0.11,0.15,0.13,0.12,0.13,0.61,0.0,0.12,0.14,1.75,0.0,0.0,0.32,0.23,0.11,0.2,0.0,0.6
hsa-miR-3609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-361-3p,115.23,118.57,110.03,101.23,85.8,100.59,102.2,71.77,75.94,84.17,57.55,65.03,122.38,81.88,91.32,75.89,77.43,78.37,81.17,98.29,77.21,91.46,119.66
hsa-miR-361-5p,107.83,117.0,125.48,75.11,185.28,152.72,169.8,129.42,141.04,159.19,118.38,133.16,181.87,152.79,121.62,160.56,204.13,198.64,287.22,89.04,77.62,146.04,198.29
hsa-miR-3610,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.0,0.15,0.0,0.0,0.0,0.12,0.0,0.2,0.0,0.0
hsa-miR-3613-3p,1.69,0.85,0.91,1.9,0.84,2.34,1.02,1.48,0.35,1.19,0.73,0.8,0.94,1.55,0.44,0.68,0.79,0.86,0.58,0.56,0.6,2.68,1.49
hsa-miR-3613-5p,3.63,1.82,2.61,1.0,2.42,2.68,4.82,2.15,2.21,2.12,3.04,3.89,3.04,2.39,6.7,2.51,3.86,3.21,4.51,1.81,1.81,3.12,3.73
hsa-miR-3614-5p,0.13,0.0,0.11,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.14,0.15,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0
hsa-miR-3615,7.79,5.09,9.2,4.69,6.52,5.81,10.95,15.46,4.89,4.9,15.42,6.76,2.93,5.49,92.92,3.31,2.61,8.45,9.25,5.19,17.74,6.69,12.83
hsa-miR-3617-3p,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3617-5p,0.0,0.0,0.23,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-362-3p,0.0,0.12,0.23,0.0,0.0,0.11,0.15,0.13,0.7,0.0,0.24,0.23,0.23,0.0,0.15,0.0,0.23,0.11,0.58,0.0,0.2,0.0,0.0
hsa-miR-362-5p,0.0,0.0,0.0,0.22,0.11,0.0,0.0,0.0,0.23,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0
hsa-miR-3620-5p,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.3
hsa-miR-363-3p,70.46,78.72,63.25,54.8,57.94,55.15,82.2,61.96,50.2,69.59,135.13,62.52,73.78,55.15,368.78,53.98,54.15,47.9,80.71,57.33,62.7,73.47,76.84
hsa-miR-363-5p,0.0,0.12,0.0,0.22,0.11,0.0,0.29,0.0,0.0,0.4,0.0,0.0,0.12,0.0,0.29,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.15
hsa-miR-3648,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.29,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
