miRNA,GSM1410425,GSM1410426,GSM1410427,GSM1410428,GSM1410429,GSM1410430,GSM1410431,GSM1410432,GSM1410433,GSM1410434,GSM1410435,GSM1410436,GSM1410437,GSM1410438,GSM1410439,GSM1410440,GSM1410441,GSM1410442,GSM1410443,GSM1410444,GSM1410445,GSM1410446,GSM1410447
hsa-miR-1264,8.05,9.57,7.49,6.58,7.05,6.48,8.91,5.11,8.27,9.41,8.26,9.16,11.24,8.44,6.99,8.44,11.35,10.9,12.95,5.3,5.44,6.69,7.16
hsa-miR-1268a,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.13,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1268b,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1269a,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
hsa-miR-127-3p,4706.87,4635.54,3424.84,4646.95,4295.44,3160.84,3836.42,3260.7,2535.58,2806.71,2080.74,2485.74,3678.96,2832.27,3621.97,2660.56,2611.57,1870.21,2797.48,4503.8,4589.55,2717.84,3515.73
hsa-miR-127-5p,76.3,86.48,66.88,83.71,49.0,47.0,65.99,42.33,52.64,47.19,42.86,60.34,68.51,52.2,52.43,49.41,42.46,40.52,43.24,69.07,60.08,41.94,43.12
hsa-miR-1270,0.13,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
hsa-miR-1271-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0
hsa-miR-1271-5p,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.13,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1273c,0.0,0.0,0.0,0.0,0.11,0.22,0.29,0.0,0.0,0.13,0.24,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.12,0.0,0.2,0.0,0.0
hsa-miR-1273h-3p,0.13,0.24,0.57,0.0,0.0,0.11,0.0,0.54,0.23,0.0,0.12,0.11,0.59,0.0,0.15,0.11,0.11,0.0,0.0,0.23,0.4,0.0,0.75
hsa-miR-1273h-5p,0.26,0.0,0.23,0.11,0.0,0.22,0.0,0.27,0.12,0.0,0.0,0.0,0.47,0.28,0.44,0.0,0.0,0.0,0.12,0.0,0.4,0.45,0.15
hsa-miR-1276,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1277-3p,0.0,0.48,0.23,0.0,0.21,0.22,0.29,0.0,0.12,0.0,0.0,0.0,0.23,0.14,0.29,0.11,0.11,0.11,0.23,0.0,0.0,0.0,0.3
hsa-miR-1278,0.0,0.0,0.23,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-128-1-5p,11.16,10.9,10.79,11.5,9.57,8.37,8.32,8.06,4.19,8.35,6.07,6.76,11.24,5.21,11.21,7.65,7.72,5.67,6.01,13.77,12.7,9.22,9.25
hsa-miR-128-2-5p,4.02,3.39,4.2,2.68,1.68,3.46,3.36,2.42,1.16,0.53,0.73,1.37,1.29,0.84,4.81,1.14,1.14,2.03,1.27,2.14,2.22,4.02,3.88
hsa-miR-128-3p,24441.88,23568.44,22746.87,15617.1,10613.37,21163.76,34179.32,18028.33,11222.65,16858.67,9430.21,10748.45,19491.75,13157.52,26940.6,12232.69,12675.37,13284.31,18184.69,15493.29,15795.6,26570.74,33554.99
hsa-miR-1283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1284,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.27,0.0,0.0,0.24,0.23,0.12,0.0,1.46,0.0,0.0,0.0,0.12,0.11,0.0,0.0,0.15
hsa-miR-1285-3p,0.13,0.36,0.34,0.78,0.53,0.22,0.73,0.27,0.47,0.66,3.89,0.46,0.47,0.28,17.77,0.23,0.0,0.0,0.46,0.45,0.6,0.89,1.19
hsa-miR-1285-5p,0.52,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.11,0.21,0.0,0.0,0.0,0.0,0.15
hsa-miR-1287-5p,0.52,0.24,0.57,0.22,0.63,0.22,0.0,0.0,0.23,0.13,0.61,0.0,0.12,0.0,1.46,0.0,0.0,0.43,0.58,0.0,0.6,0.15,0.0
hsa-miR-1288-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.24,0.11,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.34,0.0,0.0,0.0
hsa-miR-129-1-3p,50.48,53.53,43.94,44.31,41.01,41.42,44.53,42.74,38.55,46.79,36.67,47.63,74.48,64.44,48.21,43.25,48.59,49.71,62.67,47.06,48.79,59.19,71.17
hsa-miR-129-2-3p,144.68,137.71,109.92,121.1,97.79,105.16,142.06,105.9,108.08,116.38,97.74,126.52,150.84,139.85,126.13,134.09,135.22,119.1,150.08,126.85,134.67,125.07,153.53
hsa-miR-129-5p,22373.39,24272.23,18523.64,24377.62,23603.58,15985.94,18809.83,16973.32,13501.19,13500.43,10759.41,12286.49,19033.98,15223.87,17198.95,14278.95,13737.46,10933.21,13523.29,21638.96,24779.75,17058.22,19138.15
hsa-miR-1290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.2,0.0,0.15
hsa-miR-1291,3.11,3.63,3.18,4.58,1.68,2.01,2.92,2.42,3.73,1.99,2.06,2.63,3.75,3.1,3.35,2.97,2.95,2.78,2.89,4.74,3.83,1.93,2.24
hsa-miR-1292-5p,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.12,0.0,0.12,0.11,0.0,0.14,0.44,0.11,0.0,0.0,0.12,0.0,0.2,0.0,0.0
hsa-miR-1293,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0
hsa-miR-1294,0.13,0.0,0.23,0.0,0.0,0.0,0.44,0.27,0.12,0.13,0.61,0.23,0.12,0.0,4.95,0.0,0.0,0.0,0.35,0.0,0.2,0.0,0.3
hsa-miR-1295a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
hsa-miR-1295b-3p,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.13,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1296-3p,0.78,0.85,0.45,0.89,0.32,0.33,0.58,0.4,0.47,0.8,0.24,0.69,1.05,0.56,0.58,0.23,0.23,0.21,0.0,1.13,0.2,0.45,0.6
