miRNA,DRR127191,DRR127193,DRR127195
hsa-miR-619-5p,0.0,4.71,0.0
hsa-miR-625-5p,0.0,4.71,0.0
hsa-miR-627-5p,0.0,4.71,0.0
hsa-miR-628-3p,0.0,4.71,0.0
hsa-miR-629-3p,0.0,4.71,0.0
hsa-miR-629-5p,83.82,37.67,2.15
hsa-miR-641,0.0,4.71,0.0
hsa-miR-643,0.0,4.71,0.0
hsa-miR-651-5p,0.0,9.42,0.0
hsa-miR-6511b-5p,0.0,0.0,3.68
hsa-miR-652-3p,0.0,28.25,0.0
hsa-miR-6529-5p,5.59,32.96,2.45
hsa-miR-660-5p,0.0,42.37,4.29
hsa-miR-671-3p,0.0,9.42,7.66
hsa-miR-6728-5p,0.0,0.0,7.05
hsa-miR-676-3p,0.0,4.71,0.0
hsa-miR-6805-5p,0.0,0.0,4.6
hsa-miR-6840-5p,0.0,4.71,0.0
hsa-miR-6842-3p,5.59,9.42,0.0
hsa-miR-7-1-3p,0.0,4.71,0.0
hsa-miR-7110-3p,0.0,0.0,1.84
hsa-miR-7151-3p,5.59,4.71,0.0
hsa-miR-744-5p,50.29,23.54,5.83
hsa-miR-760,22.35,4.71,0.0
hsa-miR-766-3p,0.0,4.71,0.92
hsa-miR-769-5p,11.18,254.24,11.34
hsa-miR-7704,0.0,0.0,5.21
hsa-miR-7706,22.35,80.04,5.52
hsa-miR-7974,0.0,0.0,0.61
hsa-miR-874-3p,5.59,9.42,3.99
hsa-miR-874-5p,0.0,4.71,0.0
hsa-miR-9-5p,0.0,37.67,0.0
hsa-miR-92a-1-5p,5.59,4.71,11.04
hsa-miR-92a-3p,25072.78,13780.73,4380.84
hsa-miR-92b-3p,5.59,14.12,0.31
hsa-miR-93-3p,0.0,9.42,0.0
hsa-miR-93-5p,111.76,1586.64,8.28
hsa-miR-937-3p,5.59,0.0,0.0
hsa-miR-940,16.76,0.0,0.0
hsa-miR-941,0.0,37.67,0.0
hsa-miR-942-5p,0.0,9.42,0.0
hsa-miR-96-5p,0.0,4.71,0.0
hsa-miR-98-5p,39.12,108.29,0.0
hsa-miR-9985,0.0,0.0,9.81
hsa-miR-99a-5p,0.0,14.12,15.33
hsa-miR-99b-3p,11.18,9.42,0.0
hsa-miR-99b-5p,0.0,164.78,0.0
hsa-mir-12136-5p,33.53,32.96,0.0
hsa-mir-1273c-5p,0.0,18.83,0.0
hsa-mir-2110-5p,22.35,0.0,0.0
hsa-mir-3135b-5p,0.0,0.0,4.29
hsa-mir-3648-1-5p,5.59,0.0,0.0
hsa-mir-4741-3p,0.0,0.0,0.31
hsa-mir-6165-5p,5.59,0.0,0.0
hsa-mir-636-3p,0.0,4.71,0.0
hsa-mir-639-3p,0.0,0.0,2.45
hsa-mir-663a-5p,0.0,4.71,0.0
hsa-mir-8086-5p,0.0,4.71,0.0
