miRNA,ERR5981316,ERR5981317,ERR5981318,ERR5981319,ERR5981320,ERR5981321,ERR5981322,ERR5981323,ERR5981324,ERR5981325,ERR5981326,ERR5981327,ERR5981328,ERR5981329,ERR5981330,ERR5981331,ERR5981332,ERR5981333,ERR5981334,ERR5981335,ERR5981336,ERR5981337,ERR5981338,ERR5981339
hsa-miR-21-5p,4.47,9944.63,12.13,2419.8,16.45,8.12,630.49,26.86,14.9,1996.94,34.3,19.83,5.85,21.74,8.72,4153.47,11746.87,6.13,0.31,1680.33,3549.04,4865.84,17621.82,9.86
hsa-miR-210-3p,0.0,19.62,0.32,26.88,0.0,0.0,17.52,0.0,0.0,14.26,0.48,0.0,0.0,0.0,0.0,5.96,26.53,0.0,0.31,7.39,13.14,6.11,18.17,0.0
hsa-miR-211-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.18,0.08,0.0
hsa-miR-211-5p,0.0,0.87,0.0,0.98,0.0,0.0,0.75,0.24,0.0,0.38,0.0,0.0,0.0,0.0,0.42,1.61,6.88,0.0,0.0,0.96,1.59,1.69,2.51,0.0
hsa-miR-2110,0.0,0.0,0.0,0.73,0.0,0.0,0.27,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-2114-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0
hsa-miR-212-3p,0.0,8.51,0.0,3.6,0.0,0.0,1.03,0.0,0.0,1.19,0.0,0.0,0.0,0.0,0.0,5.19,18.12,0.0,0.0,9.28,6.74,3.02,8.62,0.0
hsa-miR-212-5p,0.0,7.06,0.0,1.95,0.0,0.0,3.08,0.0,0.0,2.23,0.0,0.0,0.0,0.0,0.0,4.47,25.59,0.0,0.0,10.61,15.8,3.99,11.22,0.0
hsa-miR-214-3p,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.06,0.0,0.0,0.0,0.4,0.0,0.08,0.0
hsa-miR-215-5p,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-216a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0
hsa-miR-216b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0
hsa-miR-218-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-218-5p,0.0,24.43,0.0,10.0,0.0,0.0,4.52,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,18.07,31.48,0.15,0.0,14.87,13.59,17.91,65.55,0.0
hsa-miR-219a-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0
hsa-miR-219a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.25,0.0
hsa-miR-219a-5p,0.0,24.2,0.0,15.91,0.32,0.0,3.9,1.47,0.93,30.57,2.9,0.0,0.0,0.0,0.0,9.06,15.88,0.0,0.0,4.98,42.02,16.76,71.67,0.0
