miRNA,SRR17237638,SRR17237639,SRR17237640,SRR17237641,SRR17237642,SRR17237643,SRR17237644,SRR17237645,SRR17237646,SRR17237647,SRR17237648,SRR17237649,SRR17237650,SRR17237651,SRR17237652,SRR17237653,SRR17237654,SRR17237655,SRR17237656,SRR17237657,SRR17237658,SRR17237659,SRR17237660,SRR17237661,SRR17237662,SRR17237663,SRR17237664,SRR17237665
hsa-miR-1283,1886.0,566.0,618.0,489.0,195.0,1026.0,578.0,340.0,490.0,470.0,1007.0,265.0,372.0,229.0,1152.0,479.0,1177.0,589.0,640.0,986.0,961.0,740.0,476.0,653.0,772.0,1231.0,1052.0,1355.0
hsa-miR-1284,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0
hsa-miR-1285-3p,1.0,3.0,2.0,2.0,0.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,2.0,3.0,0.0,4.0
hsa-miR-1285-5p,0.0,2.0,5.0,0.0,1.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1287-5p,2.0,2.0,5.0,3.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
hsa-miR-1288-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1289,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
hsa-miR-129-5p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1291,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-1292-5p,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-1293,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1294,3.0,3.0,2.0,1.0,2.0,8.0,0.0,0.0,2.0,0.0,2.0,5.0,1.0,1.0,5.0,0.0,3.0,0.0,0.0,4.0,1.0,4.0,3.0,0.0,0.0,2.0,1.0,3.0
hsa-miR-1295a,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
hsa-miR-1296-3p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1296-5p,3.0,3.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,6.0,3.0,4.0,1.0,4.0,2.0,3.0,9.0,3.0,10.0,9.0,4.0,8.0,8.0,11.0,9.0
hsa-miR-1297,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0
hsa-miR-1298-3p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1298-5p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1299,51.0,0.0,2.0,1.0,1.0,6.0,1.0,0.0,0.0,24.0,20.0,4.0,2.0,0.0,37.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,4.0,5.0,15.0,2.0,0.0
hsa-miR-1301-3p,20.0,3.0,17.0,6.0,2.0,7.0,14.0,4.0,20.0,18.0,12.0,15.0,14.0,13.0,9.0,1.0,9.0,8.0,3.0,1.0,15.0,2.0,14.0,3.0,10.0,7.0,16.0,23.0
hsa-miR-1303,2.0,3.0,2.0,1.0,1.0,3.0,5.0,0.0,5.0,3.0,3.0,1.0,4.0,4.0,7.0,3.0,1.0,4.0,0.0,1.0,3.0,1.0,3.0,0.0,4.0,3.0,2.0,7.0
hsa-miR-1304-3p,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1304-5p,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
hsa-miR-1306-3p,1.0,2.0,2.0,1.0,2.0,8.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
hsa-miR-1306-5p,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,9.0,6.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,5.0,9.0,3.0
hsa-miR-1307-3p,79.0,130.0,240.0,83.0,65.0,360.0,108.0,24.0,89.0,105.0,103.0,32.0,124.0,47.0,69.0,17.0,110.0,42.0,29.0,27.0,97.0,27.0,43.0,28.0,45.0,72.0,61.0,69.0
hsa-miR-1307-5p,0.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0
hsa-miR-130a-3p,31.0,14.0,10.0,15.0,7.0,4.0,5.0,4.0,5.0,7.0,10.0,2.0,8.0,2.0,39.0,17.0,26.0,25.0,13.0,18.0,19.0,17.0,5.0,16.0,20.0,33.0,26.0,37.0
hsa-miR-130a-5p,1.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-130b-3p,5.0,8.0,4.0,6.0,1.0,9.0,1.0,2.0,4.0,4.0,2.0,0.0,4.0,1.0,7.0,5.0,4.0,1.0,1.0,2.0,7.0,4.0,2.0,5.0,1.0,5.0,5.0,4.0
hsa-miR-130b-5p,91.0,17.0,18.0,3.0,1.0,8.0,8.0,1.0,7.0,13.0,2.0,0.0,9.0,3.0,20.0,9.0,20.0,4.0,0.0,13.0,8.0,7.0,9.0,1.0,2.0,7.0,6.0,9.0
hsa-miR-132-3p,7.0,6.0,5.0,9.0,3.0,2.0,13.0,4.0,5.0,5.0,8.0,3.0,4.0,6.0,18.0,5.0,12.0,7.0,7.0,4.0,18.0,4.0,4.0,4.0,4.0,19.0,16.0,26.0
hsa-miR-132-5p,11.0,3.0,7.0,3.0,0.0,0.0,5.0,2.0,1.0,0.0,6.0,1.0,2.0,2.0,1.0,1.0,8.0,4.0,0.0,4.0,3.0,2.0,2.0,0.0,1.0,3.0,1.0,7.0
hsa-miR-1323,14926.0,17755.0,11788.0,8320.0,3500.0,2456.0,11647.0,8462.0,6399.0,7273.0,10507.0,3460.0,10783.0,4684.0,20601.0,6641.0,13390.0,10549.0,8389.0,19472.0,16076.0,13620.0,4232.0,4987.0,8301.0,11908.0,12253.0,21107.0
hsa-miR-133a-3p,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
hsa-miR-134-5p,2.0,10.0,10.0,1.0,4.0,28.0,1.0,1.0,0.0,7.0,3.0,2.0,1.0,0.0,6.0,1.0,22.0,7.0,1.0,0.0,15.0,0.0,0.0,0.0,3.0,2.0,3.0,4.0
hsa-miR-1343-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-135a-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-135b-3p,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0
hsa-miR-135b-5p,207.0,108.0,147.0,33.0,14.0,4.0,65.0,4.0,25.0,61.0,69.0,40.0,29.0,22.0,166.0,45.0,249.0,27.0,24.0,44.0,68.0,14.0,43.0,62.0,61.0,275.0,66.0,169.0
