miRNA,GSM3939089,GSM3939090,GSM3939091,GSM3939092,GSM3939093,GSM3939094,GSM3939095,GSM3939096,GSM3939097,GSM3939098,GSM3939099,GSM3939100,GSM3939101,GSM3939102,GSM3939103,GSM3939104,GSM3939105,GSM3939106
hsa-miR-1285-3p,0.29,0.32,0.0,0.0,0.4,0.29,0.0,0.26,0.0,0.27,0.0,0.0,0.0,0.0,0.28,0.52,0.0,0.0
hsa-miR-1285-5p,1.31,1.76,0.0,0.53,1.61,1.74,6.35,1.04,4.05,0.27,2.77,1.48,0.0,1.53,16.16,2.36,1.92,2.48
hsa-miR-1286,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0
hsa-miR-1287-5p,5.82,7.03,0.0,0.0,0.81,0.29,0.0,1.3,1.01,0.54,0.62,0.74,0.0,0.31,7.32,0.79,0.0,1.34
hsa-miR-1288-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0
hsa-miR-1289,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.49,0.0,0.31,0.0,0.0,0.0,0.0
hsa-miR-129-5p,2.04,6.07,0.67,0.0,0.0,0.58,0.0,0.26,0.51,0.27,0.62,0.25,0.0,0.0,1.66,0.79,0.55,0.38
hsa-miR-1290,0.29,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1291,1.16,2.24,1.34,0.0,0.4,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.19
hsa-miR-1292-5p,3.64,4.16,0.0,0.0,0.4,0.0,0.0,0.0,0.76,0.54,1.23,1.48,0.0,0.31,1.38,0.0,0.27,0.0
hsa-miR-1293,10.03,14.7,1.34,0.0,5.24,2.62,0.0,3.37,2.53,1.35,0.92,3.96,0.0,2.14,7.32,3.41,2.47,1.72
hsa-miR-1294,0.15,0.48,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1295a,0.15,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1296-3p,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1296-5p,8.14,7.83,0.67,0.53,0.81,2.62,0.0,3.11,4.56,3.25,2.16,3.22,0.0,0.61,8.29,2.1,2.2,1.15
hsa-miR-1297,1.16,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.19
hsa-miR-1299,2.76,7.35,1.34,0.0,0.4,0.87,0.0,0.52,0.51,0.54,0.0,0.74,0.0,0.92,2.07,0.52,0.55,0.0
hsa-miR-1301-3p,2.62,11.03,0.0,0.0,0.81,0.29,0.0,2.33,0.76,1.35,0.92,0.99,0.0,1.53,3.87,0.26,1.65,1.34
hsa-miR-1302,0.0,0.32,0.0,0.53,1.21,0.87,0.0,0.0,1.01,0.81,1.54,0.74,0.0,0.0,0.14,0.52,0.0,0.19
hsa-miR-1303,2.62,2.56,0.0,0.0,0.4,0.29,0.0,0.52,1.77,1.35,0.31,0.74,0.0,0.92,0.55,1.05,1.37,0.19
hsa-miR-1304-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.0
hsa-miR-1304-5p,0.0,0.16,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1305,0.0,0.48,0.0,0.0,0.4,0.29,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19
hsa-miR-1306-3p,0.15,0.96,0.0,0.0,0.0,0.58,0.0,1.3,0.0,0.0,0.62,0.25,0.0,0.0,0.0,0.79,0.27,0.19
hsa-miR-1306-5p,0.58,1.12,1.34,0.0,1.61,1.74,0.0,1.56,0.76,1.35,1.23,5.44,0.0,2.14,1.38,0.26,4.12,0.38
hsa-miR-1307-3p,192.11,292.01,21.37,171.74,88.23,47.66,95.2,89.23,89.41,95.01,79.74,104.17,37.43,89.16,129.7,54.51,115.01,76.22
hsa-miR-1307-5p,19.05,30.85,2.67,0.0,18.93,4.94,0.0,10.63,4.05,4.87,3.69,5.2,0.0,15.63,10.77,10.22,2.74,4.39
hsa-miR-130a-3p,93.51,152.0,2.0,0.0,13.7,14.53,0.0,17.38,20.77,15.16,15.39,22.52,0.0,12.56,117.96,12.05,43.09,17.57
hsa-miR-130a-5p,0.15,0.48,0.0,0.0,0.0,0.29,0.0,0.52,0.0,0.0,0.0,1.24,0.0,0.0,0.97,0.0,0.27,0.19
hsa-miR-130b-3p,43.92,72.56,0.0,0.0,5.64,0.87,0.0,3.37,4.05,2.71,4.93,4.21,0.0,3.98,21.27,1.83,4.39,2.29
hsa-miR-130b-5p,0.87,2.24,0.0,0.0,0.81,0.29,0.0,0.78,2.28,1.35,1.23,0.74,0.0,0.31,4.7,0.0,0.55,1.34
hsa-miR-132-3p,42.9,78.48,4.67,0.0,22.16,12.5,0.0,17.9,20.26,13.81,13.85,19.79,0.0,20.22,40.61,9.43,9.88,15.28
hsa-miR-132-5p,2.76,4.32,0.0,0.0,2.01,1.16,0.0,2.08,1.27,0.81,1.54,2.72,0.0,0.61,4.56,0.26,0.55,1.15
hsa-miR-1321,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0
hsa-miR-133a-3p,0.58,2.24,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.54,0.31,0.25,0.0,0.61,0.0,0.26,0.55,0.19
hsa-miR-133b,0.0,0.16,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-134-5p,5.53,5.59,0.67,0.0,0.0,0.29,0.0,0.0,0.51,0.0,0.31,0.0,0.0,0.61,0.28,0.26,0.0,0.0
hsa-miR-1343-3p,1.45,3.2,0.0,0.0,1.21,0.58,0.0,0.52,1.27,1.62,0.31,1.48,0.0,0.61,1.11,1.05,2.2,0.96
hsa-miR-1343-5p,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-135a-5p,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-135b-3p,1.45,2.72,0.0,0.53,0.4,0.0,0.91,0.26,0.25,0.81,0.62,0.25,0.0,0.92,0.83,0.26,0.0,0.19
hsa-miR-135b-5p,5.67,7.19,2.0,1.6,19.34,8.14,0.0,21.01,13.68,14.08,10.47,21.03,0.76,11.34,28.73,3.67,4.12,4.97
hsa-miR-136-3p,3.49,12.95,0.67,0.0,0.0,1.16,0.0,2.85,2.03,1.62,0.92,1.73,0.0,3.37,0.14,1.31,0.27,0.38
hsa-miR-136-5p,0.29,0.64,0.0,1.06,0.81,0.0,3.63,1.04,0.51,0.54,0.31,0.0,0.0,0.61,0.28,0.26,0.55,0.0
hsa-miR-137-3p,1.02,2.24,0.0,0.0,2.01,0.58,0.0,0.78,0.0,0.54,0.0,1.24,0.0,0.61,2.35,0.26,0.55,1.53
