miRNA,SRR20232393,SRR20232394,SRR20232395,SRR20232396,SRR20232397,SRR20232398,SRR20232399,SRR20232400,SRR20232401,SRR20232402,SRR20232403,SRR20232404,SRR20232405,SRR20232406,SRR20232407,SRR20232408,SRR20232409,SRR20232410,SRR20232411,SRR20232412,SRR20232413,SRR20232414,SRR20232415,SRR20232416,SRR20232417,SRR20232418,SRR20232419,SRR20232420,SRR20232421,SRR20232422,SRR20232423,SRR20232424,SRR20232425,SRR20232426,SRR20232427,SRR20232428,SRR20232429,SRR20232430,SRR20232431,SRR20232432
hsa-miR-26b-3p,0.0,0.0,0.0,4.07,0.0,0.0,0.0,0.0,0.0,19.1,0.0,0.0,1.65,0.76,0.98,0.0,2.3,0.0,0.0,0.0,0.0,0.0,7.27,12.46,0.0,0.0,5.99,0.0,0.0,0.0,5.1,6.33,0.8,0.0,0.0,0.0,0.0,1.66,0.0,0.0
hsa-miR-26b-5p,9.19,12.75,0.0,6.61,18.32,0.0,12.86,3.29,0.0,1.47,1.14,1.82,0.55,0.0,0.0,8.43,10.13,11.96,21.43,1.09,0.0,0.0,16.47,0.57,0.0,11.3,11.55,14.73,4.52,0.52,19.81,13.66,4.38,0.0,0.38,0.0,0.6,0.0,0.0,4.25
hsa-miR-27a-3p,0.0,0.0,0.0,0.0,1.15,0.0,1.17,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.58,0.36,0.0,0.0,11.62,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,18.06
hsa-miR-27a-5p,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-27b-3p,0.0,0.55,3.87,0.51,1.15,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.26,10.17,0.57,9.14,1.41,12.84,6.73,1.39,2.06,5.7,0.0,5.17,1.16,1.89,0.0,3.59,0.83,0.69,1.06
hsa-miR-28-3p,62.04,45.45,38.69,89.98,256.49,54.28,51.43,274.37,18.08,98.44,56.32,63.59,23.66,18.71,13.71,34.31,124.78,58.46,25.49,59.4,12.24,37.99,122.06,34.56,237.63,121.96,242.61,79.12,23.64,50.07,293.0,191.22,60.08,22.03,26.04,55.55,158.08,158.31,86.43,182.74
hsa-miR-28-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-2861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.11,0.0,0.38,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06
hsa-miR-29a-3p,5.36,14.41,1.66,19.32,0.0,0.0,15.19,0.0,0.0,0.0,0.0,7.27,0.0,0.0,2.94,0.0,3.22,1.77,0.58,1.81,3.87,5.59,4.84,0.0,5.29,14.13,8.13,9.68,0.7,0.52,6.3,15.32,11.54,1.74,3.4,0.58,0.0,1.66,1.38,3.19
hsa-miR-29b-3p,0.0,0.0,0.0,0.0,9.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93,0.0,8.72,0.0,0.0,0.0,4.28,0.0,0.0,0.0,0.0,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-29c-3p,0.0,0.0,2.76,5.08,0.0,0.0,0.0,0.0,20.49,0.0,1.71,0.61,0.0,1.53,0.0,0.0,0.0,1.33,9.85,0.0,0.0,0.0,0.48,0.0,7.22,1.41,9.84,4.21,0.0,0.0,0.3,1.67,2.39,2.32,0.0,12.15,0.0,0.0,13.83,10.62
hsa-miR-29c-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-301a-3p,0.0,0.0,0.0,0.0,0.0,0.0,17.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.85,3.87,0.0,3.37,0.0,11.55,0.0,0.7,0.0,0.0,4.66,0.0,0.0,0.0,0.0,0.6,0.0,5.53,10.62
hsa-miR-3059-3p,0.0,0.0,0.0,0.0,26.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3064-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,5.77,5.18,0.0,0.0,0.0,0.0,1.8,11.33,4.77,0.0,0.0,0.0,0.0,0.0,0.0,8.5
hsa-miR-3065-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.72,0.0,0.0,0.0,6.6,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.53,0.0,0.0,7.7,20.2,0.0,0.0,14.11,21.65,0.0,0.0,0.0,22.57,0.0,0.0,0.0,0.0
