miRNA,SRR11057475,SRR11057476,SRR11057477,SRR11057478,SRR11057479,SRR11057480,SRR11057481,SRR11057482,SRR11057483,SRR11057484,SRR11057485,SRR11057486,SRR11057487,SRR11057488,SRR11057489,SRR11057490,SRR11057491,SRR11057492,SRR11057493,SRR11057494,SRR11057495,SRR11057496,SRR11057497,SRR11057498,SRR11057499,SRR11057500,SRR11057501,SRR11057502,SRR11057503,SRR11057504,SRR11057505,SRR11057506,SRR11057507,SRR11057508,SRR11057509,SRR11057510,SRR11057511,SRR11057512,SRR11057513,SRR11057514,SRR11057515,SRR11057516,SRR11057517,SRR11057518,SRR11057519,SRR11057520
hsa-miR-200b-3p,3.88,1.91,2.98,1.99,1.87,3.88,0.62,6.95,7.7,0.24,10.56,10.82,0.61,0.42,1.54,0.36,1.2,0.33,1.78,1.1,2.15,1.14,1.24,0.7,0.66,1.67,2.45,1.79,1.6,1.66,9.43,22.53,1.89,2.31,6.15,3.87,0.85,1.22,0.79,3.16,2.47,1.27,2.76,1.02,3.95,3.9
hsa-miR-200b-5p,0.0,0.0,0.4,0.22,0.19,0.26,0.12,0.0,0.0,0.12,1.28,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.17,0.37,0.0,0.0,0.32,0.09,1.25,1.58,0.09,0.15,0.51,0.11,0.12,0.0,0.1,0.2,0.12,0.35,0.12,0.2,0.92,0.13
hsa-miR-200c-3p,4.55,1.79,2.78,1.76,4.12,2.59,0.74,8.19,1.54,0.83,11.84,17.68,0.31,0.0,0.26,0.0,0.6,0.17,7.72,0.55,0.63,0.0,1.24,1.39,0.5,1.48,1.16,1.3,1.07,1.57,8.9,26.58,1.35,2.92,4.4,3.32,0.36,1.04,0.89,2.24,1.3,1.38,2.16,1.22,4.47,2.34
hsa-miR-200c-5p,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-202-3p,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.17,0.37,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.61,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-202-5p,0.17,0.0,0.0,0.0,0.0,0.26,0.0,0.25,0.0,0.35,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.11,0.0,0.53,0.53,0.0,0.0,1.02,0.44,0.12,0.0,0.2,0.2,0.0,0.0,0.0,0.1,0.0,0.0
hsa-miR-203a-3p,8.93,2.3,13.09,2.65,5.62,19.92,5.67,25.32,18.47,9.69,14.07,168.51,4.28,2.93,5.63,1.27,20.34,0.67,491.89,2.9,6.58,65.9,17.42,16.71,3.49,2.41,3.61,1.79,5.56,5.77,37.2,47.35,1.08,1.54,12.09,36.64,6.56,1.41,5.17,9.18,11.2,10.72,3.72,0.92,7.63,50.62
hsa-miR-203a-5p,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-203b-3p,0.0,0.0,0.4,0.0,0.19,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.63,0.0,0.41,0.0,0.17,0.19,0.14,0.0,0.21,0.09,1.07,0.35,0.0,0.15,0.1,0.22,0.0,0.09,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0
hsa-miR-204-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
