miRNA,ERR5981316,ERR5981317,ERR5981318,ERR5981319,ERR5981320,ERR5981321,ERR5981322,ERR5981323,ERR5981324,ERR5981325,ERR5981326,ERR5981327,ERR5981328,ERR5981329,ERR5981330,ERR5981331,ERR5981332,ERR5981333,ERR5981334,ERR5981335,ERR5981336,ERR5981337,ERR5981338,ERR5981339
hsa-miR-126-3p,0.0,86060.0,3.0,24021.0,6.0,0.0,11597.0,3.0,5.0,18124.0,1.0,1.0,0.0,13.0,0.0,14519.0,37902.0,3.0,0.0,12140.0,10373.0,11809.0,21004.0,0.0
hsa-miR-126-5p,0.0,23825.0,0.0,4802.0,0.0,0.0,1313.0,0.0,0.0,3909.0,0.0,0.0,0.0,0.0,0.0,3928.0,6695.0,0.0,0.0,1456.0,1629.0,3916.0,8272.0,1.0
hsa-miR-1260a,20.0,9.0,14.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,7.0,2.0,2.0,5.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0
hsa-miR-1260b,0.0,692.0,0.0,177.0,1.0,0.0,128.0,0.0,0.0,71.0,0.0,0.0,14.0,6.0,0.0,80.0,1353.0,2.0,0.0,106.0,188.0,51.0,82.0,0.0
hsa-miR-1268a,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0
hsa-miR-1268b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-127-3p,0.0,28.0,22.0,14.0,39.0,19.0,20.0,45.0,24.0,6.0,69.0,35.0,0.0,3.0,11.0,9.0,8.0,8.0,1.0,10.0,15.0,10.0,14.0,10.0
hsa-miR-127-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-1270,0.0,116.0,0.0,89.0,0.0,0.0,49.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-128-1-5p,0.0,104.0,0.0,117.0,0.0,0.0,97.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,17.0,110.0,0.0,0.0,49.0,148.0,26.0,25.0,1.0
hsa-miR-128-3p,0.0,59119.0,0.0,18679.0,21.0,5.0,19379.0,8.0,0.0,12902.0,26.0,9.0,12.0,0.0,0.0,18406.0,45467.0,1.0,0.0,18568.0,24098.0,16749.0,30968.0,0.0
hsa-miR-1285-5p,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
hsa-miR-1287-5p,0.0,32.0,0.0,46.0,0.0,0.0,15.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-129-1-3p,0.0,562.0,0.0,256.0,0.0,0.0,174.0,0.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,197.0,379.0,0.0,0.0,443.0,162.0,168.0,106.0,0.0
hsa-miR-129-2-3p,0.0,75.0,0.0,58.0,0.0,0.0,29.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,96.0,436.0,0.0,0.0,232.0,128.0,86.0,81.0,0.0
hsa-miR-129-5p,0.0,14715.0,2.0,6258.0,2.0,5.0,5472.0,1.0,2.0,2560.0,2.0,1.0,14.0,12.0,0.0,9314.0,13853.0,3.0,5.0,8807.0,4541.0,4140.0,5946.0,12.0
hsa-miR-1290,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1291,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-1296-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
hsa-miR-1296-5p,0.0,3.0,0.0,27.0,0.0,0.0,8.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1297,0.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1298-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1301-3p,0.0,11.0,0.0,30.0,0.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-1306-3p,0.0,674.0,5.0,361.0,8.0,7.0,232.0,5.0,7.0,134.0,0.0,0.0,22.0,15.0,3.0,450.0,698.0,1.0,1.0,226.0,428.0,152.0,198.0,0.0
hsa-miR-1306-5p,0.0,172.0,1.0,457.0,0.0,0.0,212.0,0.0,0.0,37.0,0.0,0.0,9.0,2.0,0.0,25.0,324.0,0.0,1.0,87.0,197.0,12.0,77.0,0.0
hsa-miR-1307-3p,16.0,167.0,62.0,326.0,55.0,72.0,111.0,14.0,26.0,69.0,11.0,20.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
hsa-miR-1307-5p,0.0,15.0,0.0,32.0,0.0,0.0,8.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
hsa-miR-130a-3p,0.0,106899.0,1.0,43674.0,5.0,2.0,26637.0,9.0,9.0,28780.0,8.0,7.0,12.0,0.0,0.0,35187.0,90299.0,2.0,0.0,22376.0,34468.0,26309.0,55286.0,0.0
hsa-miR-130a-5p,0.0,549.0,1.0,128.0,0.0,0.0,81.0,6.0,0.0,132.0,0.0,1.0,0.0,0.0,1.0,259.0,303.0,0.0,0.0,87.0,95.0,248.0,243.0,0.0
hsa-miR-130b-3p,0.0,9908.0,0.0,5320.0,1.0,0.0,2792.0,0.0,0.0,2518.0,0.0,0.0,0.0,2.0,5.0,8711.0,24639.0,0.0,1.0,6671.0,9163.0,4898.0,11753.0,3.0
hsa-miR-130b-5p,1.0,2508.0,0.0,672.0,0.0,1.0,320.0,0.0,0.0,267.0,0.0,0.0,2.0,8.0,5.0,1735.0,6743.0,7.0,2.0,2016.0,1838.0,707.0,1341.0,1.0
hsa-miR-132-3p,1.0,2112.0,1.0,521.0,3.0,0.0,224.0,1.0,0.0,375.0,0.0,0.0,1.0,5.0,0.0,645.0,8107.0,0.0,1.0,3819.0,2073.0,689.0,1227.0,1.0
hsa-miR-132-5p,0.0,331.0,0.0,181.0,0.0,1.0,49.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,349.0,1176.0,0.0,0.0,681.0,557.0,224.0,399.0,3.0
hsa-miR-1321,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,4.0
hsa-miR-133a-3p,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,0.0,0.0,7.0,19.0,5.0,5.0,0.0
hsa-miR-133a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
