miRNA,ERR3559065,ERR3559066
hsa-miR-668-3p,0.88,0.59
hsa-miR-671-3p,15.02,28.52
hsa-miR-6721-5p,0.22,3.71
hsa-miR-6724-5p,1.24,0.0
hsa-miR-6727-5p,1.1,0.0
hsa-miR-6730-3p,0.66,0.0
hsa-miR-6734-5p,11.53,7.03
hsa-miR-6735-5p,0.35,4.2
hsa-miR-6738-3p,0.04,0.39
hsa-miR-6740-5p,0.62,0.0
hsa-miR-6741-3p,1.41,4.2
hsa-miR-6741-5p,0.97,1.17
hsa-miR-6747-3p,2.25,0.78
hsa-miR-6749-3p,0.0,0.78
hsa-miR-675-3p,0.09,1.17
hsa-miR-6750-3p,0.88,0.0
hsa-miR-6754-3p,0.0,0.88
hsa-miR-6763-5p,0.13,2.25
hsa-miR-6764-5p,0.04,0.68
hsa-miR-6767-5p,1.41,0.0
hsa-miR-6769b-3p,0.22,0.0
hsa-miR-6775-3p,0.49,0.0
hsa-miR-6776-3p,0.04,0.49
hsa-miR-6780a-3p,0.93,0.0
hsa-miR-6780a-5p,0.84,2.44
hsa-miR-6780b-5p,0.57,0.0
hsa-miR-6782-3p,0.04,1.27
hsa-miR-6789-3p,0.18,1.07
hsa-miR-6797-3p,0.04,0.0
hsa-miR-6802-5p,0.04,0.59
hsa-miR-6803-3p,2.56,5.96
hsa-miR-6804-3p,0.22,2.93
hsa-miR-6804-5p,0.09,0.39
hsa-miR-6805-5p,0.35,1.86
hsa-miR-6809-5p,1.77,0.29
hsa-miR-6810-5p,0.22,0.78
hsa-miR-6813-3p,0.0,0.49
hsa-miR-6815-5p,7.02,2.73
hsa-miR-6816-3p,0.0,0.49
hsa-miR-6817-3p,0.04,0.68
hsa-miR-6826-5p,0.0,0.39
hsa-miR-6829-5p,0.04,1.27
hsa-miR-6833-3p,1.28,4.0
hsa-miR-6836-5p,1.41,0.0
hsa-miR-6837-3p,1.77,0.68
hsa-miR-6837-5p,2.78,1.76
hsa-miR-6842-3p,0.75,0.0
hsa-miR-6845-5p,0.49,0.0
hsa-miR-6850-5p,0.75,1.37
hsa-miR-6852-5p,6.67,10.84
hsa-miR-6853-3p,1.1,0.0
hsa-miR-6858-3p,0.04,0.0
hsa-miR-6858-5p,0.75,1.66
hsa-miR-6859-5p,3.71,1.76
hsa-miR-6861-5p,0.8,0.0
hsa-miR-6862-3p,0.97,0.0
hsa-miR-6862-5p,0.31,1.46
hsa-miR-6866-5p,3.05,0.0
hsa-miR-6873-5p,1.15,0.0
hsa-miR-6875-5p,0.18,1.95
hsa-miR-6876-5p,0.09,0.59
hsa-miR-6877-5p,0.04,1.17
hsa-miR-6882-3p,0.0,0.29
hsa-miR-6884-5p,0.13,0.88
hsa-miR-6885-5p,0.04,0.29
hsa-miR-6891-5p,1.02,3.03
hsa-miR-6894-3p,0.09,1.17
hsa-miR-6894-5p,0.09,2.44
hsa-miR-7-5p,9.32,18.26
hsa-miR-708-3p,0.93,0.68
hsa-miR-7108-3p,0.0,0.1
hsa-miR-7110-3p,1.94,1.76
hsa-miR-7113-5p,0.93,0.0
hsa-miR-744-3p,0.04,1.37
hsa-miR-744-5p,38.34,81.84
hsa-miR-758-3p,2.78,0.29
hsa-miR-760,2.39,0.2
hsa-miR-765,0.71,0.0
hsa-miR-766-3p,5.39,22.27
hsa-miR-766-5p,2.74,4.79
hsa-miR-769-5p,18.37,20.61
hsa-miR-7704,1.86,0.2
hsa-miR-7706,14.44,14.45
hsa-miR-7848-3p,0.18,2.54
hsa-miR-7849-3p,0.57,0.88
hsa-miR-7854-3p,0.09,0.0
hsa-miR-7856-5p,0.04,0.0
hsa-miR-7976,1.68,0.59
hsa-miR-802,1.59,0.0
hsa-miR-8072,1.33,0.0
hsa-miR-873-3p,0.04,0.98
hsa-miR-873-5p,0.57,1.07
hsa-miR-874-3p,25.18,10.84
hsa-miR-877-3p,0.18,0.49
hsa-miR-877-5p,3.8,4.1
hsa-miR-885-3p,11.97,2.83
hsa-miR-885-5p,203.44,40.53
hsa-miR-889-3p,0.84,2.25
hsa-miR-891a-5p,0.71,0.39
hsa-miR-9-3p,0.04,0.0
hsa-miR-9-5p,0.53,6.45
hsa-miR-92a-1-5p,0.13,2.44
hsa-miR-92a-3p,73293.42,70623.09
hsa-miR-92b-3p,147.35,208.21
hsa-miR-92b-5p,8.88,11.23
hsa-miR-93-3p,35.95,37.4
hsa-miR-93-5p,42.09,31.54
hsa-miR-937-3p,3.8,4.2
hsa-miR-939-5p,1.24,2.05
hsa-miR-941,58.04,73.54
hsa-miR-942-3p,2.69,3.22
hsa-miR-942-5p,22.17,34.47
hsa-miR-95-3p,4.15,3.03
hsa-miR-96-5p,1336.37,505.58
hsa-miR-98-3p,0.75,0.39
hsa-miR-98-5p,6.1,20.02
hsa-miR-99a-5p,5463.37,2563.53
hsa-miR-99b-3p,0.97,0.0
hsa-miR-99b-5p,1824.35,1855.12
hsa-mir-12136-5p,0.09,1.17
hsa-mir-1273c-5p,3.05,2.83
hsa-mir-1291-5p,0.44,0.0
hsa-mir-2110-5p,3.45,4.69
hsa-mir-3135b-5p,0.22,0.0
hsa-mir-3155a-3p,0.57,0.0
