miRNA,SRR12327175,SRR12327176,SRR12327177,SRR12327178,SRR12327179,SRR12327180,SRR12327181,SRR12327182,SRR12327183,SRR12327184,SRR12327185,SRR12327186,SRR12327187,SRR12327188,SRR12327189,SRR12327190
hsa-miR-374a-5p,57.24,35.72,297.08,280.8,65.15,67.77,44.74,12.57,19.32,29.59,12.27,7.04,10.79,11.06,21.17,2.01
hsa-miR-374b-3p,0.89,0.26,0.37,3.88,0.12,0.12,0.23,0.38,0.58,0.0,0.16,0.0,0.39,0.0,0.0,0.22
hsa-miR-374b-5p,17.7,10.96,30.67,54.37,32.63,4.06,6.49,1.41,13.7,1.76,0.66,3.76,18.55,3.22,11.77,0.67
hsa-miR-375-3p,80.55,317.23,76.55,76.29,15.83,4.18,564.99,34.64,0.29,0.18,0.16,0.0,0.0,0.0,65.03,21.32
hsa-miR-376a-3p,2.36,2.71,0.49,1.33,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-376a-5p,0.0,0.0,0.0,0.0,0.37,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-376b-5p,0.0,0.0,0.24,0.11,0.25,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-376c-3p,3.25,1.42,0.12,2.1,5.4,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,0.0
hsa-miR-377-3p,1.77,2.06,1.58,3.1,6.26,0.37,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0
hsa-miR-377-5p,0.89,0.64,0.61,0.55,2.21,0.25,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-378a-3p,775.71,617.57,627.27,467.71,180.72,449.81,201.89,167.92,279.42,284.25,138.88,87.8,95.12,82.57,226.64,101.8
