miRNA,ERR5319140,ERR5319141,ERR5319142,ERR5319143
hsa-miR-27b-3p,42.19,20.84,413.06,625.28
hsa-miR-27b-5p,0.64,0.0,2.87,0.91
hsa-miR-28-3p,8.95,1.27,177.13,108.9
hsa-miR-28-5p,1.28,0.16,14.34,8.17
hsa-miR-296-3p,0.0,0.0,5.02,7.26
hsa-miR-296-5p,0.0,0.0,1.43,0.0
hsa-miR-29a-3p,16.3,5.89,373.62,186.04
hsa-miR-29b-1-5p,0.32,0.0,0.0,0.0
hsa-miR-29b-3p,2.24,1.11,10.76,9.98
hsa-miR-29c-3p,0.0,0.0,0.0,2.72
hsa-miR-29c-5p,0.0,0.0,1.43,0.91
hsa-miR-3064-5p,0.0,0.0,0.0,0.91
hsa-miR-3074-5p,0.0,0.16,0.0,0.0
hsa-miR-30a-3p,36.12,9.86,430.98,235.05
hsa-miR-30a-5p,130.73,82.24,1012.56,601.69
hsa-miR-30b-5p,6.07,1.43,32.27,85.31
hsa-miR-30c-2-3p,1.92,1.91,10.76,12.71
hsa-miR-30c-5p,11.83,7.16,129.08,142.48
hsa-miR-30d-3p,0.0,0.0,2.15,2.72
hsa-miR-30d-5p,46.67,17.02,1133.04,755.96
hsa-miR-30e-3p,14.7,5.57,60.95,47.19
hsa-miR-30e-5p,7.35,5.25,25.82,62.62
hsa-miR-31-3p,0.0,0.16,7.17,4.54
hsa-miR-31-5p,0.32,0.16,19.36,9.98
hsa-miR-3124-5p,0.0,0.0,1.43,0.91
hsa-miR-3126-5p,0.0,0.0,0.72,0.0
hsa-miR-3127-5p,0.0,0.0,0.0,0.91
hsa-miR-3130-3p,0.0,0.16,0.0,0.0
hsa-miR-3140-3p,0.32,0.0,0.0,0.0
hsa-miR-3142,0.0,0.0,1.43,0.0
hsa-miR-3150a-5p,0.0,0.0,0.0,0.91
hsa-miR-3150b-3p,0.0,0.0,0.72,0.0
hsa-miR-3151-5p,0.32,0.0,0.0,0.0
hsa-miR-3152-5p,0.0,0.0,1.43,0.91
hsa-miR-3158-3p,1.92,0.8,0.0,0.0
hsa-miR-3164,0.0,0.0,0.0,2.72
hsa-miR-3174,0.0,0.0,2.15,0.0
hsa-miR-3175,0.0,0.0,0.0,4.54
hsa-miR-3176,0.0,0.0,0.0,2.72
hsa-miR-3177-3p,0.32,0.16,5.74,4.54
hsa-miR-3179,0.0,0.0,0.72,0.0
hsa-miR-3180,4.16,0.8,0.72,0.0
hsa-miR-3180-3p,23.97,4.14,0.0,3.63
hsa-miR-3182,0.32,0.0,0.0,0.0
hsa-miR-3195,0.32,0.16,0.0,0.91
hsa-miR-32-3p,1.92,1.75,0.0,0.0
hsa-miR-32-5p,0.96,0.0,2.15,9.98
hsa-miR-320a-3p,140.96,23.06,1500.92,725.11
hsa-miR-320a-5p,2.56,1.27,0.0,0.0
hsa-miR-320b,15.66,1.27,190.03,107.99
hsa-miR-320c,4.47,0.64,135.53,102.55
hsa-miR-320d,9.27,0.16,5.02,96.2
hsa-miR-320e,0.32,0.0,1.43,12.71
hsa-miR-323a-3p,0.0,0.0,0.0,1.82
hsa-miR-324-5p,0.0,0.16,0.0,0.0
hsa-miR-326,0.0,0.16,0.0,0.0
hsa-miR-328-3p,3.52,0.64,10.76,12.71
hsa-miR-330-3p,0.0,0.16,7.17,5.45
hsa-miR-330-5p,0.0,0.0,2.87,4.54
hsa-miR-331-3p,0.0,0.16,0.0,0.0
hsa-miR-331-5p,1.28,0.0,12.91,7.26
hsa-miR-335-3p,2.56,0.95,0.72,6.35
hsa-miR-335-5p,2.56,1.75,17.21,0.91
hsa-miR-338-3p,0.32,0.0,0.0,0.0
hsa-miR-338-5p,0.0,0.0,0.0,0.91
hsa-miR-339-3p,1.28,0.8,16.49,9.08
hsa-miR-339-5p,1.28,0.16,3.59,1.82
hsa-miR-33a-5p,0.0,0.16,0.0,0.0
hsa-miR-33b-3p,0.0,0.16,0.0,0.0
hsa-miR-340-3p,0.64,0.0,5.02,2.72
hsa-miR-340-5p,0.96,0.16,8.61,29.95
