miRNA,SRR12463645,SRR12463646,SRR12463647,SRR12463648,SRR12463649,SRR12463650,SRR12463651,SRR12463652,SRR12463653,SRR12463654,SRR12463655,SRR12463656,SRR12463657,SRR12463658,SRR12463659
hsa-miR-181b-3p,0.0,0.0,0.0,0.0,0.63,12.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-181b-5p,18.47,2.62,6.92,18.83,28.98,9.69,0.0,0.0,0.0,0.0,1.37,1.62,0.0,0.45,0.0
hsa-miR-181d-5p,0.0,1.75,0.0,3.77,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.48
hsa-miR-182-5p,221.63,226.08,290.56,214.65,231.24,355.25,0.0,0.0,0.0,35.61,30.14,41.15,0.0,0.91,2.85
hsa-miR-1827,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-183-5p,184.69,135.3,197.17,101.68,106.48,122.72,0.0,0.0,0.0,13.35,18.15,24.36,0.0,2.72,0.0
hsa-miR-184,0.0,0.0,0.0,18.83,3.78,16.15,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0
hsa-miR-1843,0.0,0.0,0.0,3.77,1.26,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-185-3p,0.0,0.0,3.46,0.0,0.0,0.0,0.0,0.0,0.0,4.45,0.0,0.0,0.0,0.0,0.0
hsa-miR-185-5p,0.0,15.71,10.38,0.0,11.34,6.46,0.0,0.0,0.0,0.0,2.05,2.71,0.0,0.45,0.0
hsa-miR-186-5p,0.0,0.0,0.0,15.06,6.93,12.92,0.0,1.73,0.0,0.0,0.68,0.0,0.0,0.45,0.48
hsa-miR-18a-3p,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-191-3p,0.0,0.0,3.46,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0
hsa-miR-191-5p,36.94,18.33,13.84,30.13,64.27,19.38,0.0,1.73,7.59,0.0,1.03,2.17,0.0,0.45,0.48
hsa-miR-192-5p,0.0,1.75,0.0,11.3,6.93,6.46,0.0,0.0,1.52,0.0,0.0,1.08,0.0,0.0,0.0
