miRNA,SRR6233838,SRR6233839,SRR6233840,SRR6233841,SRR6233842,SRR6233843
hsa-miR-129-5p,17.53,28.32,31.33,12.03,9.89,14.31
hsa-miR-1290,0.0,0.14,0.0,0.0,0.0,0.12
hsa-miR-1291,1.57,0.68,2.58,2.01,2.01,2.27
hsa-miR-1292-5p,2.75,5.04,3.39,7.09,8.03,10.73
hsa-miR-1293,0.26,0.41,0.97,0.0,0.31,0.24
hsa-miR-1294,1.83,2.59,1.78,4.68,3.86,5.96
hsa-miR-1295a,0.65,1.09,0.65,1.2,0.46,0.83
hsa-miR-1296-3p,0.0,0.14,0.16,0.13,0.0,0.0
hsa-miR-1296-5p,71.02,91.1,97.07,53.75,44.95,68.69
hsa-miR-1297,0.0,0.0,0.16,0.0,0.15,0.36
hsa-miR-1298-5p,0.0,0.0,0.0,0.27,0.15,0.0
hsa-miR-1299,0.13,0.68,0.81,1.2,1.08,0.72
hsa-miR-1301-3p,34.66,32.0,35.21,54.42,55.3,88.6
hsa-miR-1301-5p,0.13,0.27,0.0,0.0,0.0,0.12
hsa-miR-1302,0.0,0.0,0.16,0.0,0.0,0.0
hsa-miR-1303,4.45,7.76,5.65,4.68,4.79,6.56
hsa-miR-1304-3p,0.0,0.0,0.0,0.0,0.0,0.12
hsa-miR-1304-5p,1.7,1.36,1.78,1.87,1.54,1.55
hsa-miR-1305,0.92,0.14,0.32,0.53,0.93,0.48
hsa-miR-1306-3p,3.66,5.58,5.65,6.42,6.49,6.32
hsa-miR-1306-5p,38.19,47.79,57.34,36.9,49.43,40.42
hsa-miR-1307-3p,1134.29,1329.67,1273.56,1215.07,1201.7,1647.41
hsa-miR-1307-5p,13.08,26.14,26.17,15.91,16.68,26.35
hsa-miR-130a-3p,381.8,402.65,435.13,552.05,485.84,894.6
hsa-miR-130a-5p,0.13,0.14,0.16,0.27,0.0,0.12
hsa-miR-130b-3p,489.84,533.5,555.78,409.79,428.53,652.28
hsa-miR-130b-5p,24.2,24.24,21.97,29.82,34.91,41.98
hsa-miR-132-3p,667.86,675.25,639.61,286.65,348.82,448.25
hsa-miR-132-5p,13.21,14.3,10.01,12.97,15.45,14.19
hsa-miR-1323,0.0,0.0,0.0,0.67,0.0,0.36
hsa-miR-1324,0.0,0.0,0.0,0.0,0.0,0.12
hsa-miR-133a-3p,6.41,11.57,7.75,3.61,3.71,4.53
hsa-miR-133b,0.13,0.27,0.0,0.0,0.0,0.0
hsa-miR-134-5p,3.66,6.13,3.23,21.93,15.14,26.35
hsa-miR-1343-3p,8.63,9.8,10.82,10.43,8.19,9.66
hsa-miR-1343-5p,0.26,0.0,0.32,0.13,0.31,0.6
hsa-miR-135a-3p,0.39,0.0,0.0,0.13,0.0,0.0
hsa-miR-135a-5p,0.0,0.0,0.0,0.0,0.0,0.12
hsa-miR-135b-3p,0.0,0.14,0.0,0.27,0.15,0.0
hsa-miR-135b-5p,1.18,2.45,1.29,1.6,0.31,1.55
hsa-miR-136-3p,0.13,0.27,0.16,0.8,0.46,0.0
hsa-miR-136-5p,0.0,0.0,0.0,0.0,0.31,0.12
hsa-miR-137-3p,48.79,67.13,58.31,59.23,28.73,49.85
hsa-miR-137-5p,1.31,1.09,1.29,1.34,0.77,1.19
hsa-miR-138-1-3p,1.18,1.91,1.13,0.94,0.62,1.91
hsa-miR-138-2-3p,1.05,0.95,1.45,0.8,1.7,0.83
hsa-miR-138-5p,53.5,70.26,69.45,48.67,36.15,57.12
hsa-miR-139-3p,0.78,0.41,1.45,1.74,2.47,1.79
hsa-miR-139-5p,1.96,2.45,2.75,3.61,2.78,6.2
hsa-miR-140-3p,1556.38,1870.94,1877.8,1088.32,1031.31,1154.08
hsa-miR-140-5p,24.07,29.0,40.22,17.25,20.55,29.1
hsa-miR-141-3p,296.65,371.06,363.9,1124.42,993.0,1711.92
hsa-miR-141-5p,5.49,9.53,7.11,20.19,20.55,35.54
hsa-miR-142-3p,0.13,0.54,0.32,1.2,1.39,0.36
hsa-miR-142-5p,0.92,0.95,0.97,1.2,1.24,1.79
hsa-miR-143-3p,4.05,2.18,3.88,2.81,6.8,2.62
hsa-miR-143-5p,0.13,0.0,0.0,0.0,0.0,0.0
hsa-miR-145-3p,7.85,5.45,8.72,4.55,2.94,5.37
hsa-miR-145-5p,503.32,456.16,533.65,176.48,176.11,253.04
hsa-miR-1468-5p,17.53,17.57,20.51,18.85,18.85,24.68
hsa-miR-146a-5p,22.37,24.78,24.23,6.95,9.73,10.97
hsa-miR-146b-3p,2.35,1.36,2.26,1.07,1.08,1.67
hsa-miR-146b-5p,238.19,228.49,228.39,147.34,129.61,236.47
hsa-miR-147a,0.0,0.0,0.0,0.8,0.0,0.0
hsa-miR-147b-3p,62.26,61.82,66.38,195.07,169.16,336.64
hsa-miR-147b-5p,29.17,38.54,30.53,48.67,42.33,98.02
hsa-miR-148a-3p,72.86,109.07,100.46,54.42,59.78,76.2
hsa-miR-148a-5p,0.13,0.0,0.16,0.67,0.0,0.24
hsa-miR-148b-3p,672.31,773.16,833.75,957.83,701.03,1220.62
hsa-miR-148b-5p,15.43,26.82,24.87,30.08,29.66,45.31
hsa-miR-149-3p,0.0,0.0,0.0,0.53,0.0,0.48
hsa-miR-149-5p,171.61,177.56,186.07,248.42,202.37,292.87
hsa-miR-150-5p,1.18,0.41,1.29,0.94,1.24,1.31
hsa-miR-151a-3p,3024.87,3790.62,3843.78,3568.2,3620.55,5041.67
hsa-miR-151a-5p,45.52,43.44,63.48,36.37,45.88,86.93
hsa-miR-151b,0.39,0.41,0.65,9.36,1.39,4.05
hsa-miR-152-3p,697.95,935.47,955.53,591.62,597.84,936.45
hsa-miR-152-5p,2.22,2.45,3.39,1.47,0.77,1.79
hsa-miR-153-3p,0.39,0.0,0.48,0.27,0.15,0.0
hsa-miR-153-5p,0.0,0.0,0.0,0.0,0.0,0.12
hsa-miR-1537-3p,0.13,0.14,0.0,0.13,0.15,0.24
