miRNA,SRR23352407,SRR23352408,SRR23352409,SRR23352410,SRR23352411,SRR23352412,SRR23352413,SRR23352414
hsa-miR-339-5p,0.0,12.0,344.0,25.0,5.0,80.0,10.0,1.0
hsa-miR-33a-3p,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0
hsa-miR-33a-5p,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0
hsa-miR-340-3p,1.0,260.0,34.0,4.0,5.0,45.0,10.0,0.0
hsa-miR-340-5p,407.0,2138.0,1288.0,228.0,2311.0,1231.0,141.0,26.0
hsa-miR-342-3p,3.0,743.0,353.0,78.0,533.0,132.0,44.0,23.0
hsa-miR-342-5p,331.0,99.0,0.0,182.0,7.0,3.0,0.0,5.0
hsa-miR-345-5p,94.0,6.0,1.0,0.0,2.0,2.0,1.0,2.0
hsa-miR-34a-5p,33.0,607.0,519.0,20.0,666.0,223.0,81.0,1.0
hsa-miR-34b-3p,0.0,1.0,3.0,1.0,3.0,1.0,4.0,0.0
hsa-miR-34b-5p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-34c-3p,0.0,1.0,0.0,0.0,1.0,2.0,7.0,0.0
hsa-miR-34c-5p,76.0,1098.0,1017.0,347.0,836.0,512.0,68.0,8.0
hsa-miR-3605-5p,119.0,13.0,2.0,0.0,1.0,3.0,0.0,0.0
hsa-miR-3609,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
hsa-miR-361-3p,233.0,787.0,644.0,480.0,1529.0,197.0,69.0,12.0
hsa-miR-361-5p,3.0,9.0,7.0,6.0,16.0,170.0,23.0,7.0
hsa-miR-3611,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-3613-5p,0.0,0.0,3.0,0.0,0.0,1.0,1.0,4.0
hsa-miR-3614-5p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3615,926.0,318.0,2.0,4.0,13.0,15.0,13.0,20.0
hsa-miR-362-5p,0.0,5.0,1.0,107.0,2.0,4.0,0.0,0.0
hsa-miR-3620-5p,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-363-3p,300.0,761.0,880.0,160.0,1724.0,348.0,26.0,103.0
hsa-miR-363-5p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
hsa-miR-3648,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-365a-3p,0.0,60.0,61.0,2.0,2.0,21.0,1.0,0.0
hsa-miR-365a-5p,28.0,2.0,0.0,49.0,0.0,3.0,1.0,1.0
hsa-miR-365b-3p,41.0,30.0,3.0,0.0,115.0,0.0,6.0,1.0
hsa-miR-365b-5p,0.0,0.0,0.0,248.0,72.0,2.0,0.0,0.0
hsa-miR-3665,16.0,4.0,185.0,94.0,0.0,31.0,0.0,0.0
hsa-miR-3679-5p,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
hsa-miR-3688-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-369-3p,0.0,41.0,15.0,9.0,125.0,72.0,0.0,1.0
hsa-miR-369-5p,0.0,8.0,4.0,176.0,23.0,13.0,0.0,0.0
hsa-miR-3691-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-370-3p,269.0,734.0,414.0,207.0,234.0,88.0,43.0,14.0
hsa-miR-370-5p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-371a-5p,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-372-3p,0.0,1.0,14.0,0.0,3.0,4.0,18.0,0.0
hsa-miR-374a-3p,0.0,143.0,242.0,2.0,238.0,57.0,15.0,3.0
hsa-miR-374a-5p,70.0,259.0,11.0,4.0,361.0,158.0,3.0,2.0
hsa-miR-374b-3p,41.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-374b-5p,50.0,149.0,113.0,644.0,551.0,46.0,26.0,6.0
hsa-miR-375-3p,1437.0,1103.0,198.0,119.0,496.0,379.0,35.0,33.0
hsa-miR-376a-5p,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0
hsa-miR-376b-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-376c-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-378a-3p,3266.0,5307.0,4473.0,1130.0,1849.0,996.0,374.0,115.0
hsa-miR-378a-5p,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0
hsa-miR-378c,371.0,555.0,483.0,163.0,155.0,74.0,60.0,9.0
hsa-miR-378d,139.0,1782.0,1305.0,246.0,22.0,15.0,32.0,4.0
hsa-miR-378e,3.0,21.0,18.0,3.0,36.0,0.0,3.0,0.0
hsa-miR-378f,4.0,18.0,6.0,0.0,2.0,7.0,3.0,0.0
hsa-miR-378h,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0
