miRNA,SRR22891202,SRR22891203,SRR22891204,SRR22891205
hsa-miR-18a-5p,0.54,0.16,0.73,0.35
hsa-miR-18b-3p,0.14,0.0,0.0,0.0
hsa-miR-18b-5p,0.14,0.0,0.44,0.09
hsa-miR-1908-5p,0.0,0.16,0.0,0.09
hsa-miR-190a-3p,0.0,0.0,0.0,0.09
hsa-miR-190a-5p,0.27,0.39,0.15,0.35
hsa-miR-190b-5p,0.0,0.16,0.15,0.0
hsa-miR-191-3p,0.14,0.62,0.0,0.35
hsa-miR-191-5p,83.8,123.77,120.57,108.49
hsa-miR-1910-5p,0.07,0.16,0.0,0.09
hsa-miR-1915-3p,0.0,0.08,0.0,0.0
hsa-miR-192-3p,0.0,0.47,0.59,0.62
hsa-miR-192-5p,3.59,113.62,178.8,139.85
hsa-miR-193a-3p,0.75,1.55,2.05,5.05
hsa-miR-193a-5p,6.44,8.37,7.77,23.12
hsa-miR-193b-3p,7.93,2.95,11.29,16.92
hsa-miR-193b-5p,0.27,0.23,0.0,0.0
hsa-miR-194-3p,0.0,0.08,0.0,0.0
hsa-miR-194-5p,1.08,23.87,29.78,29.4
hsa-miR-195-5p,3.05,1.4,2.05,1.15
hsa-miR-196a-5p,335.61,0.16,1.03,0.53
hsa-miR-196b-5p,269.64,0.78,0.59,0.44
hsa-miR-197-3p,0.88,2.02,0.88,0.89
hsa-miR-197-5p,0.07,0.0,0.0,0.0
hsa-miR-1972,0.0,0.08,0.29,0.27
hsa-miR-199a-3p,936.93,159.96,134.65,321.23
hsa-miR-199a-5p,14.78,9.61,10.85,7.35
hsa-miR-199b-3p,116.41,238.0,643.47,35.78
hsa-miR-199b-5p,2.24,1.24,2.49,1.06
hsa-miR-19a-3p,0.2,0.08,0.15,0.09
hsa-miR-19b-1-5p,0.0,0.0,0.0,0.18
hsa-miR-19b-3p,6.64,6.82,9.24,7.0
hsa-miR-200a-3p,0.75,0.85,1.47,1.86
hsa-miR-200a-5p,0.07,0.0,0.0,0.0
hsa-miR-200b-3p,0.27,0.31,0.73,0.09
hsa-miR-200c-3p,1.15,0.78,0.73,0.35
hsa-miR-203a-3p,0.0,0.16,0.29,0.0
hsa-miR-204-3p,0.0,0.08,0.0,0.0
hsa-miR-204-5p,0.75,19.38,34.76,21.52
hsa-miR-205-5p,0.0,0.16,0.0,0.18
hsa-miR-2053,0.0,0.0,0.15,0.09
hsa-miR-206,0.0,0.0,0.15,0.09
hsa-miR-20a-5p,2.03,2.09,2.64,2.39
hsa-miR-20b-5p,0.07,0.0,0.0,0.0
hsa-miR-21-3p,1.63,0.85,0.59,0.71
hsa-miR-21-5p,3437.21,1677.42,1459.73,671.16
hsa-miR-210-3p,0.95,0.08,0.15,0.0
hsa-miR-210-5p,0.07,0.0,0.0,0.09
hsa-miR-2110,1.29,2.33,0.0,1.77
hsa-miR-2116-5p,0.07,0.0,0.0,0.09
hsa-miR-212-3p,0.41,0.16,0.0,0.09
hsa-miR-212-5p,0.07,0.0,0.0,0.09
hsa-miR-214-3p,8.2,6.28,2.64,2.39
hsa-miR-214-5p,0.61,0.7,1.76,0.97
hsa-miR-215-5p,0.0,0.23,0.0,0.0
hsa-miR-218-1-3p,0.14,0.16,0.0,0.0
hsa-miR-218-5p,16.2,6.9,10.12,5.4
hsa-miR-219a-1-3p,0.07,0.0,0.0,0.0
hsa-miR-219a-5p,0.0,0.08,0.0,0.0
hsa-miR-219b-5p,0.0,0.08,0.0,0.0
hsa-miR-22-3p,242.93,590.79,518.21,457.18
hsa-miR-22-5p,4.0,3.88,4.99,7.71
hsa-miR-221-3p,83.6,146.4,37.7,151.89
hsa-miR-221-5p,0.88,0.78,1.17,0.62
hsa-miR-222-3p,44.88,281.48,42.98,54.65
hsa-miR-222-5p,0.27,0.23,0.29,0.62
hsa-miR-223-3p,1.42,2.71,2.64,2.48
hsa-miR-223-5p,0.0,0.0,0.0,0.09
hsa-miR-224-3p,0.14,0.0,0.29,0.0
hsa-miR-224-5p,15.93,10.08,7.33,6.55
hsa-miR-2355-3p,0.2,0.08,0.0,0.09
hsa-miR-23a-3p,238.18,354.33,93.58,270.84
hsa-miR-23a-5p,0.07,0.0,0.0,0.0
hsa-miR-23b-3p,22.04,28.6,22.73,39.41
hsa-miR-23b-5p,1.63,0.62,1.03,0.97
hsa-miR-23c,0.0,0.08,0.15,0.09
hsa-miR-24-1-5p,0.0,0.0,0.0,0.18
hsa-miR-24-2-5p,0.95,0.54,1.17,0.35
hsa-miR-24-3p,319.0,167.94,349.53,222.39
hsa-miR-25-3p,16.0,9.53,5.57,8.68
hsa-miR-25-5p,0.07,0.0,0.0,0.0
hsa-miR-2682-3p,0.81,0.39,0.73,1.33
hsa-miR-2682-5p,0.27,0.16,0.15,0.09
hsa-miR-26a-1-3p,0.0,0.08,0.0,0.0
hsa-miR-26a-2-3p,0.0,0.0,0.0,0.09
hsa-miR-26a-5p,331.88,342.71,369.92,234.44
hsa-miR-26b-3p,0.2,0.08,0.0,0.18
hsa-miR-26b-5p,66.44,53.17,27.58,26.66
hsa-miR-27a-3p,186.93,302.02,300.39,155.97
hsa-miR-27a-5p,0.2,0.62,0.44,0.62
hsa-miR-27b-3p,334.05,226.84,167.36,159.16
hsa-miR-27b-5p,0.88,0.7,0.15,0.18
hsa-miR-28-3p,17.97,15.89,3.23,6.64
