miRNA,GSM3059089,GSM3059090,GSM3059091,GSM3059095,GSM3059096,GSM3059097
hsa-miR-23a-3p,1301.8,228.37,287.29,233.74,425.07,894.2
hsa-miR-23b-3p,29.14,209.85,169.43,225.72,3.81,28.28
hsa-miR-23b-5p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-24-1-5p,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-24-2-5p,0.0,12.34,7.37,1.15,6.34,6.28
hsa-miR-24-3p,437.17,216.02,184.16,254.36,260.11,7.54
hsa-miR-25-3p,310.88,141.96,220.99,134.63,153.53,261.41
hsa-miR-25-5p,0.0,0.0,7.37,3.44,5.08,1.89
hsa-miR-26a-1-3p,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-26a-5p,597.47,487.59,2710.85,437.68,491.05,896.71
hsa-miR-26b-3p,14.57,6.17,0.0,5.73,3.81,4.4
hsa-miR-26b-5p,281.73,148.13,302.02,108.28,100.24,221.19
hsa-miR-27a-3p,1360.09,574.0,1119.7,460.03,477.09,864.03
hsa-miR-27a-5p,34.0,0.0,0.0,5.16,15.23,8.8
hsa-miR-27b-3p,3696.53,1968.89,2232.03,2218.21,2349.92,4715.42
hsa-miR-27b-5p,0.0,0.0,14.73,1.15,3.81,2.51
hsa-miR-28-3p,145.72,98.75,191.53,122.02,128.15,113.11
hsa-miR-28-5p,4.86,0.0,14.73,1.72,2.54,6.91
hsa-miR-296-3p,0.0,0.0,0.0,0.57,0.0,1.89
hsa-miR-296-5p,0.0,0.0,0.0,1.15,0.0,0.0
hsa-miR-299-3p,0.0,0.0,7.37,1.15,3.81,7.54
hsa-miR-299-5p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-29a-3p,199.16,43.2,279.92,107.13,53.29,127.56
hsa-miR-29a-5p,0.0,0.0,0.0,1.15,0.0,1.89
hsa-miR-29b-2-5p,0.0,0.0,0.0,0.57,0.0,0.63
hsa-miR-29b-3p,9.71,6.17,14.73,0.0,2.54,0.63
hsa-miR-29c-3p,53.43,12.34,36.83,16.04,15.23,32.68
hsa-miR-301a-3p,0.0,0.0,29.47,1.72,6.34,5.66
hsa-miR-301a-5p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-301b-3p,0.0,0.0,0.0,0.57,0.0,1.26
hsa-miR-3064-5p,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-30a-3p,24.29,24.69,139.96,19.48,17.76,27.65
hsa-miR-30a-5p,325.45,253.06,2047.87,229.15,166.22,382.06
hsa-miR-30b-3p,0.0,0.0,0.0,1.15,0.0,0.0
hsa-miR-30b-5p,68.0,111.1,405.15,59.58,58.37,126.93
hsa-miR-30c-1-3p,9.71,6.17,14.73,3.44,1.27,5.03
hsa-miR-30c-2-3p,14.57,0.0,7.37,4.58,1.27,9.43
hsa-miR-30c-5p,34.0,49.38,191.53,38.96,29.18,60.33
hsa-miR-30d-3p,9.71,6.17,7.37,13.18,5.08,30.16
hsa-miR-30d-5p,1039.5,536.97,2121.53,1260.92,1226.98,1838.04
hsa-miR-30e-3p,14.57,0.0,7.37,4.58,3.81,3.14
hsa-miR-30e-5p,72.86,24.69,338.86,41.25,45.68,115.62
hsa-miR-31-5p,0.0,0.0,0.0,1.72,1.27,3.14
hsa-miR-3127-5p,0.0,0.0,0.0,0.57,0.0,0.63
hsa-miR-3130-5p,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-3143,0.0,0.0,0.0,0.0,0.0,1.26
hsa-miR-3150b-3p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-3154,4.86,0.0,0.0,0.0,0.0,0.0
hsa-miR-3173-5p,0.0,0.0,0.0,0.57,0.0,0.63
hsa-miR-3175,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-3180-3p,0.0,0.0,0.0,1.15,1.27,1.89
hsa-miR-3180-5p,0.0,0.0,7.37,0.0,0.0,0.0
hsa-miR-3182,0.0,0.0,7.37,4.58,1.27,3.77
hsa-miR-3194-5p,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-3196,0.0,0.0,0.0,2.86,1.27,2.51
hsa-miR-32-3p,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-32-5p,0.0,0.0,0.0,4.01,2.54,8.17
hsa-miR-320a-3p,495.46,160.47,1031.3,236.03,313.41,398.4
hsa-miR-320b,2530.74,1333.17,125.23,1158.95,1182.57,2179.88
hsa-miR-320c,4.86,37.03,0.0,8.02,12.69,16.34
hsa-miR-320d,48.57,6.17,0.0,6.87,0.0,4.4
hsa-miR-320e,0.0,0.0,7.37,0.0,0.0,0.0
hsa-miR-323a-3p,14.57,0.0,22.1,2.29,0.0,7.54
hsa-miR-323a-5p,4.86,0.0,0.0,0.0,1.27,0.0
hsa-miR-323b-3p,0.0,0.0,0.0,0.57,7.61,1.26
hsa-miR-324-3p,24.29,6.17,7.37,9.74,1.27,5.66
hsa-miR-324-5p,4.86,0.0,0.0,2.29,1.27,0.63
hsa-miR-326,4.86,0.0,7.37,0.57,1.27,0.0
hsa-miR-328-3p,9.71,0.0,7.37,2.29,1.27,3.77
hsa-miR-330-3p,0.0,0.0,0.0,0.0,0.0,3.14
hsa-miR-330-5p,0.0,0.0,0.0,0.0,1.27,0.63
hsa-miR-331-3p,0.0,0.0,0.0,0.57,0.0,1.26
hsa-miR-331-5p,0.0,0.0,0.0,1.72,1.27,3.77
hsa-miR-335-3p,38.86,18.52,73.66,41.25,25.38,47.76
hsa-miR-335-5p,106.86,67.89,302.02,20.62,20.3,69.12
hsa-miR-337-3p,4.86,6.17,14.73,0.57,0.0,3.77
hsa-miR-339-3p,29.14,0.0,0.0,3.44,0.0,1.26
hsa-miR-339-5p,9.71,0.0,0.0,1.72,0.0,3.77
hsa-miR-33a-5p,0.0,0.0,0.0,0.0,1.27,0.63
hsa-miR-33b-3p,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-33b-5p,0.0,0.0,0.0,1.15,0.0,2.51
hsa-miR-340-5p,38.86,12.34,14.73,6.3,1.27,8.8
hsa-miR-342-3p,0.0,0.0,0.0,1.15,0.0,1.89
hsa-miR-342-5p,29.14,18.52,14.73,13.18,10.15,10.05
hsa-miR-345-5p,4.86,0.0,0.0,1.15,0.0,1.26
hsa-miR-346,0.0,0.0,0.0,0.57,0.0,1.89
hsa-miR-34a-5p,29.14,6.17,7.37,22.92,22.84,21.37
hsa-miR-34b-3p,9.71,0.0,0.0,0.0,1.27,1.26
hsa-miR-34b-5p,0.0,0.0,0.0,0.0,1.27,0.63
hsa-miR-34c-3p,0.0,0.0,0.0,0.57,0.0,0.63
hsa-miR-34c-5p,58.29,6.17,7.37,25.21,10.15,27.02
hsa-miR-3605-3p,24.29,0.0,0.0,6.87,2.54,10.05
hsa-miR-3605-5p,0.0,0.0,0.0,2.29,1.27,1.89
hsa-miR-3606-5p,0.0,6.17,0.0,0.0,0.0,0.0
hsa-miR-3609,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-361-3p,0.0,24.69,14.73,4.58,1.27,9.43
hsa-miR-361-5p,38.86,6.17,22.1,7.45,3.81,11.31
hsa-miR-3614-3p,0.0,0.0,0.0,0.0,0.0,1.89
hsa-miR-3614-5p,9.71,0.0,7.37,8.59,5.08,12.57
hsa-miR-3615,0.0,0.0,7.37,4.01,8.88,3.14
hsa-miR-362-5p,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-363-3p,29.14,6.17,14.73,6.3,1.27,10.68
hsa-miR-3648,0.0,0.0,0.0,1.15,3.81,2.51
hsa-miR-3652,0.0,0.0,0.0,0.0,1.27,0.0
hsa-miR-3659,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-365a-3p,24.29,12.34,7.37,0.0,0.0,0.63
hsa-miR-365a-5p,0.0,0.0,0.0,1.15,0.0,1.89
hsa-miR-365b-3p,9.71,0.0,0.0,13.18,0.0,3.77
hsa-miR-3665,14.57,12.34,14.73,9.74,6.34,18.22
hsa-miR-3675-5p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-369-3p,58.29,12.34,14.73,3.44,7.61,8.17
hsa-miR-369-5p,4.86,0.0,0.0,1.72,3.81,3.77
hsa-miR-370-3p,24.29,0.0,0.0,4.58,7.61,1.26
hsa-miR-371a-3p,9.71,0.0,0.0,0.0,1.27,0.0
hsa-miR-371a-5p,38.86,18.52,22.1,6.3,7.61,22.62
hsa-miR-372-3p,38.86,0.0,29.47,14.9,8.88,21.99
hsa-miR-373-3p,558.61,191.33,81.03,287.02,110.39,314.19
hsa-miR-374a-3p,4.86,0.0,7.37,0.0,2.54,1.89
hsa-miR-374a-5p,0.0,0.0,0.0,0.57,0.0,0.63
hsa-miR-374b-3p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-374b-5p,0.0,0.0,14.73,0.0,0.0,0.0
hsa-miR-375-3p,82.58,12.34,22.1,32.08,22.84,47.76
hsa-miR-376a-5p,4.86,6.17,51.56,3.44,1.27,5.66
hsa-miR-376b-3p,0.0,0.0,29.47,0.57,0.0,0.0
hsa-miR-376c-3p,0.0,0.0,22.1,0.57,0.0,0.0
hsa-miR-377-3p,4.86,0.0,0.0,0.57,0.0,0.0
hsa-miR-377-5p,4.86,0.0,0.0,2.86,1.27,1.89
hsa-miR-378a-3p,111.72,37.03,73.66,41.25,64.71,105.57
hsa-miR-378a-5p,4.86,0.0,0.0,0.57,0.0,1.89
hsa-miR-378c,9.71,0.0,0.0,0.0,3.81,5.03
hsa-miR-378d,0.0,0.0,0.0,0.57,0.0,5.03
hsa-miR-379-5p,0.0,0.0,7.37,0.0,0.0,0.0
hsa-miR-380-3p,4.86,0.0,0.0,0.0,0.0,0.0
hsa-miR-381-3p,4.86,12.34,147.33,14.9,11.42,21.99
hsa-miR-382-5p,4.86,0.0,0.0,3.44,0.0,3.14
hsa-miR-3909,19.43,0.0,0.0,10.31,8.88,8.17
hsa-miR-3918,0.0,0.0,0.0,1.15,1.27,3.77
hsa-miR-3922-3p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-3925-3p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-3925-5p,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-3927-3p,0.0,0.0,0.0,0.0,1.27,0.63
hsa-miR-3929,0.0,0.0,0.0,0.57,1.27,0.0
hsa-miR-3960,0.0,0.0,0.0,1.72,3.81,0.63
hsa-miR-409-3p,87.43,37.03,81.03,41.25,41.87,46.5
hsa-miR-409-5p,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-410-3p,106.86,74.06,191.53,56.72,44.41,89.23
hsa-miR-411-5p,106.86,61.72,405.15,48.7,29.18,61.58
hsa-miR-421,0.0,0.0,14.73,5.16,5.08,10.68
hsa-miR-423-3p,306.02,154.3,58.93,40.67,177.64,245.7
hsa-miR-423-5p,26992.89,6980.62,2740.31,2894.22,8003.93,1405.08
hsa-miR-424-3p,1068.64,314.78,515.65,379.25,253.77,471.92
hsa-miR-424-5p,471.17,141.96,206.26,116.87,98.97,175.32
hsa-miR-425-3p,0.0,0.0,0.0,1.15,0.0,1.89
hsa-miR-425-5p,14.57,6.17,44.2,12.6,6.34,29.53
hsa-miR-431-3p,29.14,0.0,14.73,11.46,13.96,18.22
hsa-miR-431-5p,194.3,104.93,81.03,112.86,81.21,138.25
hsa-miR-432-3p,0.0,12.34,0.0,0.0,0.0,0.0
hsa-miR-432-5p,106.86,37.03,14.73,52.13,54.56,69.12
hsa-miR-4326,0.0,6.17,0.0,0.0,0.0,0.0
hsa-miR-433-3p,160.3,37.03,66.3,132.91,107.85,98.03
hsa-miR-4433b-5p,0.0,0.0,0.0,0.57,0.0,1.89
hsa-miR-4467,0.0,0.0,0.0,0.0,1.27,0.0
hsa-miR-4482-3p,0.0,0.0,0.0,0.57,0.0,1.26
hsa-miR-4492,14.57,6.17,0.0,4.58,24.11,22.62
hsa-miR-449b-3p,4.86,0.0,0.0,0.0,0.0,0.63
hsa-miR-4508,0.0,0.0,0.0,0.0,3.81,3.14
hsa-miR-450a-2-3p,0.0,0.0,0.0,1.72,0.0,1.26
hsa-miR-450a-5p,0.0,0.0,0.0,4.01,2.54,15.71
hsa-miR-450b-5p,140.87,12.34,7.37,25.21,21.57,64.1
hsa-miR-4516,4.86,0.0,0.0,1.72,0.0,0.63
hsa-miR-451a,92.29,61.72,81.03,10.31,17.76,23.25
hsa-miR-452-3p,0.0,0.0,0.0,3.44,1.27,1.26
hsa-miR-452-5p,9.71,0.0,0.0,1.72,3.81,7.54
hsa-miR-454-3p,0.0,0.0,0.0,0.57,0.0,3.14
hsa-miR-454-5p,0.0,0.0,0.0,0.57,1.27,0.0
hsa-miR-455-3p,0.0,0.0,7.37,1.72,0.0,1.26
hsa-miR-455-5p,19.43,6.17,29.47,13.18,8.88,12.57
hsa-miR-4645-3p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-4652-5p,0.0,0.0,0.0,1.15,0.0,0.63
hsa-miR-4661-5p,9.71,0.0,0.0,0.0,0.0,0.63
