miRNA,SRR13648489,SRR13648490,SRR13648491,SRR13648492,SRR13648493,SRR13648494,SRR13648495,SRR13648496,SRR13648497,SRR13648498,SRR13648499,SRR13648500,SRR13648501,SRR13648502,SRR13648503,SRR16312949,SRR16312950,SRR16312951,SRR16312952,SRR16312953,SRR16312954,SRR16312955,SRR16312956,SRR16312957,SRR16312958
hsa-miR-6750-5p,2.0,30.0,6.0,1.0,9.0,8.0,8.0,7.0,9.0,1.0,10.0,30.0,18.0,76.0,24.0,0.0,5.0,26.0,0.0,0.0,1.0,0.0,12.0,0.0,8.0
hsa-miR-6751-3p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6751-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6752-5p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6753-3p,1.0,7.0,2.0,0.0,0.0,0.0,5.0,1.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6753-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
hsa-miR-6754-3p,7.0,0.0,0.0,0.0,1.0,3.0,0.0,5.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6754-5p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,9.0,0.0,46.0,0.0,0.0,0.0,0.0,10.0
hsa-miR-6755-5p,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6756-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
