miRNA,SRR13288406,SRR13288407,SRR13288408,SRR13288409,SRR13288410,SRR13288411,SRR13288412,SRR13288413,SRR13288414,SRR13288415,SRR13288416,SRR13288417,SRR13288418,SRR13288419,SRR13288420,SRR13288421,SRR13288422
hsa-miR-143-3p,9.45,17.35,16.02,14.8,198.97,537.15,8.69,77.44,43.88,402.73,404.71,916.06,36.36,12.18,321.31,95.4,412.62
hsa-miR-143-5p,0.0,0.0,0.0,0.0,0.47,1.52,0.0,1.12,0.0,0.32,0.0,0.0,0.0,0.33,0.2,0.46,0.0
hsa-miR-144-3p,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,1.66,0.0,0.2,0.0,0.0
hsa-miR-144-5p,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.11,0.0
hsa-miR-145-3p,0.0,0.0,0.0,0.0,0.12,1.38,0.0,0.45,0.17,1.05,0.0,0.3,0.64,0.0,1.18,0.8,0.0
hsa-miR-145-5p,0.0,0.0,0.44,0.0,2.81,3.86,0.0,2.02,2.37,7.58,2.31,0.15,1.66,0.0,0.79,4.58,0.0
hsa-miR-1468-5p,0.68,0.0,2.22,0.0,2.34,1.65,0.36,0.9,0.85,1.21,0.0,0.6,0.38,1.32,0.39,0.11,4.07
hsa-miR-146a-3p,0.0,0.0,1.33,0.0,5.5,4.41,0.0,0.0,0.0,2.18,0.0,0.0,0.77,0.0,3.35,0.0,0.0
hsa-miR-146a-5p,76.3,11.77,119.7,41.45,523.84,986.68,65.65,182.27,108.26,215.16,2.31,1670.4,31.64,36.53,1555.47,87.96,25.07
hsa-miR-146b-3p,5.4,5.58,7.12,11.84,67.1,124.54,5.43,16.61,3.39,20.98,11.56,205.33,5.1,2.96,64.7,1.83,7.45
hsa-miR-146b-5p,685.99,60.71,321.28,106.57,1669.19,3807.87,588.6,556.02,178.4,511.23,333.02,7108.16,111.64,910.72,4421.84,166.32,293.37
hsa-miR-147b-3p,0.0,0.0,0.0,0.0,0.12,1.24,0.0,0.0,0.34,0.08,0.0,7.34,0.0,0.0,1.58,0.0,0.0
hsa-miR-147b-5p,0.0,0.0,0.44,0.0,0.12,0.96,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0
