miRNA,SRR14867395,SRR14867396,SRR14867397,SRR14867398,SRR14867399,SRR14867400,SRR14867401,SRR14867402,SRR14867403,SRR14867404,SRR14867405,SRR14867406,SRR14867407,SRR14867408,SRR14867409,SRR14867410,SRR14867411,SRR14867412,SRR14867413,SRR14867414,SRR14867415
hsa-miR-1255b-5p,14.78,5.46,10.79,23.57,13.87,6.98,8.34,3.87,27.19,4.85,27.43,24.52,18.19,14.06,12.8,12.96,11.83,6.47,10.88,9.06,7.47
hsa-miR-1256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.32
hsa-miR-1258,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-125a-3p,9.65,0.0,7.93,2.1,11.62,0.32,10.42,3.17,19.5,4.48,3.77,7.04,1.21,17.39,3.73,10.9,0.0,9.38,8.79,16.17,18.19
hsa-miR-125a-5p,65.14,214.66,38.19,151.93,100.11,84.86,74.28,216.62,98.11,52.98,79.28,95.62,39.06,39.5,40.9,62.3,86.33,27.48,79.38,59.34,123.45
hsa-miR-125b-1-3p,0.0,2.37,0.0,0.0,3.37,0.0,0.0,0.0,0.0,0.0,0.0,3.91,0.0,0.0,0.0,1.08,0.0,0.0,0.0,3.56,0.0
hsa-miR-125b-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,0.0,0.0,0.0,0.0,0.0
hsa-miR-125b-5p,6.03,10.91,5.63,2.1,8.62,5.08,0.0,3.7,2.96,0.0,4.37,3.52,1.94,6.23,2.75,4.86,0.0,0.0,11.57,4.37,12.99
hsa-miR-126-3p,218.95,191.42,272.21,195.93,109.85,155.6,58.38,289.83,111.7,75.73,94.65,144.41,47.79,118.3,98.32,60.25,71.43,40.42,71.51,131.14,118.25
hsa-miR-126-5p,2689.18,3484.85,4854.48,3024.41,2495.88,2551.52,1318.97,4010.97,1851.69,1436.32,2050.99,2522.79,1364.08,1438.23,1730.98,1327.14,1402.61,1242.85,1603.17,2245.21,1444.66
hsa-miR-1260b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1262,1.21,0.0,0.0,0.0,0.0,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1268b,0.0,0.0,0.0,0.0,0.0,0.0,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-127-3p,3.39,10.2,41.32,3.14,4.5,1.43,3.13,1.23,5.32,0.0,3.32,0.39,0.73,6.12,2.51,1.08,2.3,11.64,4.4,3.23,3.9
hsa-miR-127-5p,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.73,0.0,0.0,2.09,2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1270,11.01,3.32,5.07,2.1,7.12,14.75,38.05,9.85,0.0,4.48,9.95,11.22,10.19,1.5,7.45,16.2,5.68,0.0,0.0,6.47,0.0
hsa-miR-1271-5p,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1273c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1273h-3p,4.67,0.0,26.47,0.0,0.0,0.0,7.3,0.0,0.0,0.0,2.71,0.0,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.81,0.0
hsa-miR-1273h-5p,7.01,5.22,8.58,0.0,0.0,5.55,1.04,4.05,0.0,2.61,0.0,1.04,6.31,4.29,1.46,0.0,0.0,6.47,0.46,0.0,3.25
hsa-miR-1275,0.0,0.0,0.0,0.0,0.0,0.0,1.82,0.0,0.0,0.0,1.51,0.0,0.0,20.07,1.21,0.0,1.08,0.0,0.0,0.0,2.92
hsa-miR-1276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,2.27,0.0,0.0,0.0,0.0,0.0
hsa-miR-1278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0
hsa-miR-128-1-5p,0.9,2.61,1.38,0.0,0.0,3.33,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26,3.7,2.59,0.0
hsa-miR-128-3p,216.24,165.09,203.3,290.23,312.69,226.19,214.49,264.84,202.13,152.59,247.18,208.98,143.61,223.07,158.09,222.74,96.01,150.99,240.0,329.87,85.76
hsa-miR-1281,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68,0.0,0.0,0.0,0.0,0.0,3.23,0.0
hsa-miR-1284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.08,0.0,0.0,0.0,0.0,0.0
hsa-miR-1285-3p,5.88,5.93,11.81,0.0,18.37,8.41,7.3,6.16,13.0,9.33,4.82,6.26,10.43,14.81,12.63,2.05,5.22,6.79,13.19,4.85,0.0
hsa-miR-1285-5p,2.34,0.0,1.48,0.0,0.0,0.0,2.08,0.0,0.0,0.0,0.0,1.04,0.0,1.5,0.0,1.51,0.0,0.0,0.0,0.0,0.0
hsa-miR-1287-5p,20.96,20.64,13.19,5.24,3.37,21.41,6.52,7.74,0.0,5.22,11.91,15.13,15.28,15.99,13.77,14.14,6.14,56.26,6.94,8.73,4.22
hsa-miR-1289,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71,0.0,0.0,1.61,0.0,3.45,0.0,0.0,0.0,2.59,0.0
hsa-miR-129-5p,4.0,24.19,4.15,6.29,4.5,0.0,7.82,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.54,0.0,5.82,1.16,2.1,0.0
hsa-miR-1290,0.15,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
hsa-miR-1291,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1292-5p,5.65,12.33,1.29,0.0,18.0,4.44,13.03,14.43,0.0,16.04,3.62,5.09,25.23,9.02,10.37,5.94,3.07,18.43,14.12,4.69,5.52
hsa-miR-1294,35.36,4.51,26.57,22.53,19.12,6.82,17.46,28.86,24.82,11.94,31.35,34.7,18.68,31.02,24.13,15.66,31.18,12.29,19.9,49.8,4.22
hsa-miR-1295a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,2.08,0.0,0.0
hsa-miR-1296-5p,0.0,0.0,4.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.0,0.0,0.73,0.0,0.0,0.0,0.0,1.13,0.0
hsa-miR-1299,3.24,60.72,3.23,6.81,9.0,0.0,0.0,0.0,0.0,0.0,7.39,6.13,13.1,2.36,144.4,38.65,0.0,0.0,86.56,0.0,92.26
hsa-miR-1301-3p,0.0,0.0,5.81,0.0,0.0,0.0,0.52,3.34,0.0,0.0,1.66,1.83,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1303,6.94,3.32,3.6,2.1,5.25,10.15,10.69,3.7,18.91,5.22,19.74,7.17,3.15,10.63,17.98,5.4,5.07,5.17,25.0,11.8,8.12
hsa-miR-1304-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.09,0.0,0.0,4.3,0.0,0.0,0.0,4.75,7.53,0.0,0.0,0.0,0.0
hsa-miR-1304-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,2.61,0.45,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0
