miRNA,SRR29300460,SRR29300461,SRR29300462,SRR29300463,SRR29300464,SRR29300465,SRR29300466,SRR29300467,SRR29300468,SRR29300469,SRR29300470,SRR29300471,SRR29300472,SRR29300473,SRR29300474,SRR29300475,SRR29300476,SRR29300477,SRR29300478,SRR29300479,SRR29300480,SRR29300481,SRR29300482,SRR29300483,SRR29300484,SRR29300485,SRR29300486,SRR29300487
hsa-miR-187-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-18a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86,4.04,0.0,1.29,0.0,1.75,4.82,0.0,1.18,2.09,0.0,1.98,3.04,1.88,0.0,0.0,11.4,2.53
hsa-miR-18a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.99,9.43,5.46,11.57,13.96,7.0,9.65,9.92,36.71,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-18b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.0,2.2,0.0,0.0
hsa-miR-18b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1908-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-190a-5p,0.0,0.0,3.59,0.0,0.0,1.35,0.0,0.0,1.89,3.02,0.0,2.69,1.82,3.86,0.0,1.75,2.41,2.83,55.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-190b-5p,2.61,3.19,3.59,1.91,3.11,1.35,309.37,1.33,11.33,3.02,0.0,0.0,0.0,0.0,3.49,0.0,0.0,0.0,2.37,312.09,0.0,503.54,3.04,723.58,0.0,4.4,0.0,0.0
hsa-miR-191-3p,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,1.86,1.35,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,3.04,1.88,4.72,2.2,2.85,2.53
hsa-miR-191-5p,2162.02,3632.43,540.49,617.74,1441.12,4158.7,3030.01,1624.98,3374.93,2910.38,2855.41,1673.22,3282.29,2475.25,1511.59,2054.14,3380.68,511.58,5115.47,2272.59,2484.36,2333.34,2416.82,4226.82,2536.48,1126.23,3451.56,2785.89
