miRNA,SRR8560004,SRR8560005,SRR8560006
hsa-miR-378a-5p,0.95,0.0,0.0
hsa-miR-378b,0.95,0.0,0.0
hsa-miR-378c,0.95,0.77,1.92
hsa-miR-378d,1.9,55.49,38.32
hsa-miR-378e,0.0,0.77,0.0
hsa-miR-378i,0.0,0.38,0.0
hsa-miR-379-3p,1.9,1.53,2.87
hsa-miR-379-5p,0.0,0.38,1.92
hsa-miR-381-3p,9.48,3.06,5.75
hsa-miR-382-5p,0.95,0.38,0.0
hsa-miR-3909,1.9,0.0,0.0
hsa-miR-3916,0.95,0.77,0.0
hsa-miR-3929,0.0,0.38,0.0
hsa-miR-3942-3p,0.0,1.53,0.96
hsa-miR-3960,0.95,1.53,0.0
hsa-miR-409-3p,0.95,0.38,1.92
hsa-miR-409-5p,14.22,1.91,2.87
hsa-miR-411-5p,1.9,0.0,0.0
hsa-miR-421,1.9,0.0,0.96
hsa-miR-423-3p,351.63,22.19,294.1
hsa-miR-423-5p,2094.6,5.36,1590.23
hsa-miR-424-3p,0.95,0.0,0.0
hsa-miR-424-5p,5.69,4.21,6.71
hsa-miR-425-3p,0.95,1.91,4.79
hsa-miR-425-5p,36.02,22.19,22.03
hsa-miR-4284,0.95,0.38,1.92
hsa-miR-4286,0.95,0.38,0.96
hsa-miR-429,3.79,4.59,4.79
hsa-miR-4295,0.0,0.38,0.0
hsa-miR-4301,0.0,0.38,0.0
hsa-miR-4306,0.0,0.38,0.0
hsa-miR-4324,0.0,0.0,0.96
hsa-miR-4326,8.53,5.36,8.62
hsa-miR-433-3p,13.27,1.53,2.87
hsa-miR-4426,0.0,0.38,0.0
hsa-miR-4429,0.95,0.0,0.0
hsa-miR-4443,0.0,2.3,2.87
hsa-miR-4448,0.0,0.38,0.0
hsa-miR-4449,0.95,0.0,0.0
hsa-miR-4463,0.0,0.38,0.0
hsa-miR-4473,0.0,0.0,0.96
hsa-miR-4485-3p,3.79,0.0,0.0
hsa-miR-449a,0.0,0.38,0.0
hsa-miR-4500,37.91,54.72,68.02
hsa-miR-4501,0.0,0.38,0.0
hsa-miR-450a-1-3p,0.0,0.38,0.0
hsa-miR-450a-5p,62.55,27.55,26.82
hsa-miR-450b-3p,0.95,0.0,0.0
hsa-miR-450b-5p,2.84,0.77,1.92
hsa-miR-4516,0.95,0.77,2.87
hsa-miR-451a,4.74,1.53,2.87
hsa-miR-452-3p,0.95,1.91,0.0
hsa-miR-452-5p,0.0,1.15,1.92
hsa-miR-4521,0.0,0.38,0.0
hsa-miR-454-3p,14.22,5.36,7.66
hsa-miR-455-3p,6.63,1.91,0.0
hsa-miR-455-5p,18.01,13.39,13.41
hsa-miR-4645-3p,0.0,0.0,0.96
hsa-miR-4654,0.0,0.0,0.96
hsa-miR-4671-3p,0.95,0.0,0.0
hsa-miR-4683,0.0,0.38,0.0
hsa-miR-4687-3p,0.0,0.77,0.0
hsa-miR-4687-5p,0.0,0.38,0.0
hsa-miR-4707-3p,1.9,0.38,1.92
hsa-miR-4707-5p,0.0,0.38,0.0
hsa-miR-4710,0.0,0.38,0.96
hsa-miR-4741,0.0,0.0,1.92
hsa-miR-4745-3p,0.95,0.0,0.0
hsa-miR-4755-3p,8.53,37.5,43.11
hsa-miR-4758-3p,0.0,0.38,0.0
hsa-miR-4768-3p,0.0,0.38,0.0
hsa-miR-4775,1.9,1.53,1.92
hsa-miR-4785,0.0,0.0,1.92
hsa-miR-4786-3p,0.0,0.38,0.0
hsa-miR-4800-3p,0.0,0.38,0.0
hsa-miR-483-3p,0.95,0.38,0.0
hsa-miR-484,33.17,17.6,35.44
hsa-miR-486-5p,1.9,0.0,0.0
hsa-miR-487b-3p,2.84,0.38,0.0
hsa-miR-488-3p,0.95,0.0,0.0
hsa-miR-491-5p,0.95,0.0,0.0
hsa-miR-493-5p,3.79,1.91,0.0
hsa-miR-494-3p,9.48,1.15,1.92
hsa-miR-496,0.0,0.38,0.0
hsa-miR-497-5p,0.0,0.38,0.0
hsa-miR-499a-3p,0.0,0.77,0.0
hsa-miR-499a-5p,0.0,1.15,0.0
hsa-miR-500a-3p,0.0,4.21,0.0
hsa-miR-501-3p,6.63,1.15,0.0
hsa-miR-5010-5p,0.0,0.0,1.92
hsa-miR-502-3p,12.32,0.38,6.71
hsa-miR-503-5p,53.08,30.23,46.94
hsa-miR-505-3p,22.75,15.69,40.23
hsa-miR-505-5p,0.95,0.38,0.96
hsa-miR-512-3p,0.95,0.0,0.0
hsa-miR-516a-5p,13.27,3.06,2.87
hsa-miR-519a-2-5p,0.0,0.38,0.0
hsa-miR-519a-5p,0.95,0.0,0.0
hsa-miR-522-3p,1.9,0.0,0.0
hsa-miR-532-5p,0.0,0.77,0.96
hsa-miR-539-5p,0.0,1.15,0.0
hsa-miR-541-5p,0.0,0.38,0.0
hsa-miR-542-3p,0.0,0.0,0.96
hsa-miR-542-5p,0.0,1.91,0.96
hsa-miR-548al,0.95,0.38,0.0
hsa-miR-548h-5p,0.0,0.38,0.0
hsa-miR-548l,0.0,0.0,1.92
hsa-miR-548n,0.95,0.77,0.0
hsa-miR-549a-5p,3.79,1.53,2.87
hsa-miR-550a-3-5p,0.0,1.15,0.96
hsa-miR-550a-3p,2.84,4.59,0.0
hsa-miR-556-3p,0.0,0.38,0.96
hsa-miR-5582-3p,0.95,0.0,0.0
hsa-miR-5588-5p,0.0,4.59,2.87
hsa-miR-561-3p,4.74,3.83,3.83
hsa-miR-5683,1.9,0.0,0.0
hsa-miR-570-5p,0.0,0.0,0.96
hsa-miR-574-3p,1.9,1.15,3.83
hsa-miR-574-5p,18.01,22.58,31.61
hsa-miR-576-3p,26.54,23.73,17.24
hsa-miR-576-5p,0.0,0.77,1.92
hsa-miR-577,0.95,0.0,0.96
hsa-miR-584-5p,1.9,0.0,3.83
hsa-miR-589-3p,0.0,0.38,0.0
hsa-miR-589-5p,2.84,4.21,8.62
hsa-miR-590-3p,5.69,12.25,12.45
hsa-miR-590-5p,0.0,0.38,0.0
hsa-miR-597-3p,0.0,0.38,0.0
hsa-miR-598-3p,14.22,18.75,3.83
hsa-miR-598-5p,0.0,0.0,1.92
hsa-miR-600,0.0,0.38,0.0
hsa-miR-615-3p,4.74,7.27,18.2
hsa-miR-616-5p,2.84,0.0,0.0
hsa-miR-624-5p,0.95,0.0,0.0
hsa-miR-625-3p,0.0,5.74,0.96
hsa-miR-627-3p,0.0,0.38,0.0
hsa-miR-628-3p,0.0,0.38,0.96
hsa-miR-629-3p,0.0,0.38,0.0
hsa-miR-629-5p,12.32,3.06,4.79
hsa-miR-640,0.0,0.38,0.0
hsa-miR-641,5.69,1.53,1.92
hsa-miR-642a-3p,0.0,0.0,1.92
hsa-miR-651-5p,7.58,7.27,7.66
hsa-miR-6511a-5p,0.0,0.38,0.0
hsa-miR-6513-5p,0.0,0.0,0.96
hsa-miR-6515-5p,0.0,0.38,0.0
hsa-miR-652-3p,1.9,0.0,0.0
hsa-miR-653-3p,0.0,1.15,0.0
hsa-miR-653-5p,1.9,0.0,0.0
hsa-miR-655-3p,0.95,0.38,0.0
hsa-miR-660-5p,0.0,1.15,2.87
hsa-miR-664a-3p,0.0,0.0,1.92
hsa-miR-671-3p,7.58,6.51,9.58
hsa-miR-671-5p,6.63,0.77,3.83
hsa-miR-6720-3p,1.9,0.38,0.0
