miRNA,ERR12138325,ERR12138326,ERR12138327,ERR12138328,ERR12138329,ERR12138330,ERR12138331,ERR12138332,ERR12138333,ERR12138334,ERR12138336,ERR12138338,ERR12138339
hsa-miR-548x-3p,0.0,0.0,0.0,139.84,207.93,63.52,202.44,0.0,20.64,18.77,0.0,0.0,0.0
hsa-miR-548x-5p,0.0,0.0,0.0,0.0,0.0,0.0,2.85,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548y,0.0,0.0,0.0,3.18,0.0,0.0,5.7,0.0,0.0,0.0,2.9,8.23,0.0
hsa-miR-550a-3-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99
hsa-miR-550a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,0.0,0.0,0.0,0.0,3.99
hsa-miR-551b-3p,0.0,0.0,0.0,0.0,0.0,0.0,2.85,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-552-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68,0.0,0.0,0.0
hsa-miR-552-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.66,0.0,0.0,0.0,0.0,0.0
hsa-miR-556-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74,0.0
hsa-miR-5581-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.36,0.0,2.74,0.0
hsa-miR-5584-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99
hsa-miR-5585-3p,0.0,0.0,0.0,3.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-561-3p,0.0,0.0,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99
hsa-miR-5687,0.0,0.0,0.0,3.18,0.0,0.0,2.85,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-569,0.0,4.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5699-3p,0.0,0.0,0.0,3.18,0.0,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5699-5p,0.0,0.0,0.0,0.0,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-574-3p,149.2,118.95,179.68,19.07,34.65,27.62,31.36,45.7,46.44,37.55,0.0,2.74,3.99
hsa-miR-574-5p,4.89,4.41,10.57,0.0,0.0,0.0,0.0,0.0,2.58,2.68,2.9,0.0,0.0
hsa-miR-576-3p,7.34,4.41,2.64,9.53,10.4,5.52,2.85,0.0,0.0,2.68,5.8,0.0,0.0
hsa-miR-576-5p,4.89,0.0,0.0,22.25,10.4,13.81,5.7,1.83,0.0,13.41,0.0,0.0,11.96
hsa-miR-577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68,0.0,0.0,0.0
hsa-miR-579-3p,0.0,0.0,0.0,0.0,10.4,0.0,0.0,0.0,2.58,0.0,0.0,0.0,0.0
hsa-miR-584-5p,0.0,4.41,5.28,15.89,17.33,19.33,42.77,5.48,12.9,2.68,0.0,8.23,7.97
hsa-miR-589-3p,2.45,0.0,0.0,0.0,0.0,0.0,2.85,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-589-5p,2.45,0.0,7.93,3.18,24.26,8.28,5.7,0.0,5.16,10.73,2.9,2.74,0.0
hsa-miR-590-3p,0.0,0.0,0.0,3.18,0.0,0.0,2.85,0.0,0.0,2.68,2.9,2.74,0.0
hsa-miR-592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.14,33.54,42.91,5.8,0.0,0.0
hsa-miR-598-3p,0.0,0.0,5.28,9.53,31.19,8.28,2.85,0.0,0.0,0.0,5.8,0.0,0.0
hsa-miR-605-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68,0.0,0.0,0.0
hsa-miR-6089,0.0,0.0,0.0,0.0,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6126,2.45,0.0,0.0,6.36,3.47,0.0,0.0,0.0,0.0,2.68,0.0,5.49,3.99
hsa-miR-615-3p,2.45,0.0,5.28,12.71,3.47,0.0,0.0,1.83,10.32,16.09,0.0,0.0,0.0
hsa-miR-616-3p,0.0,0.0,0.0,3.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-616-5p,0.0,0.0,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.23,0.0
hsa-miR-618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68,0.0,0.0,0.0
hsa-miR-622,0.0,0.0,0.0,0.0,0.0,0.0,2.85,1.83,0.0,0.0,0.0,0.0,3.99
hsa-miR-624-5p,0.0,0.0,0.0,6.36,6.93,2.76,0.0,0.0,0.0,0.0,8.7,2.74,0.0
