miRNA,ERR1736309,ERR1736310,ERR1736311,ERR1736312,ERR1736313,ERR1736314,ERR1736315,ERR1736316,ERR1736317,ERR1736318,ERR1736319,ERR1736320,ERR1736321,ERR1736322,ERR1736323,ERR1736324,ERR1736325,ERR1736326,ERR1736327,ERR1736328,ERR1736329,ERR1736330,ERR1736331,ERR1736332,ERR1736333,ERR1736334,ERR1736335,ERR1736336,ERR1736337,ERR1736338,ERR1736339
hsa-miR-362-3p,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,26.0
hsa-miR-362-5p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-363-3p,267.0,383.0,365.0,84.0,18.0,39.0,78.0,35.0,76.0,54.0,348.0,252.0,488.0,23.0,13.0,69.0,44.0,101.0,14.0,77.0,413.0,178.0,175.0,140.0,96.0,51.0,56.0,64.0,102.0,73.0,735.0
hsa-miR-363-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3648,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-365a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-365a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-365b-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0
hsa-miR-365b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3665,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,11.0,3.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,4.0,2.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0
