miRNA,SRR6502956,SRR6502957,SRR6502958,SRR6502959,SRR6502960,SRR6502961,SRR6502962,SRR6502963,SRR6502964,SRR6502965,SRR6502966,SRR6502967
hsa-miR-135a-2-3p,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-135a-5p,0.0,1.41,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0
hsa-miR-135b-3p,12.06,7.06,14.45,1.46,8.32,8.39,2.42,8.64,10.91,5.26,0.77,2.85
hsa-miR-135b-5p,168.87,226.67,145.64,89.01,243.37,174.15,10.9,327.27,171.29,63.12,57.94,124.4
hsa-miR-136-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0
hsa-miR-136-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95
hsa-miR-137-3p,0.0,2.12,1.11,0.0,1.04,3.23,0.0,0.0,1.09,0.0,0.77,0.0
hsa-miR-138-1-3p,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-138-5p,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,1.09,0.0,0.0,0.0
hsa-miR-139-3p,0.0,3.53,1.11,0.0,1.04,1.29,0.0,0.0,0.0,2.63,0.0,0.95
hsa-miR-139-5p,51.27,38.13,26.68,11.67,15.6,18.71,4.85,111.33,54.55,5.26,14.68,20.89
hsa-miR-140-3p,87.45,86.85,96.72,68.58,54.08,65.79,209.55,63.34,118.92,92.06,71.85,86.41
hsa-miR-140-5p,1.51,14.83,4.45,1.46,15.6,10.97,1.21,6.72,12.0,10.52,3.86,3.8
hsa-miR-141-3p,0.0,43.07,12.23,0.0,24.96,11.61,0.0,11.52,62.19,0.0,9.27,29.44
hsa-miR-142-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,2.63,0.0,0.0
hsa-miR-142-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,5.46,5.26,0.0,3.8
hsa-miR-143-3p,1.51,2.12,6.67,0.0,5.2,15.48,7.27,5.76,31.64,21.04,12.36,30.39
hsa-miR-144-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.77,1.9
hsa-miR-144-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95
hsa-miR-1468-5p,0.0,2.82,0.0,0.0,1.04,1.94,1.21,0.0,0.0,0.0,0.0,0.0
hsa-miR-146a-5p,277.44,80.5,16.68,309.35,2.08,23.22,58.14,164.12,901.17,31.56,59.49,205.11
hsa-miR-146b-3p,3.02,1.41,1.11,1.46,1.04,1.29,0.0,0.0,0.0,0.0,0.77,0.95
hsa-miR-146b-5p,188.48,435.68,403.56,110.9,476.33,441.19,49.66,542.26,603.33,197.26,193.91,230.75
hsa-miR-147a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0
hsa-miR-147b-3p,30.16,4.94,5.56,7.3,16.64,6.45,4.85,21.11,30.55,0.0,18.54,21.84
hsa-miR-147b-5p,1.51,4.94,0.0,0.0,2.08,1.29,0.0,0.96,0.0,2.63,0.77,0.0
hsa-miR-148a-3p,135483.97,18269.61,14716.12,154356.77,9370.69,15798.3,93450.62,25643.51,67455.83,2927.38,10078.79,16433.59
hsa-miR-148a-5p,119.12,145.46,280.16,61.29,70.72,156.74,36.34,110.37,102.55,34.19,60.26,40.83
hsa-miR-148b-3p,3602.15,1568.31,1656.49,2452.93,1296.92,1991.8,351.28,1240.95,3055.91,423.46,951.02,1488.01
hsa-miR-148b-5p,45.23,55.78,38.91,33.56,52.0,63.21,15.75,79.66,60.01,34.19,40.95,54.13
hsa-miR-149-3p,0.0,0.0,0.0,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-149-5p,28.65,39.54,22.23,21.89,58.24,94.82,0.0,45.11,21.82,18.41,59.49,41.78
hsa-miR-150-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63,0.0,0.95
hsa-miR-151a-3p,13969.83,5175.2,3933.34,10841.94,6675.96,9373.32,10458.37,16923.24,7526.85,4295.06,6052.22,11107.34
hsa-miR-151a-5p,101.02,331.88,219.01,84.63,99.84,212.21,6.06,325.35,242.2,34.19,165.33,1065.44
hsa-miR-151b,4.52,1.41,374.66,0.0,130.0,245.1,1.21,3.84,793.16,2.63,292.03,11.4
hsa-miR-152-3p,57.3,208.31,51.14,30.64,49.92,63.21,46.03,96.93,81.83,36.82,39.4,43.68
hsa-miR-152-5p,1.51,1.41,2.22,0.0,1.04,0.65,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-153-3p,0.0,2.12,2.22,0.0,4.16,3.23,0.0,0.0,1.09,0.0,1.55,0.0
hsa-miR-1537-3p,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1538,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-154-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0
hsa-miR-155-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.0
hsa-miR-15a-3p,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-15a-5p,16.59,55.08,8.89,17.51,15.6,10.32,0.0,7.68,17.46,2.63,3.86,7.6
hsa-miR-15b-3p,113.09,81.2,78.93,86.09,46.8,94.82,9.69,142.04,316.39,31.56,158.37,223.15
hsa-miR-15b-5p,182.44,415.91,63.37,106.52,114.4,179.31,2.42,110.37,56.73,49.97,44.81,33.24
hsa-miR-16-1-3p,3.02,0.71,1.11,0.0,2.08,1.94,0.0,0.0,1.09,0.0,2.32,0.95
hsa-miR-16-2-3p,34.68,267.62,390.22,4.38,334.89,525.04,0.0,480.83,879.35,52.6,241.81,273.48
hsa-miR-16-5p,649.86,865.0,146.75,493.21,206.97,317.35,20.59,184.27,178.93,186.74,107.39,102.56
hsa-miR-17-3p,9.05,48.02,23.35,1.46,22.88,19.35,0.0,13.44,14.18,2.63,5.41,9.5
hsa-miR-17-5p,848.9,3061.06,927.19,459.65,785.22,707.58,49.66,1081.64,642.6,326.14,309.02,269.68
hsa-miR-181a-2-3p,19.6,22.6,28.91,30.64,49.92,39.99,21.8,31.67,27.28,15.78,22.4,16.14
hsa-miR-181a-3p,36.19,28.95,82.27,49.61,42.64,61.28,6.06,47.03,38.19,42.08,20.86,25.64
hsa-miR-181a-5p,149.27,1323.99,695.95,143.0,1635.97,1182.95,15.75,572.01,811.71,128.88,489.8,598.24
hsa-miR-181b-2-3p,0.0,0.71,0.0,0.0,0.0,0.0,0.0,1.92,2.18,0.0,0.77,0.0
hsa-miR-181b-3p,3.02,7.06,1.11,4.38,0.0,5.16,0.0,6.72,2.18,5.26,0.0,5.7
hsa-miR-181b-5p,93.48,305.05,142.3,84.63,282.89,307.67,21.8,235.14,657.88,120.99,275.8,341.85
hsa-miR-181c-3p,48.25,41.66,46.69,37.94,28.08,39.35,2.42,27.83,36.0,2.63,22.4,13.29
hsa-miR-181c-5p,4.52,40.96,27.79,2.92,24.96,21.93,0.0,8.64,30.55,0.0,20.09,11.4
hsa-miR-181d-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63,0.0,0.0
hsa-miR-181d-5p,131.18,128.52,90.05,48.15,128.96,103.85,8.48,168.92,398.22,71.01,98.89,177.57
hsa-miR-182-3p,1.51,4.24,3.34,1.46,4.16,9.03,0.0,3.84,3.27,0.0,0.0,0.0
hsa-miR-182-5p,5296.92,4932.29,1288.51,9373.97,5553.77,3019.95,2979.8,4285.28,1980.18,3240.37,1430.78,2344.54
hsa-miR-1825,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,1.09,0.0,0.0,0.0
