miRNA,SRR17622163,SRR17622164,SRR17622165,SRR17622166,SRR17622167,SRR17622168,SRR17622169,SRR17622170,SRR17622171,SRR17622172,SRR17622173,SRR17622174,SRR17622175,SRR17622176,SRR17622177,SRR17622178,SRR17622179,SRR17622180,SRR17622181
hsa-miR-1228-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.13,0.0,0.3,0.0,0.0,0.0
hsa-miR-1229-3p,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0
hsa-miR-1229-5p,0.51,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-122b-5p,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.22,0.13,0.0,0.0,0.0,0.64,0.0
hsa-miR-1233-5p,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1234-3p,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1236-5p,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0
hsa-miR-124-3p,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1244,0.51,0.0,0.0,0.0,0.17,0.19,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.13,1.33,0.0,0.0,0.0,0.18
hsa-miR-1245a,0.26,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1246,2.83,0.83,2.22,3.1,0.84,1.12,0.79,0.57,1.12,0.32,0.68,7.51,3.04,0.27,6.2,9.46,3.45,3.18,0.88
hsa-miR-1247-3p,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1247-5p,3.6,0.41,2.96,2.44,0.34,1.31,0.94,0.57,1.12,1.61,1.8,0.58,0.65,0.54,0.0,0.0,4.14,0.0,2.46
hsa-miR-1248,0.0,0.0,0.25,0.66,0.0,0.19,0.79,0.0,0.37,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.34,0.0,0.0
hsa-miR-1249-3p,0.0,0.0,0.0,0.89,0.17,0.0,0.0,0.28,0.93,0.48,0.23,0.0,0.0,0.27,0.0,0.0,0.69,0.0,0.18
hsa-miR-1249-5p,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0
hsa-miR-1250-5p,0.0,0.0,0.0,0.44,0.0,0.19,0.16,0.0,0.19,0.32,0.23,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.18
hsa-miR-1251-5p,0.0,0.0,0.0,0.0,1.68,0.75,0.47,0.0,0.74,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.85,0.0
hsa-miR-1252-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1255a,3.34,2.48,0.99,0.0,0.67,0.19,1.89,0.57,0.37,0.16,0.9,0.0,0.0,0.4,0.0,0.59,0.0,0.21,0.35
hsa-miR-1255b-5p,13.63,0.0,2.71,1.77,1.01,1.12,2.36,5.38,0.93,0.16,1.58,1.73,1.52,0.27,1.77,0.3,2.76,0.0,2.64
hsa-miR-1256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1258,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.85,0.0
hsa-miR-125a-3p,6.94,9.92,7.89,6.86,5.86,7.87,6.3,7.08,7.62,5.01,6.76,0.29,5.64,2.28,1.77,1.77,5.17,5.08,3.52
hsa-miR-125a-5p,2248.41,1968.05,3448.12,1924.18,3042.56,2536.66,1623.39,2739.0,2405.73,1377.4,1473.76,323.62,2293.55,825.58,510.52,878.56,1866.97,904.41,1307.71
hsa-miR-125b-1-3p,7.71,27.29,35.73,14.17,17.42,23.44,13.85,44.73,29.18,24.87,17.8,13.29,26.02,4.3,11.97,18.04,33.46,4.24,13.9
hsa-miR-125b-2-3p,2.31,0.83,5.67,1.55,2.18,3.19,2.05,3.68,4.65,3.23,0.68,2.02,0.87,1.75,0.0,0.59,2.41,0.21,0.7
hsa-miR-125b-5p,2353.32,1599.24,3480.16,1522.52,2503.97,2221.48,1132.2,2407.52,2412.42,2353.97,704.31,505.37,1519.13,856.18,387.32,638.44,2553.11,609.08,1016.86
hsa-miR-126-3p,6024.48,19295.12,4509.44,3183.2,4828.36,2471.79,5328.63,3717.86,3871.88,4189.53,41164.68,3556.34,4893.87,3381.25,2337.24,2361.86,4127.2,3029.1,22242.57
hsa-miR-126-5p,84.6,102.95,63.33,30.56,57.13,60.19,43.28,30.85,81.23,60.88,294.12,10.4,54.85,50.07,20.39,14.49,45.88,26.91,254.61
hsa-miR-1260a,0.0,0.0,0.25,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
