miRNA,SRR16775346,SRR16775347,SRR16775348,SRR16775349,SRR16775350,SRR16775351,SRR16775352,SRR16775353,SRR16775354,SRR16775355,SRR16775356,SRR16775357,SRR16775358,SRR16775359,SRR16775360,SRR16775361,SRR16775362,SRR16775363,SRR16775364,SRR16775365,SRR16775366,SRR16775367,SRR16775368,SRR16775369,SRR16775370,SRR16775371,SRR16775372
hsa-miR-3618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3619-3p,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.37,0.0,0.0,0.17,0.0,0.0,0.0,0.27,0.0,0.42,0.53,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3619-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.36,0.27,0.16,0.27,0.28,0.14,0.42,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-362-5p,0.0,0.0,0.18,0.0,0.27,0.0,0.0,0.0,0.0,0.0,4.35,3.24,5.04,1.1,3.14,1.66,3.1,2.87,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3620-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.27,0.0,0.14,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3620-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.22,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3622a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-363-3p,0.0,0.22,0.53,0.54,1.08,1.72,0.87,0.74,0.67,1.42,12.05,10.32,11.04,0.94,0.55,1.39,0.56,0.96,0.45,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0
hsa-miR-3646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3648,1.86,0.43,0.53,0.18,2.69,2.79,3.18,3.32,3.56,3.07,5.36,4.44,4.77,8.64,6.41,10.25,8.31,6.16,8.89,1.93,3.04,2.68,2.28,1.54,3.44,3.15,2.54
hsa-miR-3650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3651,0.23,0.0,0.18,0.0,0.27,0.21,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.19,0.0,0.22,0.0,0.0,0.0
hsa-miR-3652,0.0,0.0,0.0,0.54,0.0,0.21,0.14,0.0,0.0,0.0,0.17,0.24,0.0,0.31,0.41,0.42,0.42,0.53,0.3,0.0,0.23,0.0,0.0,0.22,0.0,0.0,0.0
hsa-miR-3654,0.23,0.43,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,1.84,1.56,0.95,0.63,0.82,0.83,0.99,1.59,1.66,0.19,0.0,0.19,0.0,0.44,0.0,0.0,0.0
hsa-miR-3655,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.31,0.0,0.0,0.14,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-365a-3p,0.0,0.0,0.0,0.0,0.27,0.0,0.14,0.0,0.0,0.0,3.18,1.8,0.68,0.31,0.14,0.14,0.0,0.11,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-365a-5p,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.67,0.72,1.09,0.94,0.68,0.28,0.14,0.42,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
