miRNA,SRR18439762
hsa-miR-3605-5p,5
hsa-miR-545-5p,3
hsa-miR-4796-5p,2
hsa-mir-4525-5p,2
hsa-miR-509-3p,2
hsa-miR-299-5p,3
hsa-miR-4697-5p,2
hsa-mir-8086-5p,4
hsa-miR-943,2
hsa-mir-4512-3p,2
hsa-miR-5696,2
hsa-miR-548av-3p,4
hsa-miR-10b-3p,3
hsa-miR-4685-3p,3
hsa-miR-450a-2-3p,2
hsa-miR-92a-1-5p,2
hsa-mir-1276-5p,2
hsa-miR-374b-3p,4
hsa-miR-1298-5p,3
hsa-miR-4707-3p,5
hsa-mir-1204-5p,4
hsa-miR-6747-3p,2
hsa-mir-1291-5p,3
hsa-miR-4782-5p,2
hsa-miR-552-3p,2
hsa-miR-491-3p,2
hsa-miR-3191-3p,2
hsa-miR-627-5p,2
hsa-mir-1294-5p,2
hsa-miR-4768-5p,3
hsa-miR-101-2-5p,2
hsa-miR-6783-3p,2
hsa-miR-105-3p,1
hsa-miR-377-3p,1
hsa-miR-376c-3p,1
hsa-miR-6753-3p,1
hsa-miR-6506-5p,1
hsa-miR-4774-5p,1
hsa-miR-6808-3p,1
hsa-miR-329-5p,1
hsa-miR-1284,2
hsa-miR-1289,3
hsa-miR-1226-5p,2
hsa-miR-942-5p,1
hsa-miR-655-3p,1
hsa-miR-3934-3p,1
hsa-miR-8072,1
hsa-miR-579-5p,1
hsa-miR-3124-5p,2
hsa-miR-6728-3p,1
hsa-miR-6852-3p,1
hsa-miR-3118,1
hsa-miR-873-5p,1
hsa-miR-548am-3p,3
hsa-miR-6780a-5p,2
hsa-miR-5588-5p,1
hsa-miR-206,1
hsa-miR-4688,1
hsa-miR-7844-5p,1
hsa-miR-6793-5p,2
hsa-miR-3142,1
hsa-miR-6840-5p,1
hsa-miR-1255b-5p,1
hsa-miR-200b-5p,3
hsa-miR-6762-5p,1
hsa-miR-5706,2
hsa-miR-6869-5p,1
hsa-miR-548c-5p,1
hsa-miR-3059-5p,1
hsa-miR-1252-5p,2
hsa-miR-6764-3p,1
hsa-miR-5087,4
hsa-miR-1197,1
hsa-miR-5698,1
hsa-miR-4788,1
hsa-miR-5581-3p,2
hsa-miR-548aw,1
hsa-miR-3910,1
hsa-miR-944,1
hsa-miR-665,1
hsa-miR-4324,1
hsa-miR-10392-5p,5
hsa-miR-4676-5p,1
hsa-miR-6895-3p,1
hsa-miR-4689,2
hsa-miR-3200-5p,1
hsa-miR-937-3p,1
hsa-miR-4712-3p,1
hsa-miR-505-5p,1
hsa-miR-3064-5p,2
hsa-mir-548u-3p,1
hsa-miR-3655,1
hsa-miR-6813-5p,1
hsa-miR-379-3p,1
hsa-miR-6779-5p,1
hsa-miR-4768-3p,1
hsa-mir-4737-5p,1
hsa-miR-6878-3p,1
hsa-mir-3176-3p,1
hsa-miR-6824-5p,1
hsa-miR-7111-3p,1
hsa-miR-5094,1
hsa-miR-7155-3p,2
hsa-miR-7975,2
hsa-miR-3136-5p,2
hsa-miR-3146,1
hsa-mir-7851-3p,1
hsa-miR-10395-5p,1
hsa-miR-937-5p,1
hsa-miR-202-3p,1
hsa-miR-6501-3p,1
hsa-miR-4284,1
hsa-mir-3908-5p,2
hsa-miR-7114-5p,1
hsa-miR-187-3p,1
hsa-miR-4755-5p,1
hsa-mir-3199-2-5p,1
hsa-miR-6884-5p,1
hsa-mir-1248-5p,1
hsa-miR-4425,1
hsa-miR-6827-5p,2
hsa-miR-616-5p,2
hsa-miR-584-3p,1
hsa-miR-7109-5p,1
hsa-mir-3137-5p,1
hsa-miR-3143,1
hsa-miR-1234-3p,1
hsa-miR-6802-5p,1
hsa-miR-182-3p,1
hsa-miR-4741,1
hsa-mir-1256-5p,1
hsa-mir-5689-5p,2
hsa-miR-11401,1
hsa-miR-6823-5p,1
hsa-miR-4709-5p,2
hsa-mir-107-3p,1
hsa-miR-3944-5p,2
hsa-miR-548az-5p,1
hsa-miR-3960,1
hsa-miR-4765,1
hsa-mir-643-3p,1
hsa-miR-98-3p,1
hsa-miR-450b-3p,1
hsa-miR-5695,1
hsa-mir-4748-5p,1
hsa-miR-1185-1-3p,1
hsa-miR-380-5p,1
hsa-miR-4747-3p,1
hsa-miR-1229-3p,2
hsa-miR-521,2
hsa-mir-3143-5p,1
hsa-miR-4488,1
hsa-mir-3133-5p,1
hsa-miR-9898,2
hsa-miR-3175,1
hsa-miR-202-5p,1
hsa-mir-548ba-5p,1
hsa-miR-3129-3p,1
hsa-miR-3184-5p,1
hsa-miR-1914-5p,2
hsa-mir-4453-5p,1
hsa-miR-6734-5p,4
hsa-miR-550a-3p,1
hsa-miR-6737-3p,1
hsa-miR-6866-3p,1
hsa-miR-6763-5p,1
hsa-mir-1283-2-5p,1
hsa-miR-5708,1
hsa-miR-122b-5p,1
hsa-miR-4710,1
hsa-miR-1248,1
hsa-miR-217-3p,1
hsa-miR-8485,3
hsa-mir-8075-3p,1
hsa-miR-4781-3p,1
hsa-miR-3939,1
hsa-miR-196b-3p,1
hsa-miR-181d-3p,2
hsa-miR-4690-3p,1
hsa-miR-23c,1
hsa-miR-520a-3p,1
hsa-miR-609,1
hsa-mir-940-3p,1
hsa-miR-188-3p,1
hsa-miR-611,1
hsa-miR-4728-5p,1
hsa-miR-4680-5p,1
hsa-miR-6819-5p,1
hsa-miR-4762-5p,1
hsa-miR-3664-5p,1
hsa-miR-891a-5p,1
hsa-miR-4497,1
hsa-miR-545-3p,1
hsa-miR-3918,1
hsa-miR-885-5p,2
hsa-miR-431-3p,1
hsa-miR-6860,1
hsa-miR-3679-5p,1
hsa-miR-6859-5p,1
hsa-miR-4519,1
hsa-miR-3929,1
hsa-miR-5188,1
hsa-miR-6751-3p,1
hsa-miR-548ab,1
hsa-miR-3148,3
hsa-miR-4431,1
hsa-miR-3064-3p,1
hsa-miR-6852-5p,1
hsa-miR-3149,2
