miRNA,SRR27277256,SRR27277257,SRR27277258,SRR27277259,SRR27277260,SRR27277261,SRR27277262,SRR27277263
hsa-miR-1469,0.0,28.67,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-146a-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.0
hsa-miR-146a-5p,18.11,327.21,523.61,1640.74,68.45,657.47,3135.76,3619.29
hsa-miR-146b-3p,0.0,1.69,4.32,2.4,0.68,0.0,4.89,1.81
hsa-miR-146b-5p,9.06,534.67,660.26,334.45,155.87,323.51,707.75,755.36
hsa-miR-147b-3p,0.0,0.0,1.44,0.0,6.78,0.48,0.38,0.0
hsa-miR-148a-3p,411.47,11241.58,34691.78,13773.84,2308.86,20794.39,20167.23,21297.04
hsa-miR-148a-5p,0.0,0.0,14.38,12.61,0.0,2.38,10.16,13.37
hsa-miR-148b-3p,10.35,177.1,257.49,202.95,35.24,532.06,390.18,380.03
hsa-miR-148b-5p,0.0,0.0,12.95,1.8,0.0,0.95,4.14,5.42
hsa-miR-149-3p,0.0,0.0,0.0,0.0,1.36,0.48,0.0,0.0
hsa-miR-149-5p,0.0,1.69,17.26,4.2,3.39,15.2,0.38,0.0
hsa-miR-150-3p,0.0,0.0,46.03,12.61,2.03,0.0,9.78,18.42
hsa-miR-150-5p,1.29,1.69,601.28,42.03,2.71,37.53,45.15,26.37
hsa-miR-151a-3p,87.99,1742.32,12750.67,7776.49,634.99,2633.68,6605.64,17884.75
hsa-miR-151a-5p,2.59,0.0,1.44,6.91,0.68,31.35,14.3,27.09
hsa-miR-151b,0.0,0.0,4.32,0.3,5.42,1.43,1.13,0.36
hsa-miR-152-3p,1.29,26.99,67.61,143.51,39.31,373.86,252.47,292.61
hsa-miR-153-3p,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0
hsa-miR-1538,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0
hsa-miR-155-5p,0.0,1.69,205.7,96.97,12.2,76.48,131.69,176.65
hsa-miR-15a-5p,0.0,3.37,12.95,15.01,0.0,1.43,12.04,0.36
hsa-miR-15b-3p,0.0,21.93,4.32,6.61,0.0,0.95,7.53,3.25
hsa-miR-15b-5p,0.0,3.37,33.09,33.63,0.68,188.6,38.0,26.01
hsa-miR-16-2-3p,5.18,60.72,368.25,123.39,17.62,1.9,179.48,177.01
hsa-miR-16-5p,3.88,188.91,54.66,75.06,18.3,848.44,167.81,122.46
hsa-miR-17-3p,0.0,0.0,1.44,0.6,0.0,0.0,1.51,0.0
hsa-miR-17-5p,2.59,3.37,48.91,53.74,23.72,538.23,174.21,134.02
hsa-miR-181a-2-3p,0.0,0.0,51.79,13.21,4.07,63.18,30.48,23.84
hsa-miR-181a-3p,0.0,0.0,5.75,4.5,0.0,5.23,1.88,0.36
hsa-miR-181a-5p,12.94,322.15,450.24,161.82,56.25,314.96,210.71,208.44
hsa-miR-181b-3p,0.0,0.0,0.0,0.0,0.0,0.48,0.38,0.36
hsa-miR-181b-5p,0.0,182.16,74.8,53.74,2.03,809.49,66.6,60.69
hsa-miR-181c-3p,0.0,0.0,0.0,0.9,7.45,0.95,2.26,3.97
hsa-miR-181c-5p,0.0,0.0,0.0,2.7,0.0,0.95,0.75,0.0
hsa-miR-181d-5p,1.29,3.37,2.88,17.11,2.03,85.51,28.6,29.26
hsa-miR-182-3p,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0
hsa-miR-182-5p,2.59,153.49,578.27,536.81,62.35,1313.04,829.28,709.48
hsa-miR-1827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36
hsa-miR-183-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.38,1.08
hsa-miR-183-5p,5.18,170.35,513.54,248.59,75.22,534.91,336.75,302.72
hsa-miR-184,0.0,113.01,50.35,11.11,5.42,410.44,1.88,7.22
hsa-miR-1843,0.0,0.0,60.42,27.92,6.1,0.95,65.85,61.41
hsa-miR-185-3p,0.0,0.0,0.0,20.12,1.36,1.43,15.05,25.29
hsa-miR-185-5p,12.94,355.89,686.15,3529.47,38.63,177.19,5302.28,6569.55
hsa-miR-186-5p,2.59,62.41,234.47,81.66,10.17,188.12,121.91,127.52
hsa-miR-187-3p,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0
hsa-miR-188-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.0
hsa-miR-18a-3p,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0
hsa-miR-18a-5p,0.0,0.0,0.0,0.3,2.03,0.95,1.88,0.0
hsa-miR-18b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
