miRNA,ERR1682041,ERR1682042,ERR1682043,ERR1682044,ERR1682045,ERR1682046,ERR1682047,ERR1682048,ERR1682049,ERR1682050,ERR1682051,ERR1682052,ERR1682053,ERR1682054,ERR1682055,ERR1682056,ERR1682057,ERR1682058,ERR1682059,ERR1682060,ERR1682061,ERR1682062,ERR1682063,ERR1682064,ERR1682065
hsa-miR-5588-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5590-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-561-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5680,0.0,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5699-5p,0.0,3.26,0.0,0.0,0.0,6.96,0.0,0.0,0.0,21.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-570-3p,0.0,0.0,4.64,0.0,0.0,6.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.38,0.0
hsa-miR-570-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-574-3p,21.32,120.53,250.76,91.81,135.96,135.75,32.45,36.75,203.02,86.63,356.79,78.0,62.4,215.83,38.0,55.84,107.77,343.29,231.35,100.57,132.06,317.07,147.28,184.36,0.0
hsa-miR-574-5p,21.32,35.83,37.15,61.21,0.0,80.06,21.63,0.0,35.83,10.83,94.12,0.0,24.96,99.61,0.0,13.96,41.45,90.87,42.84,75.42,18.87,24.39,0.0,41.9,0.0
hsa-miR-576-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38,13.0,0.0,0.0,0.0,0.0,0.0,20.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-577,10.66,16.29,4.64,0.0,33.99,17.4,0.0,0.0,11.94,0.0,4.38,26.0,12.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.17,0.0,0.0,0.0
hsa-miR-579-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.39,0.0,8.38,0.0
hsa-miR-579-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-582-3p,0.0,3.26,0.0,0.0,0.0,6.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.67,10.47,8.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-582-5p,74.61,19.55,51.08,22.95,33.99,10.44,10.82,3.34,11.94,43.31,28.46,39.0,37.44,66.41,139.32,31.41,58.03,171.64,25.71,0.0,56.6,195.12,0.0,75.42,0.0
hsa-miR-584-5p,0.0,0.0,18.57,15.3,0.0,0.0,0.0,0.0,11.94,0.0,6.57,0.0,12.48,0.0,0.0,6.98,16.58,0.0,8.57,0.0,0.0,48.78,49.09,8.38,0.0
hsa-miR-589-5p,0.0,0.0,0.0,0.0,0.0,3.48,10.82,3.34,0.0,0.0,4.38,13.0,12.48,0.0,0.0,0.0,0.0,0.0,0.0,25.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-590-3p,31.98,32.58,88.23,61.21,33.99,31.33,0.0,10.02,0.0,21.66,56.91,65.0,24.96,83.01,151.99,31.41,33.16,80.77,34.27,0.0,0.0,73.17,0.0,58.66,0.0
hsa-miR-590-5p,21.32,22.8,41.79,22.95,0.0,17.4,0.0,0.0,0.0,0.0,32.83,0.0,74.88,99.61,75.99,13.96,16.58,20.19,25.71,0.0,0.0,24.39,0.0,75.42,0.0
hsa-miR-592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,0.0,0.0,0.0,10.1,8.57,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-598-3p,0.0,9.77,13.93,0.0,33.99,10.44,0.0,3.34,0.0,0.0,15.32,26.0,12.48,0.0,12.67,20.94,8.29,50.48,0.0,0.0,56.6,24.39,0.0,16.76,0.0
hsa-miR-598-5p,0.0,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-615-3p,10.66,42.35,27.86,22.95,0.0,59.17,0.0,10.02,11.94,43.31,48.16,52.0,24.96,49.81,0.0,6.98,41.45,70.68,17.14,125.71,207.53,24.39,0.0,58.66,0.0
hsa-miR-615-5p,0.0,0.0,0.0,0.0,0.0,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-616-5p,0.0,0.0,4.64,0.0,0.0,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.67,3.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-619-5p,0.0,0.0,4.64,0.0,0.0,0.0,10.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-624-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-624-5p,0.0,3.26,9.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-625-3p,0.0,0.0,18.57,0.0,0.0,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.78,0.0,0.0,0.0
hsa-miR-625-5p,0.0,3.26,0.0,0.0,0.0,0.0,0.0,3.34,0.0,0.0,2.19,0.0,0.0,16.6,12.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-627-3p,0.0,0.0,4.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-627-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.66,4.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.57,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-628-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.97,0.0,6.57,0.0,0.0,0.0,0.0,0.0,0.0,30.29,0.0,0.0,0.0,48.78,0.0,0.0,0.0
hsa-miR-628-5p,0.0,6.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.76,0.0,0.0,16.6,12.67,0.0,0.0,40.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-629-3p,0.0,0.0,9.29,0.0,0.0,6.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.57,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-629-5p,0.0,0.0,4.64,7.65,0.0,6.96,0.0,0.0,0.0,0.0,2.19,0.0,0.0,0.0,0.0,0.0,8.29,20.19,25.71,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-634,0.0,0.0,0.0,0.0,101.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-637,0.0,3.26,0.0,0.0,0.0,0.0,10.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-641,0.0,0.0,0.0,0.0,0.0,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,0.0,0.0,0.0,0.0,0.0,16.76,0.0
hsa-miR-642a-5p,0.0,3.26,0.0,0.0,0.0,0.0,0.0,0.0,11.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-643,0.0,0.0,0.0,0.0,0.0,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6511a-3p,0.0,0.0,0.0,0.0,0.0,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6511b-3p,0.0,0.0,4.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
