miRNA,SRR11413935,SRR11413936,SRR11413937,SRR11413938,SRR11413939,SRR11413940,SRR11413941,SRR11413942,SRR11413943,SRR11413944
hsa-miR-4449,0.0,0.37,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
hsa-miR-4463,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
hsa-miR-4466,0.0,0.0,0.24,1.5,0.31,0.0,0.11,0.23,0.12,0.0
hsa-miR-4467,0.0,1.23,0.0,0.0,0.0,2.57,1.11,0.0,0.49,0.62
hsa-miR-4470,0.24,0.12,1.21,0.0,0.84,0.12,0.78,0.0,0.37,0.0
hsa-miR-4473,0.0,0.25,1.34,26.28,0.52,1.96,2.77,0.0,0.0,4.96
hsa-miR-4474-3p,0.0,0.12,0.36,0.0,0.0,0.0,0.0,0.12,0.0,0.0
hsa-miR-4479,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0
hsa-miR-4482-3p,0.12,0.25,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.0
hsa-miR-4482-5p,0.12,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4484,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4485-3p,0.0,0.37,0.0,2.03,0.0,0.0,0.55,0.0,0.37,0.0
hsa-miR-4487,0.37,0.12,0.36,0.0,0.0,0.0,0.0,3.46,0.0,0.0
hsa-miR-4488,0.24,0.25,7.53,0.75,12.57,1.35,2.0,1.04,0.0,0.74
hsa-miR-4489,0.0,0.12,0.24,0.0,0.42,0.73,2.22,0.0,0.73,0.37
hsa-miR-4491,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4492,0.0,0.12,0.85,0.0,0.94,0.0,0.33,0.0,0.49,0.37
hsa-miR-4497,0.12,0.49,0.36,0.32,0.31,0.0,0.11,0.46,0.12,0.12
hsa-miR-4498,0.0,0.12,0.0,0.0,0.0,0.98,2.22,3.58,0.0,0.0
hsa-miR-449c-5p,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4504,0.24,0.25,0.12,2.35,0.73,0.0,2.55,1.5,0.0,2.6
