miRNA,SRR11605206,SRR11605207,SRR11605208,SRR11605209,SRR11605210,SRR11605211,SRR11605212,SRR11605213,SRR11605214,SRR11605215,SRR11605216,SRR11605217,SRR11605218,SRR11605219,SRR11605220,SRR11605221
hsa-miR-191-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-191-5p,48.0,38.0,25.0,25.0,42.0,55.0,94.0,53.0,637.0,308.0,207.0,199.0,333.0,181.0,166.0,185.0
hsa-miR-1910-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,1.0,0.0,0.0
hsa-miR-192-5p,63.0,74.0,187.0,233.0,7.0,0.0,15.0,2.0,71.0,22.0,36.0,28.0,43.0,49.0,51.0,39.0
hsa-miR-193a-5p,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0
hsa-miR-193b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,0.0,0.0,20.0,6.0,0.0,4.0
hsa-miR-193b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0
hsa-miR-195-5p,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-196a-5p,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-197-3p,2.0,7.0,14.0,8.0,0.0,0.0,0.0,0.0,25.0,8.0,35.0,15.0,22.0,13.0,0.0,9.0
hsa-miR-197-5p,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
hsa-miR-199a-3p,104.0,91.0,42.0,19.0,0.0,0.0,12.0,23.0,534.0,294.0,8.0,33.0,0.0,0.0,0.0,0.0
hsa-miR-199a-5p,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-199b-3p,11.0,18.0,0.0,54.0,0.0,0.0,9.0,7.0,23.0,69.0,26.0,19.0,0.0,0.0,0.0,0.0
hsa-miR-199b-5p,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0
hsa-miR-19a-3p,1.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,6.0,0.0,0.0,10.0,4.0,13.0,0.0,1.0
hsa-miR-19b-3p,0.0,0.0,14.0,1.0,1.0,1.0,0.0,6.0,11.0,3.0,1.0,2.0,53.0,26.0,26.0,16.0
hsa-miR-200a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,4.0,7.0
hsa-miR-200b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,4.0,21.0,0.0
hsa-miR-200c-3p,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,39.0,15.0,34.0
hsa-miR-203a-3p,6.0,0.0,3.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-204-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,9.0
hsa-miR-204-5p,0.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,61.0,38.0,50.0,47.0
hsa-miR-205-5p,12.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.0,188.0,281.0,240.0
hsa-miR-206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
hsa-miR-208b-3p,24.0,29.0,20.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-20a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
