miRNA,ERR7197456,ERR7197457,ERR7197458,ERR7197459,ERR7197460,ERR7197461
hsa-miR-185-3p,8.0,3.0,7.0,0.0,0.0,0.0
hsa-miR-185-5p,3958.0,3403.0,3104.0,1279.0,1538.0,1129.0
hsa-miR-186-3p,0.0,2.0,0.0,1.0,0.0,1.0
hsa-miR-186-5p,77628.0,63396.0,58620.0,1374.0,951.0,1029.0
hsa-miR-187-3p,27.0,32.0,21.0,0.0,0.0,1.0
hsa-miR-188-3p,5.0,4.0,5.0,0.0,0.0,0.0
hsa-miR-188-5p,101.0,96.0,91.0,1.0,1.0,2.0
hsa-miR-18a-3p,213.0,271.0,182.0,0.0,0.0,2.0
hsa-miR-18a-5p,5622.0,5465.0,4786.0,28.0,16.0,25.0
hsa-miR-18b-5p,84.0,38.0,187.0,4.0,1.0,4.0
hsa-miR-190a-3p,0.0,2.0,0.0,0.0,0.0,0.0
hsa-miR-190a-5p,534.0,396.0,358.0,2.0,0.0,1.0
hsa-miR-190b-5p,143.0,180.0,147.0,34.0,26.0,22.0
hsa-miR-191-3p,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-191-5p,30871.0,27759.0,26155.0,1216.0,1081.0,1115.0
hsa-miR-192-3p,8.0,3.0,3.0,0.0,0.0,0.0
hsa-miR-192-5p,5454.0,5181.0,5605.0,301.0,304.0,295.0
hsa-miR-193a-3p,61.0,95.0,131.0,2.0,1.0,0.0
hsa-miR-193a-5p,1.0,4.0,2.0,1.0,0.0,0.0
hsa-miR-193b-3p,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-193b-5p,5.0,4.0,4.0,1.0,1.0,0.0
hsa-miR-194-3p,0.0,12.0,0.0,0.0,1.0,0.0
hsa-miR-194-5p,3617.0,3275.0,3243.0,195.0,223.0,197.0
hsa-miR-195-3p,56.0,34.0,58.0,0.0,0.0,0.0
hsa-miR-195-5p,1260.0,1349.0,1222.0,11.0,13.0,15.0
hsa-miR-196a-3p,153.0,182.0,150.0,2.0,0.0,6.0
hsa-miR-196a-5p,16421.0,17099.0,15375.0,200.0,211.0,216.0
hsa-miR-196b-3p,0.0,1.0,1.0,1.0,7.0,1.0
hsa-miR-196b-5p,20.0,15.0,15.0,46.0,58.0,57.0
hsa-miR-197-3p,103.0,103.0,120.0,1.0,3.0,2.0
hsa-miR-199a-3p,146082.0,418256.0,80015.0,277.0,555.0,159.0
hsa-miR-199a-5p,63538.0,59160.0,54721.0,50.0,26.0,57.0
hsa-miR-199b-3p,251611.0,36422.0,340000.0,382.0,150.0,529.0
hsa-miR-199b-5p,2456.0,2206.0,1907.0,218.0,167.0,188.0
hsa-miR-19a-3p,9366.0,6978.0,4946.0,144.0,93.0,87.0
hsa-miR-19a-5p,2.0,5.0,6.0,0.0,0.0,0.0
hsa-miR-19b-1-5p,14.0,6.0,21.0,0.0,0.0,0.0
hsa-miR-19b-3p,35985.0,27203.0,19929.0,527.0,501.0,371.0
hsa-miR-200a-3p,247.0,223.0,279.0,5.0,7.0,4.0
hsa-miR-200b-3p,154.0,156.0,131.0,6.0,12.0,2.0
hsa-miR-200b-5p,0.0,2.0,0.0,0.0,1.0,0.0
hsa-miR-200c-3p,108.0,62.0,66.0,1.0,2.0,2.0
hsa-miR-202-5p,4.0,6.0,7.0,0.0,0.0,0.0
hsa-miR-203a-3p,2613.0,4031.0,4225.0,25.0,35.0,46.0
hsa-miR-204-3p,1.0,0.0,0.0,7.0,12.0,3.0
hsa-miR-204-5p,15.0,24.0,22.0,3.0,4.0,0.0
hsa-miR-205-5p,4.0,1.0,12.0,0.0,0.0,0.0
hsa-miR-2053,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-206,0.0,6.0,8.0,2.0,2.0,1.0
hsa-miR-208a-3p,0.0,1.0,1.0,0.0,0.0,0.0
hsa-miR-208b-3p,17.0,13.0,10.0,0.0,1.0,1.0
hsa-miR-20a-3p,17.0,16.0,10.0,2.0,0.0,1.0
hsa-miR-20a-5p,173919.0,149784.0,129950.0,1470.0,1461.0,1127.0
hsa-miR-20b-5p,0.0,2.0,0.0,0.0,0.0,0.0
hsa-miR-21-3p,8.0,12.0,11.0,0.0,0.0,0.0
hsa-miR-21-5p,846884.0,749213.0,709708.0,13992.0,15311.0,12566.0
hsa-miR-210-3p,755.0,774.0,763.0,78.0,103.0,85.0
hsa-miR-212-3p,4004.0,4181.0,4172.0,1.0,2.0,0.0
hsa-miR-212-5p,1512.0,1365.0,1233.0,0.0,0.0,1.0
hsa-miR-214-3p,1778.0,1365.0,760.0,1.0,13.0,19.0
hsa-miR-214-5p,794.0,850.0,883.0,0.0,0.0,0.0
hsa-miR-215-5p,325.0,303.0,282.0,41.0,39.0,47.0
hsa-miR-216b-5p,0.0,1.0,2.0,1.0,0.0,0.0
hsa-miR-217-3p,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-217-5p,0.0,0.0,0.0,0.0,4.0,2.0
hsa-miR-218-1-3p,269.0,265.0,289.0,0.0,0.0,0.0
hsa-miR-218-2-3p,212.0,262.0,233.0,0.0,0.0,0.0
hsa-miR-218-5p,121044.0,103428.0,113237.0,4.0,3.0,3.0
hsa-miR-219a-2-3p,0.0,0.0,2.0,0.0,0.0,0.0
hsa-miR-219a-5p,992.0,952.0,907.0,84.0,92.0,52.0
hsa-miR-219b-3p,2.0,10.0,16.0,0.0,0.0,0.0
hsa-miR-219b-5p,1.0,0.0,8.0,0.0,0.0,0.0
hsa-miR-22-3p,46796.0,61312.0,58238.0,2022.0,2449.0,2130.0
hsa-miR-22-5p,392.0,439.0,411.0,65.0,66.0,53.0
hsa-miR-221-3p,584.0,470.0,401.0,2032.0,2016.0,1783.0
hsa-miR-221-5p,15.0,12.0,11.0,29.0,35.0,33.0
hsa-miR-222-3p,53.0,52.0,63.0,249.0,255.0,200.0
hsa-miR-222-5p,0.0,0.0,1.0,8.0,3.0,4.0
hsa-miR-223-3p,767.0,735.0,687.0,180.0,193.0,156.0
hsa-miR-223-5p,53.0,32.0,34.0,2.0,1.0,2.0
hsa-miR-224-5p,90.0,96.0,73.0,13.0,17.0,10.0
hsa-miR-2355-3p,1.0,3.0,0.0,0.0,1.0,0.0
hsa-miR-2355-5p,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-23a-3p,65581.0,62387.0,53023.0,2363.0,2659.0,2206.0
hsa-miR-23a-5p,0.0,5.0,0.0,6.0,6.0,4.0
hsa-miR-23b-3p,26796.0,24036.0,30903.0,163.0,124.0,222.0
hsa-miR-23b-5p,19.0,9.0,20.0,0.0,0.0,0.0
hsa-miR-23c,8.0,26.0,18.0,0.0,0.0,0.0
hsa-miR-24-1-5p,204.0,270.0,154.0,0.0,1.0,1.0
hsa-miR-24-2-5p,758.0,1057.0,958.0,13.0,12.0,21.0
hsa-miR-24-3p,128403.0,166735.0,20065.0,1838.0,2635.0,594.0
hsa-miR-25-3p,36972.0,36161.0,35291.0,905.0,1151.0,861.0
hsa-miR-25-5p,49.0,81.0,61.0,9.0,2.0,3.0
hsa-miR-26a-1-3p,3.0,6.0,4.0,0.0,0.0,0.0
hsa-miR-26a-2-3p,14.0,8.0,11.0,1.0,0.0,0.0
hsa-miR-26a-5p,89588.0,79401.0,78459.0,2433.0,2282.0,2147.0
hsa-miR-26b-3p,50.0,40.0,25.0,0.0,0.0,1.0
hsa-miR-26b-5p,37447.0,35363.0,33888.0,609.0,589.0,546.0
hsa-miR-27a-3p,24609.0,27495.0,33328.0,1396.0,1487.0,1177.0
hsa-miR-27a-5p,37.0,49.0,43.0,6.0,0.0,1.0
hsa-miR-27b-3p,441581.0,422968.0,398018.0,1474.0,1604.0,1877.0
hsa-miR-27b-5p,310.0,305.0,272.0,0.0,2.0,0.0
hsa-miR-28-3p,37.0,59.0,75.0,36.0,34.0,55.0
hsa-miR-28-5p,1552.0,1700.0,1683.0,70.0,63.0,71.0
hsa-miR-296-3p,479.0,538.0,510.0,8.0,11.0,8.0
hsa-miR-296-5p,3649.0,4002.0,3482.0,5.0,4.0,9.0
hsa-miR-297,595.0,473.0,438.0,0.0,0.0,0.0
hsa-miR-299-5p,38.0,39.0,34.0,2.0,6.0,4.0
hsa-miR-29a-3p,115872.0,123584.0,114494.0,1064.0,1136.0,1034.0
hsa-miR-29a-5p,393.0,376.0,313.0,0.0,2.0,2.0
