miRNA,ERR11011318,ERR11011319,ERR11011320,ERR11011321,ERR11011322,ERR11011323,ERR11011324,ERR11011325,ERR11011326
hsa-miR-486-5p,0.0,20.93,93.93,25.7,280.29,292.06,127.32,1.81,113.51
hsa-miR-499a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.36,0.0
hsa-miR-501-3p,3.25,0.0,63.19,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5192,0.0,0.0,0.0,0.0,0.0,8.47,0.0,0.0,0.0
hsa-miR-520d-3p,4.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-532-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55
hsa-miR-542-3p,0.81,32.34,0.0,0.0,62.92,0.0,0.0,32.61,55.98
hsa-miR-548ad-5p,5.68,36.15,0.0,6.05,0.0,25.4,763.94,99.64,32.65
hsa-miR-548at-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,0.0
hsa-miR-548f-3p,0.0,0.0,0.0,0.0,0.0,0.0,127.32,0.0,0.0
hsa-miR-5588-5p,0.81,1.9,0.0,0.0,0.0,21.16,127.32,1.81,0.0
hsa-miR-5698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55
hsa-miR-584-5p,0.81,49.47,58.07,10.58,74.36,59.26,127.32,0.0,1.55
hsa-miR-628-3p,13.8,11.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-628-5p,7.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6514-5p,0.0,0.0,0.0,0.0,0.0,21.16,0.0,0.0,0.0
hsa-miR-652-3p,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55
hsa-miR-659-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.09
hsa-miR-664a-3p,0.0,41.86,32.45,36.29,62.92,0.0,127.32,68.84,59.09
hsa-miR-664a-5p,25.17,110.35,121.26,71.06,145.87,232.8,254.65,367.77,306.33
hsa-miR-671-5p,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6724-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.62,0.0
hsa-miR-6731-5p,0.0,0.0,30.74,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6734-5p,0.0,0.0,0.0,9.07,0.0,110.05,0.0,0.0,0.0
hsa-miR-6744-3p,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6777-5p,5.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6803-5p,0.0,0.0,32.45,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6806-3p,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6833-5p,0.0,5.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6867-5p,0.0,0.0,104.18,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6873-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55
hsa-miR-7107-5p,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-744-5p,8.93,0.0,0.0,0.0,0.0,0.0,127.32,0.0,0.0
hsa-miR-765,0.0,7.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-769-3p,0.0,0.0,0.0,0.0,5.72,0.0,0.0,0.0,0.0
hsa-miR-7851-3p,6.5,0.0,0.0,0.0,0.0,33.86,0.0,0.0,0.0
hsa-miR-8485,0.0,0.0,0.0,0.0,0.0,4.23,0.0,0.0,0.0
hsa-miR-9-3p,0.81,0.0,0.0,0.0,2.86,4.23,0.0,10.87,0.0
hsa-miR-92a-3p,10.56,24.73,23.91,60.48,5.72,21.16,0.0,70.66,54.42
hsa-miR-93-5p,2.44,3.81,6.83,3.02,8.58,12.7,254.65,9.06,6.22
hsa-miR-941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,0.0
hsa-miR-95-5p,0.0,0.0,20.49,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-1268a-5p,1.62,1.9,1.71,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-1273c-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.77
hsa-mir-1303-3p,0.0,0.0,0.0,0.0,0.0,4.23,0.0,0.0,0.0
hsa-mir-3135b-5p,7.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-3159-5p,21.92,0.0,0.0,22.68,0.0,0.0,0.0,19.93,0.0
hsa-mir-3167-3p,8.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-3908-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,0.0
hsa-mir-3929-3p,19.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-3936-3p,0.0,0.0,0.0,27.22,0.0,0.0,0.0,0.0,0.0
hsa-mir-4320-3p,8.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4421-3p,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4460-5p,4.87,5.71,0.0,0.0,0.0,29.63,0.0,0.0,0.0
hsa-mir-558-3p,4.87,9.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-567-5p,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-5684-5p,8.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-5708-5p,17.05,0.0,0.0,40.82,0.0,0.0,0.0,0.0,0.0
hsa-mir-571-3p,6.5,0.0,0.0,34.78,0.0,0.0,0.0,0.0,0.0
hsa-mir-7851-3p,121.81,0.0,0.0,24.19,0.0,4.23,0.0,16.31,63.75
hsa-mir-8086-5p,21.11,0.0,1.71,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-9902-2-5p,0.0,0.0,0.0,3.02,0.0,0.0,0.0,0.0,0.0
