miRNA,SRR10531357,SRR10531358,SRR10531359,SRR10531360,SRR10531361,SRR10531362,SRR10531363,SRR10531364,SRR10531365,SRR10531366,SRR10531367,SRR10531368,SRR10531369,SRR10531370,SRR10531371,SRR10531372,SRR10531373,SRR10531374,SRR10531375,SRR10531376,SRR10531377,SRR10531378,SRR10531379,SRR10531380,SRR10531381,SRR10531382,SRR10531383,SRR10531384,SRR10531385,SRR10531386,SRR10531387,SRR10531388,SRR10531389,SRR10531390,SRR10531391,SRR10531392,SRR10531393,SRR10531394
hsa-miR-549a-3p,0.0,0.0,0.01,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.01,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-550a-3-5p,0.02,0.0,0.01,0.07,0.0,0.0,4.64,0.88,0.72,0.21,2.5,1.47,3.8,0.37,0.73,0.04,0.07,0.0,0.06,0.13,0.09,0.11,0.01,0.0,0.27,0.03,1.12,0.0,0.01,0.62,0.03,0.0,0.04,0.3,0.0,0.71,0.16,0.19
hsa-miR-550a-5p,0.0,0.0,0.01,1.4,0.0,1.84,0.0,12.3,0.05,3.94,32.82,27.25,37.62,11.05,0.17,0.0,0.0,0.0,0.03,1.24,0.1,0.01,0.0,0.02,0.04,0.77,0.04,0.01,0.01,0.01,0.0,0.0,0.19,0.01,0.0,10.54,0.49,0.17
hsa-miR-550b-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-551b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.69,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-552-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.44,3.4,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-552-5p,0.0,0.0,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0
hsa-miR-5584-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.03,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.04,0.03,0.0,0.0
hsa-miR-5585-3p,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5587-3p,0.0,0.0,0.0,0.02,0.0,0.0,0.0,1.95,0.0,1.17,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5588-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5588-5p,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.05,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.14,0.0
hsa-miR-5691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5695,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.01,0.0,0.0,0.01,0.0,0.0,0.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08
hsa-miR-5698,0.08,0.06,28.88,0.01,1.99,1.22,3.68,0.0,0.01,3.44,0.01,0.0,0.0,0.0,0.0,0.0,1.18,0.01,0.03,0.0,0.01,1.43,0.89,0.97,0.05,2.77,2.49,0.99,0.05,2.04,1.53,1.13,1.59,0.04,2.08,0.1,0.06,0.19
hsa-miR-5699-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-574-3p,2.83,3.7,3.4,1.47,0.06,1.6,0.13,5.72,6.97,2.84,6.52,6.48,2.63,2.29,0.61,2.68,1.08,5.26,0.1,0.13,1.17,2.88,1.11,5.84,4.43,0.15,0.97,3.16,5.07,1.99,1.26,2.54,0.05,1.54,2.77,1.21,5.36,1.24
hsa-miR-574-5p,15.32,3.95,12.23,13.54,10.11,4.07,24.95,4.69,1.65,14.96,14.59,21.78,5.99,28.43,5.69,5.36,5.0,8.75,8.06,6.89,9.35,9.38,5.88,11.07,5.21,8.82,1.81,2.36,0.13,4.08,9.42,3.42,5.45,2.83,2.06,9.52,6.75,1.74
hsa-miR-576-3p,0.23,1.28,0.13,9.6,5.82,1.65,39.49,29.43,17.23,7.09,25.02,16.87,39.15,18.68,3.61,8.9,1.87,0.07,1.45,4.24,1.97,3.06,2.61,6.12,7.1,5.25,4.19,7.41,4.47,3.73,6.01,4.5,0.89,9.61,4.03,6.26,5.98,8.57
hsa-miR-576-5p,0.02,0.01,0.04,0.01,0.0,0.01,3.73,0.01,1.88,0.01,0.01,0.0,0.0,2.62,0.74,0.01,0.0,0.0,0.02,0.0,0.71,0.0,0.0,4.66,0.0,0.04,0.0,0.01,2.61,2.83,0.01,2.37,0.01,0.04,0.03,0.05,0.02,0.02
hsa-miR-579-5p,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,4.11,0.0,0.04
hsa-miR-581,0.02,0.01,0.04,0.01,0.02,0.0,0.01,2.67,0.0,2.6,0.16,3.63,2.18,0.0,1.44,1.69,1.21,0.01,0.0,0.01,0.05,3.04,1.62,1.03,0.02,0.03,0.82,1.03,1.1,2.09,0.38,0.0,0.0,1.64,0.55,0.0,0.18,0.23
hsa-miR-582-3p,21.91,13.21,24.49,7.74,27.72,4.28,131.42,53.35,22.83,18.14,36.16,96.6,24.08,135.35,8.81,11.87,6.49,2.96,9.96,10.62,6.47,4.25,39.44,51.93,11.73,25.01,29.55,22.04,17.54,30.85,7.33,31.28,22.22,26.76,27.75,21.29,28.66,29.16
hsa-miR-584-5p,11.97,43.8,15.54,92.15,49.33,12.44,302.49,418.28,209.08,542.38,526.27,575.03,985.4,461.17,59.36,33.37,22.36,43.71,21.86,42.63,55.86,35.71,32.67,24.48,44.6,22.38,39.71,35.12,40.3,46.88,55.33,54.26,44.3,67.24,44.3,115.22,48.92,31.93
hsa-miR-589-5p,23.89,17.28,16.5,9.35,31.8,7.21,7.8,23.57,3.22,43.61,18.36,19.13,13.55,62.43,16.43,26.29,31.28,7.85,13.48,7.37,22.58,56.36,41.85,9.78,26.38,8.76,30.63,27.98,41.58,36.23,43.91,21.56,11.52,37.9,33.97,6.72,12.16,13.0
hsa-miR-597-3p,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.62,0.0,0.0,0.86,0.04,0.0,0.0,0.0,0.5,0.13,0.0,0.01,0.0,0.66,0.0,0.0,0.04
hsa-miR-598-3p,0.0,0.0,0.0,0.01,0.02,0.01,3.61,0.0,0.0,0.0,0.0,0.0,0.01,2.47,0.0,0.0,0.0,0.0,1.85,0.01,0.01,0.0,0.0,1.14,0.02,0.31,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.0,0.26,0.06,0.1
hsa-miR-598-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-605-3p,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.32,0.21,0.0,0.0,0.0,0.0,0.03,0.0,0.0
hsa-miR-605-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-607,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.07,0.01,0.03,0.05,0.07,0.13,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-609,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
