miRNA,ERR10658906,ERR10658907,ERR10658908,ERR10658909,ERR10658910,ERR10658911
hsa-miR-218-5p,8.61,27.47,51.15,19.21,59.55,21.55
hsa-miR-219a-1-3p,0.1,0.21,0.2,0.0,0.79,0.25
hsa-miR-219a-2-3p,0.84,16.69,0.98,25.86,39.7,1.75
hsa-miR-219a-5p,2.31,1.06,2.35,2.22,13.5,2.51
hsa-miR-22-3p,22.47,90.86,131.49,2.22,180.25,14.04
hsa-miR-22-5p,0.84,16.27,34.88,0.74,0.0,2.76
hsa-miR-221-3p,648.72,1972.5,2050.99,715.91,578.08,598.25
hsa-miR-221-5p,33.28,141.15,128.75,1.48,76.23,14.79
hsa-miR-222-3p,83.05,352.87,506.77,164.75,320.01,105.26
hsa-miR-222-5p,10.39,5.92,2.74,0.0,22.23,0.0
hsa-miR-223-3p,0.0,4.86,4.12,0.0,19.85,10.78
hsa-miR-224-5p,7.87,53.04,47.42,50.98,0.0,53.13
hsa-miR-2277-3p,0.0,1.9,0.59,0.0,0.0,0.0
hsa-miR-2355-3p,0.0,2.96,4.51,0.0,0.0,0.0
hsa-miR-2355-5p,0.0,1.69,0.0,0.0,0.0,0.0
hsa-miR-23a-3p,180.05,417.74,398.6,142.59,381.94,233.84
hsa-miR-23a-5p,0.0,3.38,9.8,0.0,0.0,0.0
hsa-miR-23b-3p,75.17,209.61,171.47,129.29,307.3,84.71
hsa-miR-23b-5p,0.0,6.34,5.29,0.0,0.0,13.28
hsa-miR-23c,0.0,0.0,0.0,0.74,0.0,0.0
hsa-miR-24-3p,46.93,117.69,225.36,42.11,44.47,99.25
hsa-miR-25-3p,82.63,246.38,296.11,359.8,111.96,162.91
hsa-miR-25-5p,0.84,12.04,4.12,1.48,4.76,5.01
hsa-miR-2682-3p,2.94,4.01,0.2,42.85,0.0,0.0
hsa-miR-26a-2-3p,0.0,1.27,4.31,0.0,0.0,0.0
hsa-miR-26a-5p,148.66,674.9,750.36,478.75,231.07,440.86
hsa-miR-26b-3p,0.0,0.0,0.0,0.0,0.79,0.0
hsa-miR-26b-5p,104.88,306.18,261.03,92.35,229.48,210.78
hsa-miR-27a-3p,19.0,87.48,73.68,0.74,31.76,39.35
hsa-miR-27a-5p,0.0,2.11,8.03,0.0,0.0,0.0
hsa-miR-27b-3p,159.79,347.38,427.01,294.79,250.13,446.37
hsa-miR-27b-5p,0.0,0.42,0.0,0.0,42.88,0.0
hsa-miR-28-3p,30.45,132.91,128.16,102.69,36.53,68.42
hsa-miR-28-5p,0.0,2.96,0.0,0.0,0.0,0.25
hsa-miR-296-3p,1.78,6.97,17.25,0.0,1.59,9.02
hsa-miR-296-5p,4.09,8.24,11.17,1.48,1.59,0.0
hsa-miR-299-3p,0.0,6.34,0.0,0.0,0.0,0.0
hsa-miR-299-5p,6.72,23.45,37.23,0.0,0.0,0.0
hsa-miR-29a-3p,473.5,2118.93,2457.62,439.59,242.19,636.6
hsa-miR-29a-5p,0.0,1.9,6.47,0.0,0.0,0.0
hsa-miR-29b-1-5p,3.15,2.75,0.2,0.0,0.0,0.0
hsa-miR-29b-3p,5.35,90.23,106.02,59.84,10.32,28.82
hsa-miR-29c-3p,0.42,22.19,11.95,3.69,3.97,5.51
hsa-miR-29c-5p,0.0,0.21,0.2,0.0,0.0,0.0
hsa-miR-301a-3p,0.1,3.38,0.59,0.0,4.76,0.25
hsa-miR-301a-5p,0.0,2.11,0.0,0.0,0.0,0.0
hsa-miR-301b-3p,0.31,0.0,0.0,2.22,1.59,0.25
hsa-miR-302b-3p,0.0,1.48,4.51,0.0,0.0,0.0
hsa-miR-302c-3p,0.0,3.59,0.0,0.0,0.0,0.0
hsa-miR-3065-3p,0.0,1.69,0.0,58.37,0.79,0.0
