miRNA,SRR24949599,SRR24949600,SRR24949603,SRR24949604,SRR24949605,SRR24949606,SRR24949607,SRR24949608,SRR24949609,SRR24949610,SRR24949611,SRR24949612,SRR24949613,SRR24949614
hsa-miR-34a-5p,97.62,0.0,0.0,0.0,0.0,0.0,47.87,24.32,19.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-361-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.8,0.0,0.0,0.0
hsa-miR-3620-3p,0.0,0.0,0.0,0.0,0.0,24.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3620-5p,0.0,0.0,0.0,0.0,50.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-365b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.32,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3679-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-374a-3p,0.0,0.0,0.0,0.0,0.0,24.99,47.87,24.32,37.99,5.2,0.0,0.0,27.82,55.63
hsa-miR-376a-5p,0.0,0.0,0.0,0.0,0.0,24.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-378a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.96,0.0,10.4,0.0,0.0,0.0,0.0
hsa-miR-3940-5p,0.0,0.0,0.0,0.0,50.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-424-5p,0.0,0.0,0.0,50.12,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,18.54
hsa-miR-425-5p,0.0,0.0,14.03,0.0,0.0,0.0,47.87,24.32,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.99,52.02,33.8,58.37,37.09,0.0
hsa-miR-455-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,5.2,0.0,0.0,0.0,0.0
hsa-miR-4739,0.0,0.0,0.0,0.0,50.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4750-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4758-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0
hsa-miR-500a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.6,0.0,0.0,0.0
hsa-miR-501-5p,0.0,0.0,0.0,0.0,50.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.54
hsa-miR-503-5p,0.0,0.0,14.03,0.0,0.0,0.0,0.0,24.32,0.0,5.2,0.0,0.0,0.0,18.54
hsa-miR-5094,0.0,43.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-574-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,29.18,0.0,0.0
hsa-miR-584-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,67.6,58.37,9.27,0.0
hsa-miR-589-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.54
hsa-miR-590-5p,0.0,0.0,0.0,0.0,0.0,0.0,47.87,0.0,0.0,5.2,0.0,0.0,0.0,0.0
hsa-miR-602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0
hsa-miR-629-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0
hsa-miR-651-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,9.27,0.0
hsa-miR-6511a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.27,0.0
hsa-miR-6516-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,29.18,18.55,0.0
hsa-miR-671-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.32,0.0,26.01,0.0,29.18,27.82,0.0
hsa-miR-6741-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6763-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.27,0.0
hsa-miR-6797-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0
hsa-miR-6805-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6891-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.18,0.0,0.0
hsa-miR-7-5p,0.0,0.0,0.0,0.0,0.0,24.99,0.0,0.0,19.0,20.81,0.0,0.0,27.82,18.54
hsa-miR-744-5p,0.0,0.0,14.03,0.0,0.0,0.0,47.87,24.32,94.98,10.4,0.0,0.0,18.55,0.0
hsa-miR-766-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.27,0.0
hsa-miR-769-5p,0.0,0.0,0.0,50.12,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,9.27,0.0
hsa-miR-9-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.99,15.61,0.0,0.0,27.82,55.63
hsa-miR-92b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,5.2,0.0,0.0,9.27,0.0
hsa-miR-93-5p,97.62,0.0,14.03,50.12,0.0,24.99,0.0,0.0,19.0,20.81,0.0,0.0,18.55,0.0
hsa-miR-96-5p,0.0,43.91,56.12,0.0,0.0,74.98,47.87,72.96,19.0,10.4,0.0,0.0,37.09,74.18
hsa-miR-98-5p,0.0,0.0,0.0,50.12,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,18.55,18.54
hsa-mir-3138-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.32,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-3611-3p,0.0,0.0,14.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-3618-3p,0.0,0.0,0.0,0.0,0.0,0.0,47.87,24.32,19.0,20.81,0.0,0.0,9.27,18.54
hsa-mir-429-3p,0.0,0.0,14.03,0.0,100.5,24.99,0.0,0.0,37.99,0.0,33.8,0.0,9.27,18.54
hsa-mir-662-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.8,0.0,0.0,0.0
hsa-mir-7706-3p,0.0,0.0,14.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
