miRNA,GSM4647569,GSM4647570,GSM4647571,GSM4647572,GSM4647573,GSM4647574,GSM4647575,GSM4647576,GSM4647577,GSM4647578,GSM4647579
hsa-mir-421-3p,0.0,3.71,0.0,0.0,0.0,0.0,5.12,0.0,0.0,6.8,0.0
hsa-mir-4295-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0
hsa-mir-4296-5p,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0
hsa-mir-4430-5p,0.0,0.0,0.0,0.0,2.66,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4460-5p,29.63,0.0,0.0,3.35,0.0,4.06,0.0,0.0,4.17,0.52,0.0
hsa-mir-4479-3p,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4533-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.21,0.0,0.0
hsa-mir-4656-5p,0.0,0.0,2.77,0.0,0.0,0.0,0.0,7.03,0.0,0.0,0.0
hsa-mir-4678-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0
hsa-mir-4706-5p,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0
hsa-mir-4729-5p,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-5190-3p,0.0,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-527-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14,0.0
hsa-mir-548h-1-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.88
hsa-mir-548y-5p,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-558-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0
hsa-mir-5692b-5p,0.0,0.0,0.0,0.0,0.0,5.23,0.0,0.0,0.0,0.0,0.0
hsa-mir-5695-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29
hsa-mir-5708-5p,0.0,5.57,0.0,0.0,4.66,2.9,0.0,0.0,2.09,0.0,0.0
hsa-mir-571-3p,2.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-575-3p,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-577-5p,0.0,0.0,0.0,3.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-587-5p,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-6127-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29
hsa-mir-613-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.21,0.0,0.0
hsa-mir-6165-5p,0.0,0.0,0.0,0.0,0.0,4.65,0.0,0.0,0.0,0.0,0.0
hsa-mir-645-3p,0.0,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-663a-5p,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-760-3p,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0
hsa-mir-7849-3p,0.0,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.0,2.62,0.0
hsa-mir-7851-3p,49.83,30.32,45.03,18.97,17.29,62.13,11.09,0.0,34.41,28.77,27.18
hsa-mir-8059-5p,0.0,6.81,6.24,0.0,2.66,0.0,0.0,0.0,1.04,0.0,0.0
hsa-mir-8086-5p,1.35,0.0,0.0,0.0,3.99,0.0,15.35,0.0,0.0,0.0,0.0
hsa-mir-8485-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18,0.0
hsa-mir-935-3p,0.0,0.0,0.0,3.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-9902-1-5p,0.0,0.0,0.0,0.0,0.0,3.48,0.85,0.0,0.0,0.0,0.0
hsa-mir-9902-2-5p,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.17,0.0,0.0
