miRNA,SRR21314445,SRR21314444,SRR21314443,SRR21314442,SRR21314441,SRR21314440,SRR21314439,SRR21314438,SRR21314437
hsa-miR-6883-5p,0.0,0.36,0.0,0.34,0.0,0.0,0.0,0.0,0.0
hsa-miR-7110-3p,0.33,1.09,0.0,0.0,0.0,0.0,0.0,0.26,0.0
hsa-miR-744-5p,0.33,0.73,0.0,1.01,0.28,0.24,0.3,0.0,0.0
hsa-miR-760,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.26,0.0
hsa-miR-7704,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0
hsa-miR-8069,1.3,0.36,0.0,0.34,1.67,0.24,0.0,0.26,0.34
hsa-miR-9-3p,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-92a-3p,0.33,0.0,0.56,0.0,0.0,0.97,0.0,0.0,1.02
hsa-miR-93-5p,0.0,0.0,0.0,0.68,0.0,0.0,0.3,0.0,0.34
hsa-miR-937-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0
hsa-miR-941,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-99a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
hsa-mir-1181-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68
hsa-mir-12136-5p,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-1285-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34
hsa-mir-1291-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0
hsa-mir-1303-3p,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-3135b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
hsa-mir-3155a-3p,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0
hsa-mir-3159-5p,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.34
hsa-mir-3648-1-5p,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.34
hsa-mir-3648-2-5p,0.0,0.0,0.28,0.0,0.0,0.24,0.3,0.0,0.0
hsa-mir-3652-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34
hsa-mir-4259-3p,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4270-5p,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4492-3p,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0
hsa-mir-5094-5p,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-548bc-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34
hsa-mir-5705-3p,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-572-3p,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0
hsa-mir-601-5p,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-6080-3p,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-640-3p,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0
hsa-mir-657-3p,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0
hsa-mir-663a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.26,0.68
hsa-mir-8086-5p,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.51,0.0
