miRNA,ERR1736309,ERR1736310,ERR1736311,ERR1736312,ERR1736313,ERR1736314,ERR1736315,ERR1736316,ERR1736317,ERR1736318,ERR1736319,ERR1736320,ERR1736321,ERR1736322,ERR1736323,ERR1736324,ERR1736325,ERR1736326,ERR1736327,ERR1736328,ERR1736329,ERR1736330,ERR1736331,ERR1736332,ERR1736333,ERR1736334,ERR1736335,ERR1736336,ERR1736337,ERR1736338,ERR1736339
hsa-miR-17-3p,74.81,41.64,45.5,54.24,49.42,51.59,20.78,30.93,43.83,24.06,93.57,46.0,33.71,73.93,101.18,40.77,80.6,12.0,45.57,46.75,29.26,69.62,46.41,86.4,11.25,134.32,100.47,63.77,15.69,0.0,45.73
hsa-miR-17-5p,80.16,73.66,136.49,162.73,49.42,154.77,124.7,61.85,14.61,48.13,142.81,223.43,134.86,295.74,50.59,142.69,107.47,95.96,0.0,35.06,114.1,92.83,133.42,172.8,89.96,268.64,150.7,159.42,78.44,156.76,36.32
hsa-miR-181a-2-3p,64.12,48.04,53.77,40.68,0.0,154.77,83.13,216.48,43.83,0.0,78.79,151.15,64.06,0.0,50.59,101.92,107.47,59.98,45.57,93.5,38.03,77.35,98.62,54.98,44.98,89.55,50.23,127.53,47.07,42.75,103.57
hsa-miR-181a-3p,21.37,25.62,4.14,27.12,0.0,0.0,62.35,0.0,73.05,36.1,54.17,52.57,33.71,0.0,101.18,40.77,0.0,12.0,45.57,35.06,14.63,30.94,63.81,47.13,11.25,44.77,25.12,95.65,15.69,57.01,65.91
hsa-miR-181a-5p,3270.33,3708.82,2609.83,3024.02,3113.26,6087.81,8999.27,5010.05,5668.95,3296.76,5146.19,11638.3,4635.81,5286.31,7133.1,14288.92,9000.3,5685.77,4648.62,6895.67,5058.54,5623.67,8248.98,8239.28,2721.3,6850.24,6204.0,8289.76,7875.75,8892.82,9551.48
hsa-miR-181b-2-3p,0.0,3.2,4.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-181b-3p,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-181b-5p,133.59,112.1,95.13,67.8,148.25,154.77,311.75,216.48,277.6,96.26,142.81,407.44,111.26,73.93,252.95,468.82,698.53,119.95,319.02,128.56,149.21,177.92,290.05,471.26,89.96,134.32,226.06,223.19,360.84,142.51,256.91
hsa-miR-181c-3p,5.34,6.41,4.14,13.56,0.0,51.59,20.78,0.0,29.22,0.0,44.32,78.86,3.37,36.97,0.0,61.15,53.73,0.0,0.0,11.69,17.55,7.74,23.2,39.27,0.0,0.0,25.12,95.65,0.0,0.0,16.14
hsa-miR-181c-5p,80.16,92.88,41.36,54.24,98.83,206.37,124.7,154.63,409.1,24.06,93.57,322.01,158.46,221.8,101.18,163.07,107.47,47.98,45.57,105.19,111.18,116.03,214.64,204.21,123.7,89.55,125.59,223.19,313.77,199.52,174.86
hsa-miR-181d-5p,0.0,3.2,0.0,0.0,49.42,0.0,0.0,0.0,0.0,0.0,9.85,13.14,16.86,0.0,0.0,0.0,0.0,0.0,45.57,0.0,2.93,7.74,17.4,47.13,0.0,0.0,25.12,0.0,0.0,42.75,8.07
hsa-miR-182-5p,1522.95,1819.18,835.48,949.24,889.5,1186.61,768.99,958.71,1563.34,541.44,1117.88,1288.03,1126.08,1035.08,1011.79,1202.63,725.4,1823.29,1868.56,1215.51,1506.74,1229.94,1270.41,1154.6,629.72,3089.32,1105.17,2678.23,2965.17,783.82,1072.04
hsa-miR-183-3p,10.69,6.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35
hsa-miR-183-5p,85.5,67.26,28.95,54.24,49.42,51.59,0.0,61.85,43.83,0.0,59.09,65.72,64.06,36.97,0.0,0.0,0.0,71.97,91.15,46.75,61.44,23.21,52.21,54.98,11.25,134.32,0.0,159.42,125.51,14.25,37.66
hsa-miR-1843,26.72,25.62,28.95,0.0,0.0,0.0,20.78,0.0,29.22,12.03,19.7,65.72,23.6,0.0,50.59,0.0,0.0,0.0,0.0,58.44,17.55,7.74,34.81,47.13,11.25,0.0,25.12,31.88,62.75,28.5,24.21
hsa-miR-185-3p,10.69,9.61,16.54,13.56,0.0,0.0,0.0,30.93,0.0,12.03,19.7,6.57,10.11,0.0,0.0,20.38,0.0,12.0,45.57,11.69,2.93,0.0,29.0,54.98,0.0,0.0,0.0,0.0,0.0,0.0,8.07
