miRNA,SRR12004720,SRR12004721,SRR12004722,SRR12004723,SRR12004724,SRR12004725,SRR12004726,SRR12004727,SRR12004728,SRR12004729,SRR12004730,SRR12004731,SRR12004732,SRR12004733,SRR12004734,SRR12004735,SRR12004736,SRR12004737,SRR12004738,SRR12004739,SRR12004740,SRR12004741,SRR12004742,SRR12004743,SRR12004744,SRR12004745,SRR12004746,SRR12004747,SRR12004748,SRR12004749,SRR12004750,SRR12004751,SRR12004752,SRR12004753,SRR12004754,SRR12004755
hsa-miR-23b-3p,238.06,192.6,83.53,147.2,52.19,144.22,182.77,97.66,68.54,110.33,57.38,345.75,17.74,120.2,1143.39,185.94,577.59,194.14,134.11,1885.07,106.45,80.22,239.06,74.66,0.0,341.74,151.23,0.0,125.25,160.22,147.51,208.03,56.08,67.8,91.59,207.62
hsa-miR-23b-5p,9.65,0.0,0.0,0.0,0.0,0.0,0.0,61.04,0.0,0.0,0.0,0.0,34.88,5.2,0.0,0.0,4.73,0.0,0.0,0.0,0.0,0.0,0.0,25.64,33.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.74,12.11,46.42,0.0
hsa-miR-23c,0.0,0.0,0.0,1.17,0.0,1.32,0.0,0.0,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21
hsa-miR-24-2-5p,0.0,0.0,0.0,0.0,0.0,42.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.76,0.0,0.0,3.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-24-3p,2129.66,74.81,882.39,2072.44,2596.82,1341.66,2453.74,3237.76,3712.83,1021.11,955.3,34.54,449.29,32.36,4175.93,1.23,11.34,8.41,110.11,6761.94,977.76,1852.68,4577.31,33.18,800.4,3362.31,1859.59,3238.24,2282.34,3729.87,64.32,45.52,2.12,3733.74,1089.08,3897.7
hsa-miR-25-3p,1090.57,1090.33,712.97,497.67,533.19,1282.12,755.09,1401.64,904.56,639.66,828.12,1521.88,895.62,121.36,900.56,541.8,735.45,1111.32,1232.41,1291.43,550.88,1423.39,1519.44,1238.98,627.46,998.28,656.61,1357.55,746.28,1629.76,966.56,1405.49,1000.94,992.76,395.23,1345.91
hsa-miR-25-5p,90.08,0.0,0.0,35.05,0.0,0.0,0.0,0.0,33.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,18.28,7.54,22.96,0.0,0.0,0.0,0.0,28.01,0.0,0.0,0.0,0.0,0.0,54.32
hsa-miR-26a-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.96,0.0,0.0,0.0
hsa-miR-26a-5p,6746.06,9976.94,1976.55,1929.91,3981.98,2427.95,3422.45,12889.45,2244.49,4425.99,5254.62,6553.02,3986.85,1713.47,10720.93,6364.89,21162.74,11782.78,12729.28,8379.0,3690.47,9957.21,13764.26,21612.34,5171.22,32835.54,7433.48,6781.71,7887.3,7399.77,6216.14,15006.93,8633.93,4296.7,2250.93,13714.98
hsa-miR-26b-3p,0.0,44.57,0.0,0.0,40.91,0.0,0.0,0.0,0.0,0.0,0.0,35.29,0.0,0.0,0.0,0.0,5.67,0.0,0.0,0.0,0.0,48.78,116.01,72.39,0.0,0.0,25.37,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,28.97
