miRNA,SRR22443559,SRR22443560,SRR22443561,SRR22443562,SRR22443563,SRR22443564,SRR22443565,SRR22443566,SRR22443567,SRR22443568,SRR22443569,SRR22443570,SRR22443571,SRR22443572,SRR22443573,SRR22443574,SRR22443575,SRR22443576,SRR22443577,SRR22443578,SRR22443579,SRR22443580,SRR22443581,SRR22443582,SRR22443583
hsa-miR-3605-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3609,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-361-3p,0.0,0.72,0.0,0.0,0.0,1.43,0.18,0.0,0.0,0.0,0.0,0.0,5.82,0.0,0.0,2.5,1.97,5.99,0.0,3.55,3.12,0.0,0.0,0.0,0.0
hsa-miR-361-5p,0.0,2.52,0.0,0.0,0.0,2.62,1.08,0.0,0.0,0.0,0.0,0.0,2.91,0.0,3.69,2.5,1.97,7.49,9.64,1.18,2.23,0.0,0.0,4.81,0.0
hsa-miR-3610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3615,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.48,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0
hsa-miR-3617-5p,0.0,0.0,20.1,0.0,0.0,3.57,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,1.97,0.0,7.1,0.0,0.0,0.0,3.77,0.0,0.0
hsa-miR-362-3p,0.0,0.0,0.0,0.0,6.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0
hsa-miR-362-5p,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3620-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0
hsa-miR-363-3p,130.13,129.64,478.41,339.35,330.81,915.47,363.96,625.82,589.04,407.89,288.87,399.05,308.14,265.79,283.78,216.58,415.1,503.36,766.11,887.56,647.87,308.99,115.55,419.09,900.14
hsa-miR-3665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.22
hsa-miR-3679-5p,0.0,0.0,2.01,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,3.0,0.51,0.0,0.45,0.0,0.0,0.0,0.34
hsa-miR-3680-5p,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,0.0,0.0,0.0,1.58,0.0,0.0,0.0,0.0,0.0
