miRNA,GSM6675021,GSM6675015,GSM6675018,GSM6675019,GSM6675020,GSM6675017,GSM6675014,GSM6675004,GSM6675016,GSM6675011,GSM6675013,GSM6675012,GSM6675008,GSM6675010,GSM6675009,GSM6675007,GSM6675006,GSM6675005,GSM6675001,GSM6675000,GSM6675003,GSM6675002,GSM6674997,GSM6674999,GSM6674996,GSM6674993,GSM6674998,GSM6674995,GSM6674994,GSM6674985,GSM6674988,GSM6674989,GSM6674992,GSM6674991,GSM6674990,GSM6674986,GSM6674987,GSM6674984,GSM6674983,GSM6674982
hsa-miR-219a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-219a-5p,1.72,0.0,0.19,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.57,0.16,0.6,0.77,1.29,0.22,0.0,0.4,1.28,1.36,0.37,0.89,0.49,0.73,0.47,0.78,1.5,0.0,0.0,0.0,0.41,0.83,0.3,0.0,0.17,0.0,0.94,0.0,0.0,0.15
hsa-miR-219b-3p,0.0,0.0,0.0,0.29,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0
hsa-miR-219b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.24,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-22-3p,157504.75,100100.1,81844.3,124010.25,50748.29,51828.56,105815.64,89630.29,44681.31,86405.29,100955.14,37358.57,115049.59,115748.81,137605.73,85608.52,52539.58,96471.43,120628.02,96137.25,104764.41,119527.44,76977.62,102787.27,77571.9,86744.85,125777.28,88946.54,65617.93,27339.86,131264.15,103727.24,41300.22,83209.93,83895.76,74419.72,89075.37,113714.62,38343.11,69169.2
hsa-miR-22-5p,111.42,86.05,75.82,111.78,52.61,41.11,94.17,58.41,29.33,71.91,72.61,31.98,115.02,115.54,98.17,71.09,35.76,81.57,106.71,83.09,91.46,98.34,57.32,84.33,79.53,126.53,83.46,71.96,40.8,15.05,152.47,75.62,36.95,50.0,78.83,66.95,71.22,82.03,23.35,43.54
hsa-miR-221-3p,323.68,68.55,134.31,530.13,100.17,152.82,264.02,46.46,182.38,136.24,160.67,116.53,100.2,108.26,215.25,117.9,149.28,307.41,211.5,365.4,66.8,161.05,196.34,160.95,566.36,148.8,171.42,143.92,123.97,131.72,776.98,223.3,204.15,121.67,223.04,220.22,314.86,124.02,74.24,160.56
hsa-miR-221-5p,7.15,2.95,3.08,7.23,2.85,6.01,3.43,1.13,6.87,4.42,6.86,6.59,3.68,5.17,5.37,1.3,7.04,12.7,5.3,9.49,3.13,2.67,3.17,4.41,5.61,1.72,3.5,1.53,0.52,4.14,2.68,2.5,3.63,0.0,5.11,2.35,2.81,0.49,1.8,3.36
hsa-miR-222-3p,127.3,28.47,75.24,144.32,52.61,96.31,68.5,38.79,159.01,71.28,97.77,74.42,53.68,54.23,89.58,33.81,109.45,150.63,90.03,144.07,36.44,68.59,93.66,57.51,146.74,36.06,69.22,99.52,79.51,94.46,135.57,74.37,79.97,70.83,138.76,67.53,119.95,49.8,54.09,67.35
hsa-miR-222-5p,2.43,1.27,3.85,4.77,2.41,2.25,1.8,0.68,4.12,4.73,3.43,5.79,1.59,1.15,3.44,0.43,5.15,5.36,1.44,3.34,0.18,0.89,3.78,2.02,8.42,0.94,1.5,3.57,4.18,1.88,2.68,2.71,5.15,2.5,6.3,4.7,3.75,1.46,0.4,1.46
hsa-miR-223-3p,19.02,26.58,74.28,19.52,34.41,83.73,37.93,10.37,39.18,20.82,89.77,470.13,39.47,32.57,19.98,11.7,83.45,24.41,11.88,37.32,18.22,10.87,25.37,13.78,19.96,29.63,30.74,8.17,26.68,770.36,12.77,10.42,26.35,35.0,15.49,7.63,14.99,15.62,18.36,9.93
hsa-miR-223-5p,1.29,1.9,2.89,1.74,3.73,3.57,5.72,0.45,1.6,1.26,0.29,3.54,2.88,1.53,1.07,0.0,1.35,2.78,0.96,2.4,1.29,1.25,1.1,2.39,1.25,1.88,1.0,1.02,0.0,8.84,2.06,0.83,0.91,3.33,1.02,0.59,0.0,1.46,0.8,0.44
hsa-miR-224-3p,3.58,8.65,11.93,6.51,8.33,13.14,8.99,6.54,4.58,6.94,5.43,5.79,7.56,10.54,7.3,3.03,4.06,5.16,13.32,9.17,3.31,9.26,6.46,4.41,18.09,11.45,7.0,4.59,5.75,5.08,7.01,5.21,4.85,7.5,6.64,2.35,2.81,2.44,2.2,5.7
hsa-miR-224-5p,110.85,354.13,310.77,230.21,183.24,365.71,310.45,180.64,196.81,257.35,164.96,165.39,264.73,299.1,277.97,136.76,132.75,245.89,475.48,330.58,211.07,276.31,228.29,238.12,299.71,466.77,282.11,97.99,239.58,152.23,291.13,168.52,131.16,128.33,196.65,127.43,169.61,205.07,85.62,185.1
hsa-miR-2276-3p,0.57,0.0,0.19,0.14,0.22,0.19,0.0,0.0,0.23,0.0,0.0,0.0,0.5,0.19,1.07,0.0,0.27,0.2,1.12,0.42,0.37,0.18,0.0,0.55,0.0,0.0,0.0,0.0,0.52,0.0,1.03,0.21,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0
hsa-miR-2276-5p,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0
hsa-miR-2277-3p,1.86,1.05,1.15,1.88,0.44,0.75,1.14,0.68,0.69,1.58,0.0,1.93,0.6,0.77,1.29,0.43,1.35,0.4,1.12,1.56,0.37,0.18,0.73,1.47,0.62,2.2,1.75,1.53,2.62,0.56,1.85,0.83,1.21,0.83,1.02,1.76,0.94,0.98,0.0,1.02
hsa-miR-2277-5p,5.15,3.59,3.85,4.05,3.29,1.69,3.92,3.38,2.06,2.84,5.15,2.09,2.88,6.13,7.95,4.33,3.52,4.96,6.1,6.88,3.68,3.92,1.71,3.86,4.52,2.82,2.75,3.06,3.66,2.45,5.15,2.92,1.82,7.5,3.06,0.59,2.81,0.98,1.8,3.36
hsa-miR-2278,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.1,0.19,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
hsa-miR-2355-3p,0.0,0.0,0.19,0.0,0.22,0.0,0.0,0.23,0.46,0.0,0.29,0.16,0.1,0.19,0.43,0.22,0.27,0.0,0.48,0.1,0.0,0.0,0.37,0.37,0.0,0.16,1.75,1.02,0.52,0.19,0.82,0.83,0.3,0.0,0.68,1.17,0.0,1.46,0.8,0.73
hsa-miR-2355-5p,0.72,0.21,0.19,0.14,0.66,0.0,0.65,1.58,0.46,0.32,0.0,0.8,0.2,0.0,0.86,0.0,0.27,0.79,0.48,1.15,0.0,0.36,0.12,0.18,0.47,0.31,2.0,0.51,0.0,0.75,0.82,0.21,0.91,1.67,1.02,1.76,0.0,0.0,0.0,0.0
hsa-miR-23a-3p,221.98,224.84,298.84,231.22,197.93,250.06,220.7,125.39,227.29,200.58,189.26,288.03,144.24,172.64,200.0,97.96,140.88,256.41,361.07,387.6,168.93,288.96,189.63,342.85,271.64,209.16,190.16,164.84,97.3,154.49,460.7,145.4,239.9,185.84,254.02,166.78,265.2,291.98,84.02,202.93
hsa-miR-23a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-23b-3p,305.94,102.5,72.16,126.96,85.92,73.78,331.05,54.12,141.37,60.87,191.83,51.75,148.72,183.56,235.01,125.92,88.05,158.96,124.85,269.07,126.24,123.82,59.14,114.83,177.61,253.53,219.89,66.86,105.66,52.31,215.52,153.1,139.03,36.67,54.99,145.64,88.09,90.82,25.15,55.81
hsa-miR-23b-5p,0.0,0.0,0.0,0.14,0.0,0.19,0.0,0.0,0.69,0.32,0.29,0.0,0.5,0.38,0.0,0.22,0.81,0.4,0.16,0.31,0.18,0.18,0.0,0.18,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
hsa-miR-23c,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.2,0.32,0.1,0.0,0.0,0.12,0.18,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.15
hsa-miR-24-1-5p,0.29,0.21,0.77,0.43,0.0,0.0,0.65,0.45,0.92,1.58,0.0,0.16,0.2,0.19,0.0,0.43,0.0,0.4,0.64,0.83,0.74,0.18,0.24,0.92,0.62,0.16,0.75,0.0,0.0,0.38,0.62,0.42,0.61,0.0,1.53,0.0,0.94,0.0,0.0,0.44
hsa-miR-24-2-5p,12.44,7.38,7.31,4.19,4.38,6.2,6.7,3.83,5.96,4.42,7.15,5.79,6.36,10.35,6.44,5.2,5.96,9.33,9.31,8.24,6.07,8.73,6.34,7.17,7.17,4.7,9.0,4.59,4.18,4.14,8.04,6.67,7.57,7.5,9.36,3.52,4.69,7.81,1.4,3.21
hsa-miR-24-3p,36.62,21.3,26.94,28.63,20.38,20.65,27.3,7.44,31.62,16.72,29.16,2.09,12.72,17.63,20.84,9.32,10.02,21.04,4.33,23.98,10.86,15.14,15.73,13.96,6.55,13.64,15.49,14.29,9.42,3.95,19.16,8.12,23.02,16.67,9.36,5.29,20.62,7.81,2.79,16.22
hsa-miR-2467-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-2467-5p,0.29,0.84,0.38,0.87,0.0,0.56,0.82,0.45,1.15,0.0,0.0,0.64,0.2,0.57,0.86,0.0,1.08,0.6,0.64,0.42,0.74,0.18,0.24,0.37,0.47,0.16,0.0,0.0,0.0,0.0,0.21,0.21,0.61,0.0,0.51,0.0,0.94,0.49,0.0,0.15
hsa-miR-25-3p,1475.35,1349.85,1407.03,1634.48,1036.98,1282.03,2210.75,681.52,803.98,1228.41,1097.23,792.87,1676.93,1682.33,1553.14,892.05,651.31,1023.84,2061.77,1519.24,1261.48,1570.24,1138.99,1860.48,1318.12,1512.1,1374.58,686.92,1266.41,664.42,1847.56,1326.91,952.31,1446.68,1188.05,1276.09,1467.49,1140.09,518.3,1027.35
hsa-miR-25-5p,5.01,5.27,5.2,3.9,4.16,5.07,4.41,2.48,4.81,2.52,4.29,2.73,6.76,2.87,3.22,2.17,3.52,5.36,6.9,4.9,3.86,3.56,3.54,5.14,2.03,5.02,3.25,6.12,3.66,1.32,4.33,1.46,3.33,1.67,4.77,1.76,0.0,2.44,0.6,2.48
hsa-miR-2681-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-2682-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
