miRNA,SRR17646531,SRR17646532,SRR17646533,SRR17646534,SRR17646535,SRR17646536,SRR17646537,SRR17646538,SRR17646539,SRR17646540,SRR17646541,SRR17646542,SRR17646543,SRR17646544,SRR17646545,SRR17646546,SRR17646547,SRR17646548,SRR17646549,SRR17646550,SRR17646551,SRR17646552,SRR17646553,SRR17646554,SRR17646555,SRR17646556,SRR17646557,SRR17646558,SRR17646559,SRR17646560,SRR17646561,SRR17646562,SRR17646563,SRR17646564,SRR17646565
hsa-miR-143-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,1.34,4.04,0.0,2.38,0.0,0.68,1.24,0.97,0.96,1.04,0.0,0.0,1.0,0.0,36.34,0.0,3.62,2.68,48.22,0.0,0.0,1.82,0.0,1.02,2.2
hsa-miR-144-3p,3.44,0.0,0.0,0.0,0.0,0.0,3.26,0.0,1.69,0.0,1.34,1.35,0.0,2.38,0.0,2.71,0.0,0.0,0.96,21.78,1.6,4.03,0.0,0.7,0.0,1.08,3.62,0.0,1.0,0.0,3.82,1.22,0.0,2.05,0.0
hsa-miR-144-5p,14.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.8,0.0,16.65,6.67,3.39,0.0,0.0,0.0,20.74,0.0,0.0,0.0,0.0,0.0,0.0,41.59,53.54,0.0,43.67,0.0,0.0,0.0,21.49,0.0
hsa-miR-145-5p,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1468-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-146a-5p,52.67,33.93,24.54,78.86,0.0,24.98,0.0,0.0,27.12,0.0,0.0,107.76,23.82,19.03,22.68,32.57,18.65,0.0,25.96,10.37,0.8,0.0,95.08,16.75,0.0,0.0,0.0,80.31,53.24,1.07,67.85,5.47,31.08,40.94,6.61
hsa-miR-146b-3p,25.19,18.09,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.25,60.98,52.32,96.05,69.9,0.0,0.0,17.31,5.19,38.42,148.15,43.04,20.94,0.0,39.8,47.02,0.0,41.19,21.3,35.36,21.89,19.05,24.57,0.0
hsa-miR-146b-5p,21.76,0.0,0.0,29.57,31.33,0.0,1.63,24.0,1.69,20.79,0.0,28.29,47.64,8.32,52.02,0.68,9.95,14.61,53.84,29.04,28.02,0.0,0.0,0.7,0.0,2.15,39.78,116.01,48.22,2.13,32.49,0.0,22.06,25.59,66.06
hsa-miR-148a-3p,1.15,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.85,34.25,1.34,0.0,0.95,1.19,1.33,0.0,0.0,5.85,0.0,0.0,0.0,1.01,2.0,0.0,0.0,0.0,0.0,1.78,1.0,1.07,3.82,0.61,0.0,5.12,1.1
hsa-miR-148b-3p,0.0,1.13,0.0,31.22,31.33,0.0,0.0,0.0,0.0,0.0,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,0.0,0.0,0.9,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0
