miRNA,SRR22806505,SRR22806506,SRR22806507,SRR22806508,SRR22806509,SRR22806510,SRR22806511,SRR22806512,SRR22806513,SRR22806514,SRR22806515,SRR22806516,SRR22806517,SRR22806518,SRR22806519,SRR22806520,SRR22806521,SRR22806522,SRR22806523,SRR22806524,SRR22806525,SRR22806526,SRR22806527,SRR22806528
hsa-mir-1843-5p,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-194-1-5p,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-2110-5p,2.0,0.0,21.0,49.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,18.0,25.0,0.0,36.0,6.0,0.0,54.0,60.0,12.0,28.0,2.0
hsa-mir-298-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-mir-3137-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
hsa-mir-3138-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-3155a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,5.0
hsa-mir-3159-5p,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-3166-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
hsa-mir-3170-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
