miRNA,GSM7147871,GSM7147870
hsa-miR-622,0.0,0.01
hsa-miR-625-3p,0.09,0.26
hsa-miR-628-3p,0.0,0.1
hsa-miR-629-5p,3.01,1.1
hsa-miR-641,0.02,0.19
hsa-miR-642a-3p,0.02,0.01
hsa-miR-651-5p,0.02,0.06
hsa-miR-6510-3p,0.04,0.04
hsa-miR-6515-5p,0.0,0.01
hsa-miR-652-3p,0.04,0.07
hsa-miR-6529-5p,6.23,6.36
hsa-miR-654-3p,1.79,1.34
hsa-miR-654-5p,0.78,0.17
hsa-miR-655-3p,0.02,0.0
hsa-miR-656-3p,0.02,0.03
hsa-miR-658,13.34,3.19
hsa-miR-659-5p,0.02,0.04
hsa-miR-660-5p,0.09,0.16
hsa-miR-664a-3p,0.04,0.0
hsa-miR-664a-5p,0.06,0.2
hsa-miR-665,0.89,0.04
hsa-miR-668-3p,0.02,0.01
hsa-miR-671-3p,0.5,0.88
hsa-miR-671-5p,0.33,0.23
hsa-miR-6716-3p,0.0,0.01
hsa-miR-6719-3p,0.0,0.03
hsa-miR-6722-3p,0.0,0.03
hsa-miR-6724-5p,0.13,0.0
hsa-miR-6726-5p,0.04,0.0
hsa-miR-6729-5p,0.0,0.04
hsa-miR-6734-5p,0.0,0.07
hsa-miR-6735-5p,0.37,0.0
hsa-miR-6739-5p,0.02,0.0
hsa-miR-6741-3p,0.0,0.01
hsa-miR-6744-5p,0.02,0.0
hsa-miR-6747-3p,0.0,0.04
hsa-miR-675-3p,0.02,0.06
hsa-miR-675-5p,0.04,0.01
hsa-miR-6763-5p,0.0,0.01
hsa-miR-6770-3p,0.02,0.0
hsa-miR-6772-3p,0.0,0.01
hsa-miR-6779-5p,0.0,0.12
hsa-miR-6784-3p,0.0,0.03
hsa-miR-6787-5p,0.0,0.01
hsa-miR-6788-5p,0.0,0.16
hsa-miR-6789-3p,0.0,0.01
hsa-miR-6799-5p,0.0,0.01
hsa-miR-6803-5p,0.04,0.0
hsa-miR-6808-3p,0.0,0.01
hsa-miR-6826-3p,0.0,0.01
hsa-miR-6827-5p,0.02,0.0
hsa-miR-6833-3p,0.02,0.0
hsa-miR-6842-3p,0.02,0.0
hsa-miR-6858-5p,0.2,0.0
hsa-miR-6862-5p,0.0,0.01
hsa-miR-6867-5p,0.09,0.0
hsa-miR-6873-3p,0.15,0.01
hsa-miR-7-5p,1.9,9.84
hsa-miR-708-3p,1.64,0.85
hsa-miR-708-5p,0.22,0.19
hsa-miR-7110-3p,0.0,0.04
hsa-miR-744-3p,0.0,0.03
hsa-miR-744-5p,4.16,4.4
hsa-miR-7515,0.09,0.0
hsa-miR-758-3p,0.17,0.13
hsa-miR-760,2.49,3.97
hsa-miR-762,0.04,0.0
hsa-miR-766-5p,0.15,0.16
hsa-miR-769-3p,0.0,0.01
hsa-miR-769-5p,2.0,1.77
hsa-miR-7704,0.74,1.04
hsa-miR-7706,0.31,0.66
hsa-miR-7848-3p,0.0,0.01
hsa-miR-7974,0.02,0.03
hsa-miR-8485,0.0,0.01
hsa-miR-873-3p,0.0,0.01
hsa-miR-873-5p,0.0,0.01
hsa-miR-874-3p,0.0,0.01
hsa-miR-885-3p,0.0,0.01
hsa-miR-885-5p,0.02,0.03
hsa-miR-887-3p,0.0,0.03
hsa-miR-889-3p,0.63,0.19
hsa-miR-891a-5p,0.0,0.03
hsa-miR-892a,0.0,0.04
hsa-miR-9-3p,2.77,0.46
hsa-miR-9-5p,33.84,19.89
hsa-miR-92a-1-5p,0.44,0.06
hsa-miR-92a-3p,42.45,50.45
hsa-miR-92b-3p,4.1,4.18
hsa-miR-92b-5p,12.05,1.21
hsa-miR-93-5p,1.63,0.97
hsa-miR-934,0.04,0.04
hsa-miR-937-3p,0.04,0.0
hsa-miR-937-5p,0.04,0.0
hsa-miR-939-3p,0.0,0.14
hsa-miR-941,1.33,2.15
hsa-miR-95-3p,0.76,0.59
hsa-miR-96-5p,0.06,0.09
hsa-miR-98-5p,2.59,3.4
hsa-miR-9901,0.02,0.27
hsa-miR-9985,1.28,0.0
hsa-miR-99a-5p,141.51,136.47
hsa-miR-99b-3p,3.25,6.58
hsa-miR-99b-5p,22.1,34.26
hsa-mir-12121-5p,0.26,0.0
hsa-mir-12136-5p,0.0,0.19
hsa-mir-1268b-5p,0.0,0.14
hsa-mir-1269a-3p,0.0,0.1
hsa-mir-2110-5p,0.17,0.23
hsa-mir-3159-5p,0.02,0.33
hsa-mir-3170-5p,0.0,0.01
hsa-mir-3648-1-5p,2.48,1.21
hsa-mir-3648-2-5p,0.31,1.28
hsa-mir-3909-3p,0.0,0.03
hsa-mir-3929-3p,0.02,0.0
hsa-mir-3939-3p,0.15,0.0
hsa-mir-4325-5p,0.0,0.12
hsa-mir-4330-3p,0.15,0.07
hsa-mir-4430-5p,0.0,0.03
hsa-mir-4444-1-3p,0.02,0.0
hsa-mir-449a-5p,0.0,0.03
hsa-mir-4518-3p,0.0,0.26
hsa-mir-4521-5p,0.0,0.01
hsa-mir-4672-3p,0.0,0.03
hsa-mir-4683-3p,0.37,0.0
hsa-mir-496-3p,0.0,0.01
hsa-mir-551a-3p,0.0,0.01
hsa-mir-5684-5p,0.0,0.01
hsa-mir-6083-3p,0.0,0.01
hsa-mir-636-3p,0.04,0.09
