miRNA,GSM2208752,GSM2208753,GSM2208754,GSM2208755,GSM2208756
hsa-miR-22-5p,1.29,1.02,3.95,2.97,1.77
hsa-miR-221-3p,88.21,62.14,116.87,158.77,15.04
hsa-miR-221-5p,48.81,14.17,34.32,43.62,12.75
hsa-miR-222-3p,229.76,114.74,263.46,467.02,105.63
hsa-miR-222-5p,8.89,1.45,2.32,10.31,2.16
hsa-miR-223-3p,0.11,0.04,4.32,0.06,0.0
hsa-miR-223-5p,6.94,3.73,1.71,0.23,2.16
hsa-miR-224-5p,0.11,0.47,1.3,0.0,0.0
hsa-miR-2276-3p,0.0,0.0,0.0,0.06,0.0
hsa-miR-2277-3p,0.15,0.08,0.0,0.0,0.0
hsa-miR-2277-5p,0.04,0.08,0.0,0.09,0.0
hsa-miR-2278,0.04,0.0,0.0,0.0,0.0
hsa-miR-23a-3p,73.71,140.49,134.91,149.34,27.53
hsa-miR-23a-5p,0.7,0.27,1.18,0.56,0.1
hsa-miR-23b-3p,12.8,33.96,7.82,52.23,1.08
hsa-miR-23b-5p,0.11,0.0,0.45,0.21,0.0
hsa-miR-24-1-5p,0.07,0.2,0.16,0.44,0.0
hsa-miR-24-2-5p,7.38,4.83,14.21,6.05,2.68
hsa-miR-24-3p,57.11,74.11,162.3,179.62,68.08
hsa-miR-2467-5p,0.0,0.0,0.04,0.0,0.0
hsa-miR-25-3p,2802.85,966.8,1743.67,1516.46,653.54
hsa-miR-25-5p,20.29,6.99,7.82,12.25,2.42
hsa-miR-2682-5p,0.0,0.04,0.0,0.0,0.0
hsa-miR-26a-2-3p,1.59,0.9,1.87,1.09,0.26
hsa-miR-26a-5p,514.29,622.58,802.76,295.88,141.73
hsa-miR-26b-3p,10.37,3.34,7.25,6.93,1.86
hsa-miR-26b-5p,78.72,146.34,210.91,147.19,19.29
hsa-miR-27a-3p,374.04,220.53,862.52,453.8,98.1
hsa-miR-27a-5p,152.29,34.54,69.94,140.03,46.93
hsa-miR-27b-3p,235.44,148.38,292.97,190.58,76.39
hsa-miR-27b-5p,5.79,0.51,1.87,2.53,1.11
hsa-miR-28-3p,31.95,12.91,18.28,13.31,12.85
hsa-miR-28-5p,2.4,1.73,3.34,1.76,0.23
hsa-miR-296-3p,0.3,0.31,1.71,1.64,0.1
hsa-miR-296-5p,0.15,0.04,0.08,0.0,0.0
hsa-miR-299-3p,0.0,0.0,0.04,0.23,0.0
hsa-miR-29a-3p,186.81,177.19,639.31,679.36,164.16
hsa-miR-29a-5p,0.26,0.24,0.85,0.88,0.33
hsa-miR-29b-1-5p,1.0,0.2,2.16,0.73,0.29
hsa-miR-29b-2-5p,0.89,0.35,1.38,0.15,0.36
hsa-miR-29b-3p,6.53,8.28,34.68,17.77,4.71
hsa-miR-29c-3p,4.24,2.24,7.08,9.61,3.47
hsa-miR-29c-5p,6.75,2.87,5.17,4.26,0.95
hsa-miR-301a-3p,0.0,0.0,0.12,0.0,0.0
hsa-miR-301a-5p,0.85,0.31,0.98,0.5,0.85
hsa-miR-301b-3p,0.0,0.39,0.16,0.0,0.0
hsa-miR-301b-5p,0.04,0.08,0.04,0.12,0.0
hsa-miR-3064-3p,0.0,0.0,0.04,0.0,0.0
hsa-miR-3064-5p,0.3,0.04,0.28,0.21,0.0
hsa-miR-3065-5p,0.0,0.0,0.12,0.09,0.0
hsa-miR-3074-5p,0.0,0.16,0.33,0.06,0.0
hsa-miR-30a-3p,4.98,4.71,1.83,15.92,0.69
hsa-miR-30a-5p,5.24,10.72,6.31,1.94,1.08
hsa-miR-30b-3p,1.96,1.06,1.34,1.44,0.29
hsa-miR-30b-5p,10.59,20.73,32.65,17.27,0.52
hsa-miR-30c-1-3p,1.88,1.14,2.08,2.35,1.05
hsa-miR-30c-2-3p,0.15,0.0,0.04,0.0,0.0
hsa-miR-30c-5p,111.71,145.91,156.72,70.91,22.53
hsa-miR-30d-3p,2.25,2.16,4.11,3.47,0.29
hsa-miR-30d-5p,1319.66,906.39,1687.7,613.97,322.3
hsa-miR-30e-3p,243.29,124.75,173.13,194.69,111.94
hsa-miR-30e-5p,70.5,87.22,215.95,75.81,10.73
hsa-miR-3120-3p,0.0,0.04,0.0,0.0,0.0
hsa-miR-3121-3p,0.11,0.12,0.0,0.15,0.0
hsa-miR-3124-5p,0.11,0.0,0.0,0.0,0.0
hsa-miR-3125,0.0,0.08,0.0,0.0,0.75
hsa-miR-3127-3p,0.18,0.16,0.08,0.0,0.03
hsa-miR-3127-5p,0.18,0.08,0.28,0.32,0.62
hsa-miR-3130-3p,0.07,0.0,0.0,0.23,0.0
hsa-miR-3130-5p,0.0,0.04,0.08,0.0,0.0
hsa-miR-3131,0.0,0.08,0.0,0.0,0.0
hsa-miR-3133,0.22,0.2,0.04,0.12,0.39
hsa-miR-3136-5p,0.0,0.12,0.12,0.06,0.0
hsa-miR-3138,0.3,0.0,0.0,0.44,0.0
hsa-miR-3140-3p,0.26,0.0,0.16,0.15,0.0
hsa-miR-3140-5p,0.04,0.0,0.0,0.0,0.0
hsa-miR-3142,0.0,0.0,0.16,0.0,0.0
hsa-miR-3143,0.0,0.04,0.04,0.15,0.0
hsa-miR-3144-3p,1.22,0.0,0.0,0.0,0.92
hsa-miR-3144-5p,0.22,0.0,0.0,0.0,0.26
hsa-miR-3146,0.77,0.12,0.08,0.12,0.03
hsa-miR-3148,0.0,0.0,0.0,0.21,0.0
hsa-miR-3149,0.04,0.16,0.57,0.44,0.69
hsa-miR-3150a-5p,0.04,0.0,0.04,0.0,0.0
hsa-miR-3150b-3p,0.0,0.04,0.0,0.06,0.0
hsa-miR-3153,0.0,0.0,0.04,0.0,0.0
hsa-miR-3157-3p,0.3,0.16,0.16,0.09,0.0
hsa-miR-3157-5p,0.0,0.12,0.04,0.06,0.0
hsa-miR-3158-3p,0.52,1.02,2.89,0.68,0.62
hsa-miR-3159,0.0,0.08,0.0,0.35,0.0
hsa-miR-3160-3p,0.0,0.0,0.0,0.09,0.0
hsa-miR-3164,0.0,0.0,0.0,0.21,0.0
hsa-miR-3166,0.0,0.08,0.08,0.0,0.0
hsa-miR-3168,0.0,0.0,0.08,0.0,0.0
hsa-miR-3170,0.07,0.12,0.2,0.18,0.43
hsa-miR-3173-3p,0.0,0.0,0.04,0.0,0.0
hsa-miR-3173-5p,0.04,0.08,0.2,0.15,0.0
hsa-miR-3174,0.41,0.12,0.08,0.23,0.46
hsa-miR-3176,0.48,0.12,0.41,0.38,0.0
hsa-miR-3177-3p,0.04,0.35,0.0,0.03,0.72
hsa-miR-3178,0.22,0.51,1.42,0.26,0.03
hsa-miR-3179,0.07,0.16,0.12,0.18,0.0
hsa-miR-3180,0.0,0.08,0.08,0.0,0.23
hsa-miR-3180-3p,0.04,0.12,0.08,0.15,0.13
hsa-miR-3180-5p,0.0,0.0,0.04,0.0,0.0
hsa-miR-3182,2.8,2.08,4.84,14.01,1.28
hsa-miR-3184-5p,0.18,0.0,0.0,0.0,0.0
hsa-miR-3187-3p,0.0,0.16,0.0,0.0,0.0
hsa-miR-3187-5p,0.0,0.0,0.0,0.26,0.0
hsa-miR-3188,0.0,0.04,0.08,0.0,0.0
hsa-miR-3191-3p,0.04,0.12,0.04,0.0,0.0
hsa-miR-3192-5p,0.04,0.16,0.0,0.09,0.0
hsa-miR-3194-3p,0.0,0.12,0.2,0.29,0.0
hsa-miR-3194-5p,0.0,0.08,0.0,0.0,0.0
hsa-miR-3195,0.18,0.71,0.53,0.12,0.0
hsa-miR-3196,0.0,0.31,0.16,0.0,0.0
hsa-miR-3198,1.96,0.63,0.24,1.03,0.65
hsa-miR-32-3p,2.51,1.49,2.12,1.97,0.1
hsa-miR-32-5p,11.18,11.15,27.48,12.51,3.43
hsa-miR-3200-3p,0.0,0.0,0.04,0.0,0.0
hsa-miR-3200-5p,0.0,0.0,0.0,0.0,0.49
hsa-miR-3202,0.22,0.0,0.0,0.0,0.0
hsa-miR-320a-3p,305.79,165.54,522.81,378.07,265.17
hsa-miR-320a-5p,0.07,0.51,0.65,0.53,0.0
hsa-miR-320b,27.37,7.5,44.53,37.63,43.3
hsa-miR-320c,0.96,7.65,1.34,0.97,10.1
hsa-miR-320d,7.23,0.63,13.03,10.49,1.47
hsa-miR-320e,0.07,0.63,0.08,2.14,1.5
