miRNA,GSM4224386,GSM4224387,GSM4224388,GSM4224389,GSM4224390,GSM4224391,GSM4224392,GSM4224393,GSM4224394
hsa-miR-3182,0.0,29.03,6.45,0.0,0.0,0.0,13.69,0.0,7.61
hsa-miR-3189-5p,0.0,0.0,3.87,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3198,0.0,0.0,5.16,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-32-5p,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-320a-3p,9229.33,27299.17,10213.55,2694.43,1188.64,355.9,7587.16,6667.29,7609.01
hsa-miR-320a-5p,0.0,22.58,0.0,0.0,0.0,0.0,12.89,42.57,11.42
hsa-miR-320b,937.44,986.95,2382.56,0.0,0.0,0.0,205.38,107.44,98.94
hsa-miR-320c,85.56,129.01,131.5,0.0,0.0,0.0,29.8,0.0,24.74
hsa-miR-320d,11.16,22.58,10.31,0.0,0.0,0.0,4.03,0.0,0.0
hsa-miR-320e,11.16,51.61,33.52,0.0,0.0,0.0,1.61,0.0,0.0
hsa-miR-324-3p,44.64,61.28,6.45,0.0,0.0,0.0,136.92,42.57,32.35
hsa-miR-324-5p,271.56,135.46,27.07,0.0,0.0,0.0,376.94,6.08,55.18
hsa-miR-326,7.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-328-3p,0.0,0.0,2.58,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-331-3p,0.0,0.0,5.16,0.0,0.0,0.0,2.42,8.11,43.76
hsa-miR-335-3p,0.0,12.9,0.0,0.0,0.0,0.0,8.05,4.05,0.0
hsa-miR-335-5p,293.88,109.66,3.87,0.0,0.0,0.0,16.91,18.24,11.42
hsa-miR-338-3p,0.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-339-5p,33.48,35.48,0.0,0.0,0.0,0.0,3.22,0.0,5.71
hsa-miR-33a-5p,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-340-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0
